DateTime,Entries,UniqueIPs
1453914309,468,468
1453928709,485,485
1453943111,484,484
1453957510,458,458
1453971910,451,451
1453986312,458,458
1454000710,453,453
1454015110,459,459
1454029510,457,457
1454043910,458,458
1454058310,470,470
1454072714,454,454
1454087110,458,458
1454101510,460,460
1454115910,444,444
1454130309,433,433
1454144710,416,416
1454159115,440,440
1454173519,454,454
1454187910,445,445
1454202309,434,434
1454216710,436,436
1454231110,425,425
1454245512,419,419
1454259910,412,412
1454274310,410,410
1454288709,418,418
1454303109,390,390
1454317509,380,380
1454331911,386,386
1454346309,392,392
1454360709,403,403
1454375110,402,402
1454389510,402,402
1454403912,416,416
1454418312,433,433
1454432717,433,433
1454447111,440,440
1454461509,427,427
1454475913,429,429
1454490313,437,437
1454504716,460,460
1454519112,460,460
1454533512,474,474
1454547910,469,469
1454562312,475,475
1454576711,469,469
1454591113,481,481
1454605511,503,503
1454619914,515,515
1454634313,500,500
1454648714,495,495
1454663109,502,502
1454677516,490,490
1454691911,490,490
1454706312,481,481
1454720713,480,480
1454735113,467,467
1454749513,454,454
1454763914,423,423
1454778314,421,421
1454792714,433,433
1454807114,440,440
1454821513,450,450
1454835913,454,454
1454850315,466,466
1454864714,465,465
1454879114,472,472
1454893512,458,458
1454907913,442,442
1454922314,454,454
1454936713,434,434
1454951113,415,415
1454965514,419,419
1454979913,412,412
1454994314,393,393
1455008712,402,402
1455023116,396,396
1455037513,409,409
1455051913,414,414
1455066311,405,405
1455080714,399,399
1455095111,403,403
1455109514,394,394
1455123912,417,417
1455138311,420,420
1455152710,409,409
1455167111,408,408
1455181512,412,412
1455195915,416,416
1455210312,431,431
1455224713,467,467
1455239113,473,473
1455253512,490,490
1455267911,476,476
1455282314,475,475
1455296711,491,491
1455311113,511,511
1455325511,510,510
1455339911,520,520
1455354311,505,505
1455368714,505,505
1455383115,505,505
1455397518,502,502
1455411913,511,511
1455426317,519,519
1455469511,498,498
1455483913,497,497
1455498315,514,514
1455512718,501,501
1455527117,498,498
1455541513,502,502
1455555914,501,501
1455570313,530,530
1455584713,550,550
1455599111,560,560
1455613512,570,570
1455627912,587,587
1455642311,579,579
1455656711,588,588
1455671111,587,587
1455685511,580,580
1455699913,565,565
1455714315,559,559
1455728732,567,567
1455743110,550,550
1455757511,523,523
1455771910,489,489
1455786312,456,456
1455800714,429,429
1455815111,401,401
1455829511,361,361
1455843911,328,328
1455858310,262,262
1455872712,206,206
1455887130,166,166
1455901512,108,108
1455915912,110,110
1455930312,116,116
1455944714,108,108
1455959111,108,108
1455973514,100,100
1455987914,108,108
1456002314,117,117
1456016714,112,112
1456031113,112,112
1456045513,123,123
1456059923,126,126
1456074312,126,126
1456088714,131,131
1456103113,135,135
1456117513,144,144
1456131911,143,143
1456146312,138,138
1456160711,141,141
1456175111,142,142
1456189511,133,133
1456203911,126,126
1456218312,118,118
1456232717,112,112
1456247121,106,106
1456261524,103,103
1456275917,100,100
1456290318,99,99
1456304713,103,103
1456319114,101,101
1456333510,96,96
1456347911,95,95
1456362311,106,106
1456376711,106,106
1456391113,111,111
1456405515,109,109
1456419913,114,114
1456434313,119,119
1456448713,114,114
1456463120,113,113
1456477512,122,122
1456491914,128,128
1456506311,124,124
1456520711,125,125
1456535111,129,129
1456549512,135,135
1456563912,126,126
