DateTime,AddedIPs,RemovedIPs
1437317660,0,30
1437330044,31,0
1437408016,0,23
1437420431,26,0
1437494414,0,30
1437506831,23,0
1437584956,0,20
1437593236,22,0
1437668842,0,31
1437681262,37,0
1437759392,0,30
1437767662,37,0
1437845794,0,35
1437854062,39,0
1437932182,0,31
1437944415,27,0
1438022191,0,34
1438034430,33,0
1438108636,0,26
1438120850,24,0
1438194982,0,23
1438211363,33,0
1438285520,0,29
1438301359,30,0
1438370311,0,39
1438390823,30,0
1438456710,0,35
1438477223,34,0
1438546161,0,38
1438566858,33,0
1438636703,0,31
1438653264,36,0
1438722570,0,31
1438743265,28,0
1438948584,21,50
1438993651,0,26
1439038834,23,0
1439080057,0,35
1439132877,21,0
1439170039,0,34
1439220435,19,0
1439255365,0,34
1439308837,25,0
1439345914,0,40
1439399363,19,0
1439411804,0,17
1439489917,36,0
1439580488,15,0
1439642199,0,23
1439667924,27,0
1439729115,0,20
1439757394,31,0
1439823255,0,19
1439843795,31,0
1439913628,0,20
1440419781,34,145
1440444440,0,39
1440510316,42,0
1440600851,43,0
1440688160,40,0
1440766447,0,39
1440775171,35,0
1440865090,36,0
1440955097,33,0
1441045120,28,0
1441114035,0,37
1441134553,28,0
1441204569,0,30
1441225102,34,0
1441290971,0,41
1441311502,37,0
1441378817,0,36
1441399049,35,0
1441469897,0,36
1441486456,42,0
1441559899,0,29
1441576023,34,0
1441648706,0,33
1441664835,26,0
1441738466,0,33
1441754840,32,0
1441828450,0,29
1441844834,30,0
1441914860,0,33
1441931236,31,0
1442003175,0,37
1442019257,40,0
1442089668,0,35
1442106033,31,0
1442180196,0,36
1442196562,30,0
1442266591,0,28
1442287094,31,0
1442357730,0,31
1442374031,26,0
1442448049,0,24
1442460437,24,0
1442543236,0,23
1442547385,45,0
1442621357,0,28
1442633885,24,0
1442708321,0,41
1442720737,25,0
1442801362,0,38
1442809647,30,0
1442887759,0,22
1442896050,25,0
1442978294,0,26
1442986591,24,0
1443064692,0,22
1443077126,26,0
1443151113,0,29
1443163555,22,0
1443237536,0,45
1443250005,29,0
1443323927,0,24
1443340478,34,0
1443410320,0,26
1443430839,32,0
1443500361,0,26
1443520869,24,0
1443590851,0,24
1443611372,34,0
1443681394,0,23
1443697771,19,0
1443767783,0,30
1443788324,30,0
1443854206,0,23
1443878850,27,0
1443941159,0,33
1443966369,27,0
1444032031,0,36
1444056868,22,0
1444122568,0,30
1444143461,25,0
1444213105,0,22
1444233631,28,0
1444299501,0,26
1444320031,30,0
1444390060,0,26
1444410561,24,0
1444480059,0,31
1444500583,31,0
1444570598,0,28
1444591116,34,0
1444658419,0,27
1444679146,26,0
1444745387,0,21
1444766063,27,0
1444835904,0,30
1444852467,44,0
1444921239,0,29
1444941926,24,0
1445011771,0,26
1445031924,32,0
1445105362,0,27
1445121925,36,0
1445191816,0,29
1445208338,30,0
1445280406,0,34
1445296705,35,0
1445366740,0,35
1445387249,34,0
1445456753,0,32
1445477258,34,0
1445546196,0,42
1445566942,22,0
1445632594,0,31
1445657251,24,0
1445723155,0,34
1445746163,20,0
1445809519,0,30
1445833666,15,0
1445899583,0,35
1445924189,29,0
1445987993,0,35
1446012579,32,0
1446078444,0,33
1446103102,33,0
1446167984,0,19
1446192576,34,0
1446258447,0,20
1446279001,24,0
1446350451,0,20
1446367017,30,0
1446437854,0,23
1446456977,26,0
1446547524,32,25
1446636446,26,35
1446723380,36,27
1446811780,33,27
1447455250,33,278
1447517471,43,0
1447607382,33,0
1447697903,41,0
1447785931,36,0
1447874841,32,0
1447961301,43,0
1448051814,37,0
1448140742,38,62
1448231243,31,30
1448320725,28,34
1448410241,20,31
1448499638,26,27
1448587651,31,38
1448674596,38,42
1448761002,33,40
1448849929,30,30
1448939912,30,22
1449030452,29,26
1449118827,32,32
1449208470,31,32
1449296342,30,32
1449384344,28,28
1449471635,29,27
1449558043,27,27
1449647123,25,28
1449736040,34,29
1449822481,29,37
1449909975,28,35
1450000473,40,27
1450088302,32,24
1450178875,31,33
1450267210,34,28
1450353631,47,32
1450440031,32,34
1450529225,39,31
1450616410,36,39
1450708581,28,36
1450796422,24,34
1450884981,36,34
1450971397,33,45
1451057799,31,24
1451146259,28,36
1451231199,32,34
1451318075,37,29
1451405372,28,30
1451492321,35,34
1451579241,33,28
1451665637,28,32
1451752598,36,31
1451842598,37,34
1451928984,31,36
1452013764,33,31
1452101780,35,34
1452191827,31,0
1452278868,26,54
1452365123,29,41
1452451541,30,39
1452537922,34,27
1452623803,34,27
1452714315,22,33
1452801272,34,31
1452888849,27,28
1452973544,27,27
1453061078,24,33
1453151290,33,26
1453237698,29,35
1453328885,35,28
1453415536,34,30
1453501215,28,28
1453589767,26,31
