DateTime,AddedIPs,RemovedIPs
1437330044,46,46
1437420431,42,42
1437506831,35,35
1437593236,37,37
1437681262,47,47
1437767662,42,42
1437854062,45,45
1437944415,42,42
1438034430,43,43
1438120850,40,40
1438211363,42,42
1438301359,40,40
1438390823,40,40
1438477223,44,44
1438566858,42,42
1438653264,47,47
1438743265,44,44
1438948584,39,39
1439038834,40,40
1439132877,33,33
1439220435,30,30
1439308837,37,37
1439399363,41,41
1439489917,44,44
1439580488,45,45
1439667924,39,39
1439757394,41,41
1439843795,41,41
1440419781,43,43
1440510316,43,43
1440600851,45,45
1440688160,46,46
1440775171,42,42
1440865090,41,41
1440955097,39,39
1441045120,40,40
1441134553,37,37
1441225102,39,39
1441311502,45,45
1441399049,45,45
1441486456,47,47
1441576023,47,47
1441664835,36,36
1441754840,41,41
1441844834,39,39
1441931236,43,43
1442019257,49,49
1442106033,45,45
1442196562,45,45
1442287094,43,43
1442374031,44,44
1442460437,39,39
1442547385,49,49
1442633885,46,46
1442720737,44,44
1442809647,44,44
1442896050,43,43
1442986591,42,42
1443077126,39,39
1443163555,41,41
1443250005,43,43
1443340478,45,45
1443430839,42,42
1443520869,42,42
1443611372,44,44
1443697771,39,39
1443788324,44,44
1443878850,40,40
1443966369,39,39
1444056868,40,40
1444143461,36,36
1444233631,45,45
1444320031,45,45
1444410561,38,38
1444500583,39,39
1444591116,42,42
1444679146,47,47
1444766063,42,42
1444852467,46,46
1444941926,45,45
1445031924,43,43
1445121925,40,40
1445208338,40,40
1445296705,42,42
1445387249,41,41
1445477258,44,44
1445566942,34,34
1445657251,36,36
1445746163,30,30
1445833666,30,30
1445924189,37,37
1446012579,40,40
1446103102,40,40
1446192576,42,42
1446279001,40,40
1446367017,40,40
1446456977,37,37
1446547524,43,43
1446636446,39,39
1446723380,45,45
1446811780,45,45
1447455250,40,40
1447517471,43,43
1447607382,44,44
1447697903,45,45
1447785931,44,44
1447874841,43,43
1447961301,46,46
1448051814,46,46
1448140742,48,48
1448231243,46,46
1448320725,39,39
1448410241,34,34
1448499638,39,39
1448587651,44,44
1448674596,45,45
1448761002,43,43
1448849929,43,43
1448939912,40,40
1449030452,41,41
1449118827,45,45
1449208470,44,44
1449296342,45,45
1449384344,41,41
1449471635,41,41
1449558043,45,45
1449647123,42,42
1449736040,42,42
1449822481,39,39
1449909975,42,42
1450000473,46,46
1450088302,45,45
1450178875,44,44
1450267210,42,42
1450353631,49,49
1450440031,48,48
1450529225,43,43
1450616410,45,45
1450708581,44,44
1450796422,41,41
1450884981,45,45
1450971397,44,44
1451057799,43,43
1451146259,43,43
1451231199,44,44
1451318075,43,43
1451405372,41,41
1451492321,42,42
1451579241,44,44
1451665637,40,40
1451752598,44,44
1451842598,46,46
1451928984,43,43
1452013764,42,42
1452101780,42,42
1452191827,45,45
1452278868,40,40
1452365123,43,43
1452451541,39,39
1452537922,47,47
1452623803,42,42
1452714315,43,43
1452801272,42,42
1452888849,42,42
1452973544,42,42
1453061078,39,39
1453151290,42,42
1453237698,42,42
1453328885,46,46
1453415536,47,47
1453501215,41,41
1453589767,37,37
1453674739,42,42
1453763076,47,47
1453853289,47,47
1453938976,49,49
1454726657,48,48
1454807530,34,34
1454892256,40,40
1454980565,37,37
1455069620,41,41
1455154573,43,43
1455243382,42,42
1455328326,48,48
1455416655,42,42
1455501143,40,40
1455590405,40,40
1455674900,41,41
1455763447,45,45
1455848169,47,47
1455936490,40,40
1456023131,49,49
1456107846,49,49
1456196408,44,44
1456284737,44,44
1456371144,41,41
1456457766,44,44
1456544655,48,48
1456697299,47,47
1456767132,41,41
1456851618,42,42
1456940174,44,44
1457024889,41,41
1457113448,40,40
1457200572,40,40
1457285055,42,42
1457371474,40,40
1457458811,50,50
1457547857,50,50
1457632330,41,41
1457721678,50,50
1457808024,49,49
1457895382,40,40
1457982060,43,43
1458070570,38,38
1458155537,45,45
1458243863,45,45
1458328595,42,42
1458415211,41,41
1458503535,41,41
1458588739,43,43
1458676577,45,45
1458765389,45,45
1458851074,43,43
1458935798,39,39
1459024587,42,42
1459109068,45,45
1459197852,42,42
1459282829,46,46
1459371874,44,44
1459458139,44,44
1459542985,41,41
1459632501,34,34
1459717468,42,42
1459802666,39,39
1459891448,39,39
1459976676,46,46
1460065458,46,46
1460150211,44,44
1460237550,43,43
1460322058,46,46
1460410117,40,40
1460496984,43,43
1460582187,44,44
1460671723,45,45
1460757149,44,44
1460842584,40,40
1460928511,36,36
1461015392,42,42
1461104256,44,44
