DateTime,AddedIPs,RemovedIPs
1437305276,46,46
1437391635,49,49
1437478048,44,44
1437564437,46,46
1437660837,49,49
1437734731,48,48
1437821126,45,45
1437908073,45,45
1437993400,49,49
1438079798,45,45
1438166190,47,47
1438252592,46,46
1438349796,49,49
1438427911,48,48
1438513764,44,44
1438599612,47,47
1438686017,46,46
1438772072,47,47
1438948586,49,49
1439030734,43,43
1439118557,43,43
1439204058,48,48
1439292448,48,48
1439378841,48,48
1439465239,44,44
1439551642,46,46
1439638038,49,49
1439724985,45,45
1439810832,44,44
1439897237,49,49
1440419782,50,50
1440506178,47,47
1440592573,47,47
1440680052,47,47
1440766448,45,45
1440852853,46,46
1440938731,49,49
1441027634,45,45
1441114036,49,49
1441200431,46,46
1441286837,49,49
1441370720,43,43
1441457663,48,48
1441543521,45,45
1441632454,47,47
1441718359,47,47
1441804157,45,45
1441890018,49,49
1441976422,45,45
1442064985,44,44
1442151832,47,47
1442237795,41,41
1442324714,49,49
1442411125,48,48
1442542728,46,46
1442583910,48,48
1442669799,46,46
1442755649,42,42
1442842583,47,47
1442928992,46,46
1443015383,45,45
1443101784,47,47
1443188217,47,47
1443274629,48,48
1443361003,41,41
1443447410,44,44
1443533255,48,48
1443619653,48,48
1443706053,44,44
1443792450,45,45
1443878851,41,41
1443965259,44,44
1444051679,46,46
1444138091,49,49
1444224460,49,49
1444310857,45,45
1444397249,46,46
1444483109,48,48
1444569505,40,40
1444654461,44,44
1444740861,47,47
1444827261,46,46
1444913507,46,46
1445003649,45,45
1445089529,48,48
1445175394,46,46
1445261889,46,46
1445346048,48,48
1445432053,46,46
1445537621,46,46
1445607939,45,45
1445694348,43,43
1445779123,45,45
1445866586,43,43
1445952986,49,49
1446037360,49,49
1446123626,47,47
1446213267,47,47
1446296444,47,47
1446383382,41,41
1446472459,46,46
1446555618,49,49
1446644179,45,45
1446731663,44,44
1446820033,47,47
1447455251,49,49
1447533375,45,45
1447619797,47,47
1447706209,44,44
1447794037,43,43
1447879012,47,47
1447965416,49,49
1448051816,48,48
1448136564,48,48
1448222973,44,44
1448312500,44,44
1448403059,49,49
1448487456,49,49
1448579440,45,45
1448658033,48,48
1448748674,47,47
1448833587,44,44
1448916356,46,46
1449001649,44,44
1449090029,46,46
1449175538,45,45
1449264496,47,47
1449347231,42,42
1449434204,47,47
1449521677,47,47
1449606999,48,48
1449692337,43,43
1449780335,47,47
1449866726,48,48
1449952059,44,44
1450039554,45,45
1450124846,49,49
1450220064,49,49
1450300166,49,49
1450384048,45,45
1450469620,47,47
1450559379,47,47
1450644407,47,47
1450736922,44,44
1450817171,41,41
1450905544,47,47
1450991915,41,41
1451082006,46,46
1451164215,45,45
1451247559,43,43
1451342267,47,47
1451421934,42,42
1451509234,45,45
1451595624,48,48
1451682025,42,42
1451768966,44,44
1451854839,46,46
1451941229,46,46
1452026728,46,46
1452113192,48,48
1452200971,49,49
1452286827,46,46
1452373228,46,46
1452459634,49,49
1452546562,50,50
1452632056,47,47
1452718860,44,44
1452804948,43,43
1452888851,45,45
1452977682,43,43
1453064890,45,45
1453151291,49,49
1453237700,45,45
1453323871,48,48
1453410490,49,49
1453495207,50,50
1453580167,48,48
1453669208,47,47
1453753457,48,48
1453842019,50,50
1453929377,49,49
1454726659,50,50
1454734334,46,46
1454822897,45,45
1454907618,47,47
1454992094,44,44
1455081135,44,44
1455166098,46,46
1455254897,44,44
1455339862,44,44
1455424335,49,49
1455512650,43,43
1455598089,45,45
1455686412,46,46
1455771132,46,46
1455859689,48,48
1455944165,43,43
1456031046,43,43
1456117447,45,45
1456202409,47,47
1456291206,46,46
1456374985,46,46
1456463597,48,48
1456550659,48,48
1456696090,48,48
1456723218,46,46
1456808180,49,49
1456893371,48,48
1456980008,50,50
1457066406,47,47
1457154981,45,45
1457239929,47,47
1457328497,45,45
1457411535,48,48
1457498411,47,47
1457585295,46,46
1457674586,47,47
1457758104,43,43
1457844746,46,46
1457932130,46,46
1458016807,48,48
1458105620,48,48
1458190092,48,48
1458278415,46,46
1458365289,48,48
1458449769,50,50
1458534735,48,48
1458623063,45,45
1458711155,48,48
1458796595,46,46
1458882051,48,48
1458970351,46,46
1459055313,46,46
1459140036,45,45
1459228830,46,46
1459313563,48,48
1459399709,47,47
1459485152,48,48
1459574666,48,48
1459659621,46,46
1459744812,46,46
1459837499,46,46
1459918583,45,45
1460003788,47,47
1460092360,47,47
1460177068,43,43
1460266362,44,44
1460352059,46,46
1460436989,48,48
1460524103,50,50
1460609053,50,50
1460694985,47,47
1460784263,47,47
1460869478,43,43
1460957545,44,44
1461040600,46,46
