DateTime,AddedIPs,RemovedIPs
1437301135,0,44
1437305270,36,0
1437387496,0,40
1437391629,42,0
1437473896,0,39
1437478042,45,0
1437560296,0,43
1437564431,44,0
1437660830,42,43
1437734724,38,40
1437821120,42,44
1437908067,43,41
1437993392,0,45
1437997541,44,0
1438079792,0,41
1438083923,44,0
1438166184,0,41
1438170315,44,0
1438207220,0,45
1438256717,44,0
1438337895,0,47
1438349790,47,0
1438423770,0,39
1438427905,47,0
1438509861,0,43
1438513757,45,0
1438599606,46,47
1438686012,44,42
1438772066,42,44
1438948580,47,88
1439030729,40,46
1439118552,37,46
1439204052,43,46
1439288315,0,42
1439292443,41,0
1439374711,0,47
1439378835,42,0
1439411802,0,45
1439465233,44,0
1439551635,39,0
1439633902,0,41
1439638033,42,0
1439720827,0,37
1439724979,43,0
1439806696,0,36
1439810827,42,0
1439897232,42,44
1439913625,0,128
1440419779,43,130
1440502032,0,49
1440506176,46,0
1440592571,41,0
1440675926,46,0
1440762329,42,0
1440766446,0,43
1440848717,43,0
1440934826,41,0
1441023527,45,0
1441110017,45,40
1441196311,43,41
1441278549,0,43
1441282717,47,0
1441370719,42,47
1441453525,0,38
1441457661,42,0
1441535780,0,42
1441543519,43,0
1441624696,0,45
1441632452,47,0
1441714158,0,45
1441718356,46,0
1441800018,0,45
1441804155,39,0
1441886049,0,45
1441890015,45,0
1441968318,0,47
1441976419,40,0
1442060847,0,41
1442064983,42,0
1442147250,0,40
1442151829,43,0
1442233640,0,45
1442237793,37,0
1442320575,0,43
1442324712,39,0
1442407019,0,43
1442411123,44,0
1442493386,0,42
1442543235,47,0
1442580316,38,40
1442667258,42,40
1442753702,39,38
1442838441,0,38
1442842581,42,0
1442928989,41,43
1443015380,38,43
1443101782,43,44
1443184060,0,45
1443188214,42,0
1443270459,0,36
1443274627,43,0
1443356851,0,46
1443361001,41,0
1443443249,0,42
1443447407,39,0
1443533251,42,38
1443619651,39,40
1443702464,0,45
1443706582,42,0
1443792982,42,43
1443879378,33,39
1443962186,0,39
1443966368,40,0
1444048595,0,40
1444052739,34,0
1444134981,0,45
1444139462,44,0
1444221382,0,43
1444225604,40,0
1444307784,0,38
1444311992,40,0
1444394188,0,44
1444398329,37,0
1444481131,0,35
1444485257,39,0
1444571134,38,36
1444655368,39,40
1444741764,39,34
1444828167,43,42
1444914567,39,40
1445000957,45,37
1445087364,44,38
1445173259,40,37
1445256585,0,38
1445261886,38,0
1445346046,42,41
1445432051,36,43
1445537618,40,43
1445603824,0,43
1445607937,45,0
1445690226,0,42
1445694345,40,0
1445774954,0,41
1445779116,37,0
1445862439,0,37
1445866584,38,0
1445948865,0,42
1445952983,45,0
1446033263,0,42
1446037334,45,0
1446115541,0,36
1446127788,45,0
1446209140,0,40
1446213264,42,0
1446296442,0,44
1446300394,37,0
1446383380,40,39
1446472457,44,41
1446559769,41,39
1446644177,35,44
1446731661,45,44
1446818074,44,42
1447455249,44,348
1447533374,44,0
1447619796,45,0
1447706207,40,0
1447794036,35,0
1447879010,40,0
1447965414,40,0
1448051813,45,0
1448136563,43,41
1448222971,37,39
1448312498,39,70
1448403058,38,41
1448487455,46,40
1448579438,42,42
1448658032,41,42
1448748672,40,42
1448833586,45,39
1448916355,44,0
1449001648,40,43
1449090027,39,39
1449175536,37,39
1449264495,41,87
1449347229,38,0
1449434203,41,38
1449521675,43,84
1449606997,45,36
1449692335,38,0
1449780332,38,40
1449866724,37,37
1449952058,40,77
1450039553,35,43
1450126833,44,45
1450218030,45,39
1450300164,45,44
1450384046,42,0
1450469619,41,43
1450559377,41,75
1450644405,41,39
1450736920,37,46
1450817169,41,0
1450901373,45,46
1450987774,35,42
1451082004,37,83
1451164213,39,44
1451247557,38,0
1451342265,39,70
1451421933,35,0
1451509232,38,79
1451595621,35,36
1451682023,35,0
1451768964,40,34
1451854837,38,74
1451941227,38,0
1452026727,39,38
1452113190,42,34
1452200969,49,43
1452286825,46,77
1452373226,48,0
1452459632,47,42
1452546561,41,83
1452632054,44,45
1452718858,47,44
1452803243,39,0
1452897439,40,94
1452977681,44,0
1453063352,50,44
1453151535,42,91
1453237697,45,41
1453320967,45,0
1453409767,47,83
1453497384,49,0
1453582094,43,42
1453667072,41,46
1453755377,43,49
1453839860,49,44
1453927462,47,90
1454727607,47,331
1454739127,47,0
1454827207,44,0
1454911936,45,0
1455000492,43,0
1455086656,43,0
1455171618,46,0
1455260419,44,0
1455345372,42,85
1455433690,43,44
1455518408,33,37
1455606736,40,46
1455691447,42,0
1455779783,41,85
1455864502,45,0
1455948977,39,41
1456038033,38,37
1456122775,40,39
1456211290,40,35
1456296261,38,84
1456382664,43,0
1456469290,46,42
1456556417,43,83
1456691287,48,42
1456764740,44,42
1456853550,45,41
1456938740,42,42
1457025134,38,43
1457112261,43,44
1457196734,47,49
1457285053,42,0
1457371473,44,92
1457458810,50,42
1457547855,46,39
1457632329,45,44
1457721673,48,44
1457808020,44,45
1457895379,44,45
1457982057,46,48
1458070569,46,47
1458155536,47,47
1458240038,49,48
1458328594,48,46
1458415210,47,44
