DateTime,AddedIPs,RemovedIPs
1457616088,18,18
1457623285,17,20
1457630486,15,0
1457637686,19,45
1457644892,25,13
1457652694,19,33
1457659297,10,21
1457667094,8,12
1457673698,7,0
1457680887,16,23
1457688088,6,14
1457695289,22,16
1457701285,8,0
1457707287,9,17
1457713886,20,11
1457719888,30,13
1457725293,10,0
1457733093,10,8
1457740891,9,24
1457748089,24,24
1457755290,11,25
1457762494,14,22
1457769689,6,10
1457776290,5,0
1457783489,85,26
1457790687,14,6
1457797886,13,14
1457805697,328,13
1457812901,11,17
1457820106,21,0
1457827902,26,40
1457836896,25,12
1457845294,18,12
1457853095,21,46
1457862096,16,22
1457869296,46,0
1457876492,12,20
1457884892,12,22
1457892096,25,15
1457899898,8,19
1457908899,27,9
1457915498,8,14
1457923294,3,20
1457932891,16,19
1457941295,16,16
1457947895,10,15
1457955091,7,27
1457961691,10,0
1457969492,12,38
1457976092,30,24
1457983892,20,20
1457991089,14,25
1457998296,11,23
1458005497,10,22
1458013293,20,33
1458019904,15,0
1458027100,18,21
1458034906,5,47
1458043896,9,15
1458052895,13,0
1458061893,85,39
1458069697,11,21
1458077491,10,13
1458084102,21,20
1458091893,1,20
1458099088,11,0
1458106295,13,23
1458113489,16,31
1458120698,15,42
1458128501,4,11
1458136903,22,15
1458144097,9,26
1458151309,81,13
1458158509,15,0
1458166306,6,46
1458174711,26,18
1458181902,17,30
1458189099,19,18
1458196307,10,23
1458202900,20,18
1458210701,8,24
1458217895,10,15
1458225109,9,23
1458232295,8,18
1458239495,41,19
1458246701,24,32
1458253905,23,21
1458261102,4,13
1458268303,8,13
1458274892,16,21
1458282696,20,28
1458289892,11,0
1458297095,10,19
1458303689,5,19
1458310289,14,7
1458318092,11,23
1458324695,74,0
1458332494,16,22
1458340292,4,26
1458346292,22,0
1458354687,23,29
1458361889,17,16
1458369692,7,16
1458378695,9,16
1458387096,7,26
1458393694,21,0
1458400295,10,11
1458408093,14,20
1458415296,116,8
1458422499,12,19
1458429696,14,24
1458436894,19,63
1458444088,13,10
1458451292,17,0
1458459092,9,64
1458465693,8,0
1458472892,5,14
1458480089,6,26
1458487293,13,11
1458494485,4,28
1458501090,81,26
1458508294,5,19
1458516092,4,21
1458522689,23,22
1458531094,14,26
1458538292,24,0
1458546091,10,58
1458552694,10,25
1458559894,16,19
1458567697,16,30
1458574290,19,0
1458580893,17,19
1458588093,66,19
1458595300,21,11
1458602497,20,28
1458610296,19,37
1458617495,5,0
1458624686,17,19
1458631891,16,23
1458639697,16,22
1458648688,13,57
1458657693,10,23
1458664287,27,0
1458672094,78,10
1458678690,11,21
1458685886,8,24
1458693092,18,12
1458699085,29,13
1458706881,18,27
1458714086,10,14
1458721284,10,15
1458728484,12,25
1458735686,18,0
1458742884,8,22
1458750687,6,37
1458757288,43,16
1458764495,21,19
1458771698,25,0
1458779496,20,59
1458786697,9,10
1458794491,14,11
1458802288,12,33
1458810087,16,18
1458817287,13,0
1458824489,6,30
1458831086,11,23
1458838287,19,18
1458845484,28,27
1458852685,12,13
1458859886,12,11
1458867086,8,22
1458874295,11,19
1458882094,15,20
1458889895,4,0
1458896489,3,41
1458903089,28,24
1458910886,20,18
1458917484,7,21
1458924690,5,0
1458931294,19,29
