DateTime,Entries,UniqueIPs
1457609490,5338,5564
1457616088,5336,5564
1457623285,5330,5561
1457630486,5345,5576
1457637686,5317,5550
1457644892,5328,5562
1457652694,5319,5548
1457659297,5309,5537
1457667094,5306,5533
1457673698,5313,5540
1457680887,5304,5533
1457688088,5297,5525
1457695289,5303,5531
1457701285,5310,5539
1457707287,5302,5531
1457713886,5311,5540
1457719888,5327,5557
1457725293,5337,5567
1457733093,5340,5569
1457740891,5325,5554
1457748089,5325,5554
1457755290,5311,5540
1457762494,5306,5532
1457769689,5303,5528
1457776290,5308,5533
1457783489,5363,5592
1457790687,5371,5600
1457797886,5370,5599
1457805697,5683,5914
1457812901,5680,5908
1457820106,5701,5929
1457827902,5689,5915
1457836896,5700,5928
1457845294,5705,5934
1457853095,5678,5909
1457862096,5669,5903
1457869296,5715,5949
1457876492,5706,5941
1457884892,5697,5931
1457892096,5707,5941
1457899898,5694,5930
1457908899,5710,5948
1457915498,5706,5942
1457923294,5689,5925
1457932891,5685,5922
1457941295,5686,5922
1457947895,5683,5917
1457955091,5667,5897
1457961691,5677,5907
1457969492,5650,5881
1457976092,5657,5887
1457983892,5658,5887
1457991089,5648,5876
1457998296,5636,5864
1458005497,5624,5852
1458013293,5610,5839
1458019904,5625,5854
1458027100,5622,5851
1458034906,5584,5809
1458043896,5576,5803
1458052895,5589,5816
1458061893,5633,5862
1458069697,5623,5852
1458077491,5620,5849
1458084102,5620,5850
1458091893,5606,5831
1458099088,5617,5842
1458106295,5607,5832
1458113489,5592,5817
1458120698,5567,5790
1458128501,5560,5783
1458136903,5567,5790
1458144097,5550,5773
1458151309,5617,5841
1458158509,5632,5856
1458166306,5596,5816
1458174711,5603,5824
1458181902,5590,5811
1458189099,5591,5812
1458196307,5578,5799
1458202900,5580,5801
1458210701,5564,5785
1458217895,5556,5780
1458225109,5543,5766
1458232295,5534,5756
1458239495,5553,5778
1458246701,5547,5770
1458253905,5545,5772
1458261102,5536,5763
1458268303,5531,5758
1458274892,5527,5753
1458282696,5516,5745
1458289892,5527,5756
1458297095,5519,5747
1458303689,5505,5733
1458310289,5512,5740
1458318092,5501,5728
1458324695,5565,5802
1458332494,5563,5796
1458340292,5540,5774
1458346292,5560,5796
1458354687,5553,5790
1458361889,5555,5791
1458369692,5540,5782
1458378695,5532,5775
1458387096,5513,5756
1458393694,5534,5777
1458400295,5533,5776
1458408093,5526,5770
1458415296,5629,5878
1458422499,5622,5871
1458429696,5610,5861
1458436894,5565,5817
1458444088,5566,5820
1458451292,5583,5837
1458459092,5537,5782
1458465693,5545,5790
1458472892,5536,5781
1458480089,5516,5761
1458487293,5518,5763
1458494485,5494,5739
1458501090,5534,5794
1458508294,5521,5780
1458516092,5504,5763
1458522689,5507,5764
1458531094,5498,5752
1458538292,5522,5776
1458546091,5476,5728
1458552694,5461,5713
1458559894,5460,5710
1458567697,5446,5696
1458574290,5464,5715
1458580893,5462,5713
1458588093,5509,5760
1458595300,5517,5770
1458602497,5510,5762
1458610296,5492,5744
1458617495,5495,5749
1458624686,5492,5747
1458631891,5489,5740
1458639697,5484,5734
1458648688,5441,5690
1458657693,5429,5677
1458664287,5455,5704
1458672094,5522,5772
1458678690,5511,5762
1458685886,5494,5746
1458693092,5501,5752
1458699085,5511,5768
1458706881,5500,5759
1458714086,5495,5755
1458721284,5490,5750
1458728484,5477,5737
1458735686,5495,5755
1458742884,5482,5741
1458750687,5450,5710
1458757288,5475,5737
1458764495,5476,5739
1458771698,5497,5764
1458779496,5462,5725
1458786697,5460,5724
1458794491,5463,5727
1458802288,5442,5706
1458810087,5436,5704
1458817287,5449,5717
1458824489,5424,5693
1458831086,5413,5681
1458838287,5413,5682
1458845484,5415,5683
1458852685,5416,5682
1458859886,5418,5683
1458867086,5403,5669
1458874295,5397,5661
1458882094,5389,5656
1458889895,5393,5660
1458896489,5363,5622
1458903089,5367,5626
1458910886,5370,5628
1458917484,5359,5614
1458924690,5364,5619
1458931294,5354,5609
1458938492,5380,5638
1458946292,5364,5622
1458953491,5352,5610
1458961291,5351,5608
1458967894,5335,5593
1458975086,5353,5611
1458982285,5336,5596
1458989482,5332,5591
1458996084,5420,5678
1459003886,5413,5669
1459011090,5427,5684
1459017694,5466,5725
1459026095,5457,5715
1459032695,5471,5729
1459040499,5449,5705
1459047692,5453,5709
1459054893,5444,5699
1459062086,5443,5697
1459068686,5443,5691
1459076495,5513,5769
1459083691,5527,5787
1459091491,5512,5773
1459098092,5518,5782
1459104687,5560,5821
1459111892,5568,5832
1459119100,5571,5834
1459126901,5558,5821
1459134698,5553,5798
1459141294,5551,5795
1459148492,5527,5770
1459155091,5520,5763
1459164093,5493,5735
1459173697,5492,5734
1459181497,5490,5732
1459189292,5515,5758
1459196488,5507,5750
1459203692,5505,5746
1459210894,5500,5742
1459218097,5514,5756
1459225295,5483,5721
1459233095,5471,5709
1459240896,5468,5706
1459248690,5450,5687
1459256484,5437,5674
1459263086,5447,5684
1459270285,5452,5687
1459277493,5517,5753
1459284691,5495,5731
1459292493,5471,5705
1459300287,5473,5706
1459307495,5469,5700
1459315892,5466,5697
1459323094,5460,5688
1459330297,5438,5666
1459337500,5427,5655
1459344687,5423,5653
1459351281,5424,5653
1459358486,5461,5688
1459365689,5442,5667
