DateTime,AddedIPs,RemovedIPs
1457587883,170,191
1457595086,122,173
1457602290,134,155
1457609490,269,254
1457616088,155,195
1457623285,174,202
1457630486,167,177
1457637686,156,128
1457644892,301,210
1457652694,167,171
1457659297,181,174
1457667094,142,173
1457673698,104,158
1457680887,239,258
1457688088,139,137
1457695289,168,214
1457701285,114,172
1457707287,91,113
1457713886,254,195
1457719888,200,117
1457725293,180,154
1457733093,179,191
1457740891,119,179
1457748089,250,220
1457755290,198,175
1457762494,241,247
1457769689,119,147
1457776290,89,121
1457783489,312,255
1457790687,163,146
1457797886,182,216
1457805697,445,164
1457812901,120,117
1457820106,258,253
1457827902,207,221
1457836896,262,298
1457845294,191,137
1457853095,316,281
1457862096,202,251
1457869296,184,175
1457876492,162,221
1457884892,245,247
1457892096,247,218
1457899898,212,220
1457908899,200,214
1457915498,117,174
1457923294,116,133
1457932891,202,194
1457941295,256,303
1457947895,147,136
1457955091,171,203
1457961691,158,137
1457969492,138,188
1457976092,252,191
1457983892,198,181
1457991089,244,223
1457998296,140,145
1458005497,156,147
1458013293,250,280
1458019904,194,202
1458027100,245,201
1458034906,121,173
1458043896,252,290
1458052895,215,235
1458061893,288,226
1458069697,195,149
1458077491,219,145
1458084102,157,122
1458091893,99,109
1458099088,226,239
1458106295,158,167
1458113489,174,175
1458120698,122,144
1458128501,131,185
1458136903,236,234
1458144097,202,255
1458151309,278,167
1458158509,140,126
1458166306,220,213
1458174711,267,220
1458181902,195,249
1458189099,118,125
1458196307,105,158
1458202900,221,237
1458210701,128,189
1458217895,205,210
1458225109,126,172
1458232295,138,153
1458239495,252,205
1458246701,188,180
1458253905,224,147
1458261102,124,123
1458268303,89,149
1458274892,251,233
1458282696,167,202
1458289892,186,198
1458297095,138,179
1458303689,90,143
1458310289,214,232
1458318092,174,146
1458324695,272,162
1458332494,198,140
1458340292,110,137
1458346292,285,198
1458354687,206,146
1458361889,221,173
1458369692,153,213
1458378695,190,324
1458387096,169,226
1458393694,190,235
1458400295,150,137
1458408093,130,139
1458415296,382,237
1458422499,150,152
1458429696,234,193
1458436894,166,158
1458444088,142,136
1458451292,223,255
1458459092,145,144
1458465693,154,202
1458472892,124,127
1458480089,116,163
1458487293,223,271
1458494485,111,122
1458501090,245,167
1458508294,175,112
1458516092,138,94
1458522689,277,228
1458531094,196,220
1458538292,185,209
1458546091,146,197
1458552694,154,195
1458559894,232,225
1458567697,181,239
1458574290,176,173
1458580893,135,151
1458588093,291,206
1458595300,227,188
1458602497,232,193
1458610296,153,225
1458617495,101,177
1458624686,211,248
1458631891,209,186
1458639697,274,226
1458648688,151,221
1458657693,178,175
1458664287,214,187
1458672094,276,217
1458678690,161,180
1458685886,133,149
1458693092,191,238
1458699085,178,172
1458706881,221,226
1458714086,175,198
1458721284,153,155
1458728484,201,262
1458735686,224,214
1458742884,190,242
1458750687,120,142
1458757288,185,133
1458764495,280,205
1458771698,209,177
1458779496,229,185
1458786697,131,123
1458794491,132,180
1458802288,225,282
1458810087,217,231
1458817287,153,191
1458824489,104,150
1458831086,222,238
1458838287,191,210
1458845484,232,197
1458852685,187,190
1458859886,163,124
1458867086,250,225
1458874295,198,174
1458882094,281,234
1458889895,131,174
1458896489,72,138
1458903089,252,253
1458910886,151,194
1458917484,212,196
1458924690,115,121
1458931294,153,119
1458938492,277,234
1458946292,252,176
1458953491,185,169
1458961291,122,130
1458967894,184,229
1458975086,181,237
1458982285,176,196
1458989482,107,152
1458996084,211,119
1459003886,249,240
1459011090,170,141
1459017694,291,209
1459026095,160,128
1459032695,126,115
1459040499,298,233
1459047692,174,216
1459054893,207,200
1459062086,103,169
1459068686,214,268
1459076495,269,193
1459083691,221,226
1459091491,118,125
1459098092,102,121
1459104687,280,252
1459111892,166,148
1459119100,265,158
1459126901,138,153
1459134698,170,220
1459141294,238,261
1459148492,174,208
1459155091,193,192
1459164093,157,217
1459173697,274,399
1459181497,206,277
1459189292,209,227
1459196488,131,145
1459203692,242,202
1459210894,219,170
1459218097,211,221
1459225295,148,127
1459233095,155,136
1459240896,257,307
1459248690,185,244
1459256484,168,226
1459263086,142,132
1459270285,278,218
1459277493,262,225
1459284691,236,211
1459292493,177,117
1459300287,126,168
1459307495,283,300
1459315892,222,263
1459323094,192,220
1459330297,114,184
1459337500,201,245
1459344687,208,253
1459351281,169,162
1459358486,208,151
1459365689,141,145
1459372895,246,200
1459380089,230,187
1459387889,226,184
1459395090,136,156
1459402290,112,174
1459408882,186,276
1459415484,115,150
1459422687,208,221
1459429878,150,140
1459437687,127,139
1459444289,279,222
1459452694,236,210
1459459293,179,136
1459466488,117,133
1459473688,228,227
1459481489,176,189
1459488094,208,242
1459495883,144,185
1459502485,88,147
1459509087,232,245
1459516286,152,156
1459523489,213,195
1459531285,230,136
1459537889,101,110
1459544487,258,220
1459550487,149,95
1459557688,215,221
1459565489,138,119
1459573287,164,239
1459579882,202,243
1459587084,219,211
1459593688,124,171
1459600279,114,125
1459606285,118,124
1459613487,222,201
1459620688,233,193
1459627886,147,140
1459635083,147,136
1459642283,203,216
1459650077,180,179
1459656685,209,169
1459665087,129,163
1459671683,80,128
1459678281,233,259
1459685483,133,144
1459691483,157,178
1459698077,98,135
1459702879,106,77
1459708279,98,78
1459714888,269,205
1459721485,147,109
1459729281,212,172
1459736480,159,143
1459743683,126,100
1459751485,255,296
1459758083,161,197
1459765307,155,217
1459773083,126,164
1459779081,142,169
1459786883,209,202
1459794079,197,149
1459800676,160,150
1459807876,132,114
1459814480,187,182
1459819879,167,141
1459825285,112,91
1459831889,188,198
1459839084,117,177
1459846278,74,143
1459852882,200,241
1459860080,124,142
1459864886,205,132
1459870887,134,120
1459878686,192,137
1459885289,201,217
1459892486,183,175
1459899722,191,207
1459906281,137,131
1459912283,82,98
1459917683,97,112
1459924877,202,250
1459931476,131,186
1459936882,106,100
1459942274,98,105
1459947074,98,76
1459953078,155,146
1459958478,160,141
1459964474,186,128
1459971081,170,168
1459977083,118,102
1459984280,138,151
1459991484,244,213
1459998082,149,120
1460005885,226,195
1460014286,142,163
1460020287,156,183
1460027478,248,253
1460033482,121,131
1460041280,158,271
1460047882,161,150
1460054477,116,129
1460061680,242,181
1460066481,130,108
1460072484,260,135
1460080287,167,154
1460087487,111,121
1460094682,212,285
1460101280,139,150
1460109080,139,226
1460115677,105,147
1460121078,95,103
1460126479,105,95
1460131880,231,203
1460136684,140,125
1460142679,200,188
1460149883,179,112
1460156484,111,133
1460162486,230,199
1460169684,176,199
1460177483,233,203
1460184079,108,156
1460191283,121,143
1460197886,177,198
1460203282,134,157
1460208079,80,79
1460214082,150,158
1460219483,148,99
1460224885,79,82
1460230285,107,79
1460236286,218,205
1460243483,134,133
1460250685,184,174
1460256082,118,109
1460263278,83,105
1460268677,176,236
1460293281,396,428
1460299282,70,97
1460304080,67,70
1460308882,112,78
1460314283,103,81
1460319688,225,107
1460325695,159,180
