DateTime,Entries,UniqueIPs
1455498693,3040,6941
1455513089,3163,7067
1455520892,3037,6939
1455529297,3081,6985
1455543088,3138,7043
1455557482,2973,6878
1455571894,3140,7049
1455579092,3172,7082
1455587495,3059,6965
1455596495,3044,6950
1455605488,3150,7059
1455613291,3167,7074
1455627683,3133,7048
1455635486,3134,7050
1455642684,3091,7005
1455651686,3204,7124
1455660087,3187,7108
1455674491,3231,7149
1455681687,3129,7040
1455689487,3171,7084
1455698492,3123,7035
1455707490,3145,7059
1455721282,3168,7084
1455735687,3184,7100
1455750697,3217,7130
1455759097,3038,6946
1455766901,3086,6995
1455775888,3153,7058
1455784880,3169,7074
1455793287,2940,6837
1455807087,3096,6993
1455821490,3071,6965
1455835887,3011,6902
1455843089,3074,6966
1455850890,3077,6968
1455858686,3029,6917
1455867681,2994,6881
1455876084,3056,6943
1455885089,2982,6868
1455896492,2945,6830
1455909091,3008,6902
1455917489,3029,6922
1455924694,3132,7030
1455932484,3073,6972
1455941486,3103,7005
1455949887,3146,7050
1455957692,3100,7005
1455966690,3038,6943
1455980488,3126,7034
1455994893,3143,7058
1456002690,3139,7054
1456011091,3170,7088
1456018292,3247,7166
1456026088,3192,7109
1456034483,3158,7075
1456042292,3107,7022
1456050696,3162,7078
1456057891,3089,7002
1456065684,3077,6988
1456072883,3099,7013
1456081885,3151,7064
1456095684,3233,7147
1456103491,3224,7140
1456114291,3193,7110
1456121488,3193,7113
1456129889,3170,7092
1456144293,3188,7114
1456152093,3239,7166
1456160492,3274,7202
1456174888,3160,7087
1456189287,3282,7207
1456198887,3261,7186
1456206685,3189,7115
1456215090,3134,7058
1456223486,3109,7031
1456237883,3103,7020
1456246284,3072,6990
1456302084,2675,6578
1456316483,2778,6163
1456330879,3147,6000
1456338079,2224,2354
1456345881,2347,2479
1456360282,2575,2711
1456367477,2653,2789
1456375882,2728,2868
1456384283,2791,2933
1456392677,2763,2902
1456406479,2783,2925
1456420884,2835,2979
1456427486,2895,3041
1456435875,2836,2983
1456449663,2880,3030
1456457472,2808,2956
1456471875,2821,2974
1456485081,2606,2755
1456499475,2573,2721
1456513873,2691,2836
1456528275,2587,2732
1456536081,2643,2791
1456543286,2550,2697
1456551674,2608,2756
1456559478,2524,2668
1456573878,2481,2600
1456588281,2473,2584
1456602678,2510,2618
1456617084,2576,2686
