DateTime,Entries,UniqueIPs
1455513089,5736,5736
1455520892,5706,5706
1455529297,5635,5635
1455543088,5611,5611
1455557482,5638,5638
1455571894,5752,5752
1455579092,5809,5809
1455587495,5819,5819
1455596495,5780,5780
1455605488,5657,5657
1455613291,5610,5610
1455627683,5639,5639
1455635486,5614,5614
1455642684,5625,5625
1455651686,5608,5608
1455660087,5638,5638
1455674491,5714,5714
1455681687,5724,5724
1455689487,5716,5716
1455698492,5689,5689
1455707490,5649,5649
1455721282,5627,5627
1455735687,5634,5634
1455750697,5727,5727
1455759097,5747,5747
1455766901,5710,5710
1455775888,5672,5672
1455784880,5624,5624
1455793287,5595,5595
1455807087,5602,5602
1455821490,5576,5576
1455835887,5512,5512
1455843089,5597,5597
1455850890,5663,5663
1455858686,5678,5678
1455867681,5596,5596
1455876084,5621,5621
1455885089,5518,5518
1455896492,5400,5400
1455909091,4881,4881
1455917489,4902,4902
1455924694,5033,5033
1455932484,5223,5223
1455941486,5686,5686
1455949887,5743,5743
1455957692,5694,5694
1455966690,5691,5691
1455980488,5651,5651
1455994893,5730,5730
1456002690,5746,5746
1456011091,4868,4868
1456018292,4896,4896
1456026088,4850,4850
1456034483,4864,4864
1456042292,4823,4823
1456050696,5706,5706
1456057891,5701,5701
1456065684,5708,5708
1456072883,5682,5682
1456081885,5708,5708
1456095684,5810,5810
1456103491,5861,5861
1456114291,5771,5771
1456121488,5689,5689
1456129889,5617,5617
1456144293,5589,5589
1456152093,5595,5595
1456160492,5609,5609
1456174888,5662,5662
1456189287,5795,5795
1456198887,5759,5759
1456206685,5712,5712
1456215090,5609,5609
1456223486,5543,5543
1456237883,5314,5314
1456246284,4991,4991
1456302084,1620,1620
1456316483,1588,1588
1456330879,1609,1609
1456338079,1654,1654
1456345881,1719,1719
1456360282,1780,1780
1456367477,1782,1782
1456375882,1708,1708
1456384283,1644,1644
1456392677,1547,1547
1456406479,1513,1513
1456420884,1502,1502
1456427486,1563,1563
1456435875,1582,1582
1456449663,1659,1659
1456457472,1617,1617
1456471875,1474,1474
1456485081,1383,1383
1456499475,1333,1333
1456513873,1421,1421
1456528275,1472,1472
1456536081,1536,1536
1456543286,1560,1560
1456551674,1463,1463
1456559478,1421,1421
1456573878,1254,1254
1456588281,1298,1298
1456602678,1389,1389
1456617084,1495,1495
1456624876,1518,1518
1456639279,1455,1455
1456653075,1382,1382
1456667469,1310,1310
1456680673,1357,1357
1456693868,1483,1483
1456701671,1547,1547
1456708870,1559,1559
1456717276,1549,1549
1456731675,1459,1459
1456744876,1399,1399
1456752071,1388,1388
1456766474,1477,1477
1456780872,1458,1458
1456787475,1495,1495
1456796475,1560,1560
1456803678,1547,1547
1456812679,1555,1555
1456825874,1385,1385
1456839673,1383,1383
1456852273,1405,1405
1456860083,1504,1504
1456867882,1531,1531
1456882286,1565,1565
1456889478,1532,1532
1456897275,1471,1471
1456905073,1445,1445
1456919477,1504,1504
1456926674,1507,1507
1456934476,1539,1539
1456942278,1570,1570
1456949476,1537,1537
1456957876,1491,1491
1456966286,1488,1488
1456974077,1466,1466
1456981280,1479,1479
1456995680,1479,1479
1457009477,1372,1372
1457023884,1381,1381
1457038286,1470,1470
1457046087,1508,1508
1457053285,1524,1524
1457061687,1505,1505
1457070082,1510,1510
1457079089,1450,1450
1457086290,1444,1444
1457094676,1376,1376
1457108470,1362,1362
1457122880,1525,1525
1457130083,1573,1573
1457137886,1561,1561
1457145679,1564,1564
1457154683,1570,1570
1457162481,1531,1531
1457170882,1514,1514
1457184675,1436,1436
1457199075,1548,1548
1457206280,1577,1577
1457214079,1597,1597
1457227880,1657,1657
1457235683,1638,1638
1457244683,1618,1618
1457254284,1476,1476
1457262681,1426,1426
1457270476,1395,1395
1457284273,1371,1371
1457292075,1512,1512
1457299874,1518,1518
1457307679,1593,1593
1457314882,1581,1581
1457323877,1532,1532
1457332877,1493,1493
1457346676,1478,1478
1457361076,1464,1464
1457375474,1503,1503
1457389276,1559,1559
1457397072,1537,1537
1457411467,1475,1475
1457425875,1424,1424
1457439675,1383,1383
1457454071,1463,1463
1457468484,1572,1572
1457476283,1634,1634
1457483484,1688,1688
1457491275,1673,1673
1457500281,1580,1580
1457508679,1556,1556
1457523081,1487,1487
1457537475,1459,1459
1457551877,1540,1540
1457566279,1562,1562
1457580673,1573,1573
1457595074,1502,1502
1457609479,1495,1495
1457623275,1432,1432
1457637676,1456,1456
1457644881,1543,1543
1457659283,1549,1549
1457673686,1461,1461
1457688080,1433,1433
1457701276,1333,1333
1457713877,1373,1373
1457725283,1473,1473
1457733081,1492,1492
1457740880,1432,1432
1457755279,1482,1482
1457769681,1406,1406
1457783479,1432,1432
1457797877,1480,1480
1457805686,1762,1762
1457820093,1772,1772
