DateTime,AddedIPs,RemovedIPs
1458640563,31,38
1458647765,50,19
1458651364,23,36
1458658564,41,29
1458662164,31,0
1458669363,34,58
1458672964,22,41
1458680163,37,42
1458683763,34,46
1458690963,109,0
1458694564,30,52
1458701764,50,0
1458705365,21,74
1458708964,16,0
1458712564,16,28
1458719763,34,52
1458723364,22,38
1458730564,43,45
1458734166,17,23
1458741364,31,44
1458744964,21,23
1458748563,15,0
1458752164,16,45
1458755763,25,0
1458759365,14,51
1458766563,29,38
1458770164,26,0
1458777364,65,127
1458780963,21,40
1458784564,35,0
1458788164,31,17
1458795364,26,47
1458798964,29,0
1458806164,34,34
1458809765,20,74
1458813364,27,0
1458816963,38,14
1458824164,76,40
1458827764,34,18
1458831364,17,0
1458834964,23,36
1458842164,44,34
1458845764,24,0
1458852963,39,59
1458856563,19,67
1458863764,41,0
1458867363,15,12
1458874565,62,46
1458878164,23,21
1458885364,35,17
1458888964,27,30
1458896164,50,18
1458899763,38,73
1458906966,46,70
1458910564,40,18
1458917763,43,18
1458921367,21,25
1458928564,24,37
1458932164,20,76
1458939363,29,0
1458942963,24,22
1458950164,41,63
1458953763,24,0
1458960963,60,60
1458964563,26,51
1458968164,19,0
1458971763,20,19
1458978963,43,46
1458982564,19,43
1458989764,41,48
1458993364,26,33
1459000565,38,51
1459004163,26,19
1459011364,29,40
1459014964,34,34
1459022164,55,31
1459025764,12,27
1459032963,36,51
1459036564,30,23
1459043763,29,59
1459047363,28,16
1459054564,22,19
1459058164,13,72
1459065364,16,32
1459068964,25,56
1459076164,50,0
1459079773,28,79
1459086963,47,0
1459090565,47,67
1459097763,52,0
1459101363,40,61
1459108564,112,7
1459112163,28,40
1459119364,56,30
1459126564,38,19
1459130163,41,10
1459137364,48,24
1459140967,33,11
1459148163,41,22
1459151764,30,25
1459158964,44,42
1459162571,24,29
1459169777,26,46
1459173363,28,32
1459176964,18,0
1459180576,18,55
1459187777,32,33
1459191377,15,110
1459198565,30,15
1459202164,20,62
1459209363,46,43
1459212969,15,22
1459220164,51,44
1459223764,26,35
1459230964,20,54
1459234570,17,44
1459241764,35,70
1459245367,40,22
1459248964,25,0
1459252576,27,41
1459259776,42,17
1459263364,27,45
1459270577,37,48
1459274163,22,18
1459281364,29,35
1459284964,13,28
1459288563,19,0
1459292164,30,57
1459299364,33,13
1459302963,32,41
1459310164,37,13
1459313764,17,23
1459320964,31,23
1459324564,19,25
1459331764,42,43
1459335364,30,53
1459342563,29,38
1459346164,22,25
1459353364,33,50
1459356963,19,16
1459364163,35,26
1459367763,25,10
1459371364,16,0
1459374964,17,51
1459382163,41,43
1459385763,26,24
1459392964,59,35
1459396564,21,22
1459400164,10,0
1459403764,17,26
1459410964,31,16
1459414564,21,43
1459421763,90,23
1459425363,29,38
1459432564,36,22
1459436165,6,34
1459443364,26,17
1459450564,41,57
1459454163,13,0
1459461364,28,34
1459464964,21,50
1459472164,30,17
1459475763,14,44
1459482964,24,12
1459486564,20,35
1459493763,34,35
1459500964,49,31
1459504564,29,93
1459511764,34,20
1459515363,11,26
1459518963,19,13
1459522563,17,35
1459529764,44,24
1459533364,22,0
1459540564,44,17
1459544164,13,22
1459551363,36,22
1459554963,42,38
1459562164,23,30
1459565764,23,27
1459572964,41,30
1459576564,17,36
1459583764,32,46
1459587363,16,17
1459594563,50,19
1459598164,24,15
1459601764,19,0
1459605363,14,40
1459612564,36,40
1459616163,25,24
1459623365,29,42
1459626963,14,18
1459634165,17,52
1459637765,23,42
1459644964,41,36
1459648563,14,31
1459652163,11,0
1459655764,7,39
1459659364,3,24
1459662964,2,0
1459670164,15,45
1459673763,9,71
1459680964,37,12
1459684564,22,15
1459691763,34,20
1459695363,24,39
1459698963,61,0
1459702563,33,44
1459709764,49,15
1459713364,36,13
1459720564,36,20
1459724163,24,0
1459731364,31,43
1459734963,13,0
1459738564,15,9
1459742164,12,13
1459745763,20,3
1459749363,20,0
1459756563,34,16
1459760163,34,13
1459767364,44,31
1459770964,16,22
