DateTime,Entries,UniqueIPs
1458572164,1040,1052
1458575763,1061,1072
1458582963,1055,1065
1458586564,1035,1045
1458593763,1035,1046
1458597364,1025,1036
1458604564,1031,1041
1458608165,1030,1041
1458615364,1049,1063
1458618965,1052,1066
1458626164,1058,1072
1458629763,1057,1071
1458636963,1043,1052
1458640563,1035,1045
1458647765,1068,1076
1458651364,1055,1063
1458658564,1067,1075
1458662164,1098,1106
1458669363,1077,1082
1458672964,1059,1063
1458680163,1054,1058
1458683763,1042,1046
1458690963,1150,1155
1458694564,1127,1133
1458701764,1173,1183
1458705365,1121,1130
1458708964,1137,1146
1458712564,1125,1134
1458719763,1108,1116
1458723364,1092,1100
1458730564,1090,1098
1458734166,1083,1092
1458741364,1070,1079
1458744964,1068,1077
1458748563,1083,1092
1458752164,1055,1063
1458755763,1080,1088
1458759365,1044,1051
1458766563,1034,1042
1458770164,1060,1068
1458777364,999,1006
1458780963,979,987
1458784564,1014,1022
1458788164,1028,1036
1458795364,1007,1015
1458798964,1036,1044
1458806164,1036,1044
1458809765,984,990
1458813364,1010,1017
1458816963,1034,1041
1458824164,1069,1077
1458827764,1085,1093
1458831364,1102,1110
1458834964,1089,1097
1458842164,1100,1107
1458845764,1123,1131
1458852963,1102,1111
1458856563,1056,1063
1458863764,1097,1104
1458867363,1100,1107
1458874565,1110,1123
1458878164,1112,1125
1458885364,1129,1143
1458888964,1126,1140
1458896164,1158,1172
1458899763,1126,1137
1458906966,1101,1113
1458910564,1124,1135
1458917763,1148,1160
1458921367,1145,1156
1458928564,1132,1143
1458932164,1076,1087
1458939363,1104,1116
1458942963,1106,1118
1458950164,1083,1096
1458953763,1107,1120
1458960963,1106,1120
1458964563,1081,1095
1458968164,1098,1114
1458971763,1099,1115
1458978963,1099,1112
1458982564,1077,1088
1458989764,1070,1081
1458993364,1063,1074
1459000565,1051,1061
1459004163,1057,1068
1459011364,1047,1057
1459014964,1050,1057
1459022164,1074,1081
1459025764,1059,1066
1459032963,1044,1051
1459036564,1050,1058
1459043763,1019,1028
1459047363,1030,1040
1459054564,1033,1043
1459058164,975,984
1459065364,958,968
1459068964,927,937
1459076164,975,987
1459079773,925,936
1459086963,972,983
1459090565,952,963
1459097763,1004,1015
1459101363,983,994
1459108564,1088,1099
1459112163,1078,1087
1459119364,1103,1113
1459126564,1122,1132
1459130163,1152,1163
1459137364,1175,1187
1459140967,1195,1209
1459148163,1214,1228
1459151764,1219,1233
1459158964,1221,1235
1459162571,1217,1230
1459169777,1200,1210
1459173363,1197,1206
1459176964,1215,1224
1459180576,1179,1187
1459187777,1177,1186
1459191377,1082,1091
1459198565,1097,1106
1459202164,1055,1064
1459209363,1058,1067
1459212969,1051,1060
1459220164,1058,1067
1459223764,1049,1058
1459230964,1015,1024
1459234570,988,997
1459241764,956,962
1459245367,974,980
1459248964,999,1005
1459252576,984,991
1459259776,1009,1016
1459263364,991,998
1459270577,980,987
1459274163,984,991
1459281364,978,985
1459284964,965,970
1459288563,983,989
1459292164,956,962
1459299364,976,982
1459302963,963,973
1459310164,984,997
1459313764,978,991
1459320964,985,999
1459324564,979,993
1459331764,976,992
1459335364,954,969
1459342563,946,960
1459346164,943,957
1459353364,928,940
1459356963,931,943
1459364163,940,952
1459367763,955,967
1459371364,971,983
1459374964,940,949
1459382163,940,947
1459385763,942,949
1459392964,963,973
1459396564,962,972
1459400164,972,982
1459403764,962,973
1459410964,978,988
1459414564,957,966
1459421763,1024,1033
1459425363,1017,1024
1459432564,1031,1038
1459436165,1004,1010
1459443364,1013,1019
1459450564,997,1003
1459454163,1010,1016
1459461364,1004,1010
1459464964,974,981
1459472164,987,994
1459475763,957,964
1459482964,968,976
1459486564,954,961
1459493763,952,960
1459500964,970,978
1459504564,908,914
1459511764,922,928
1459515363,907,913
1459518963,913,919
1459522563,896,901
1459529764,916,921
1459533364,938,943
1459540564,965,970
1459544164,956,961
1459551363,970,975
1459554963,975,979
1459562164,967,972
1459565764,961,968
1459572964,972,979
1459576564,953,960
1459583764,938,946
1459587363,937,945
1459594563,970,976
1459598164,979,985
1459601764,997,1004
1459605363,972,978
1459612564,968,974
1459616163,969,975
1459623365,956,962
1459626963,949,958
1459634165,915,923
1459637765,896,904
1459644964,901,909
1459648563,884,892
1459652163,895,903
1459655764,863,871
1459659364,841,850
1459662964,843,852
1459670164,813,822
1459673763,751,760
1459680964,776,785
1459684564,783,792
1459691763,797,806
1459695363,782,791
1459698963,843,852
1459702563,833,841
1459709764,866,875
1459713364,889,898
1459720564,904,914
1459724163,927,938
1459731364,914,926
1459734963,927,939
1459738564,933,945
1459742164,932,944
1459745763,949,961
1459749363,969,981
1459756563,987,999
1459760163,1007,1020
1459767364,1020,1033
1459770964,1015,1027
1459778164,1029,1041
1459785364,1014,1025
1459788964,1012,1022
1459796163,1006,1016
1459799763,996,1007
1459806964,998,1009
1459810564,968,980
1459814166,1002,1016
1459817763,982,997
1459824964,971,985
1459828564,978,992
1459835763,1074,1090
1459839365,1080,1096
1459846563,1088,1103
1459850163,1093,1108
1459857363,1101,1115
1459860963,1091,1104
1459868164,1094,1107
1459871764,1092,1105
1459875364,1111,1124
1459878964,1098,1111
1459886164,1103,1116
1459889764,1087,1099
1459896963,1109,1122
1459900563,1082,1096
1459904163,1087,1101
1459907763,1059,1072
