DateTime,Entries,UniqueIPs
1458582963,299,299
1458586564,297,297
1458593763,296,296
1458597364,297,297
1458604564,298,298
1458608165,299,299
1458615364,300,300
1458618965,300,300
1458626164,299,299
1458629763,298,298
1458636963,298,298
1458640563,300,300
1458647765,297,297
1458651364,298,298
1458658564,295,295
1458662164,297,297
1458669363,296,296
1458672964,298,298
1458680163,298,298
1458683763,300,300
1458690963,299,299
1458694564,300,300
1458701764,299,299
1458705365,299,299
1458708964,299,299
1458712564,300,300
1458719763,299,299
1458723364,298,298
1458730564,299,299
1458734166,298,298
1458741364,298,298
1458744964,298,298
1458748563,300,300
1458752164,300,300
1458755763,300,300
1458759365,299,299
1458766563,299,299
1458770164,300,300
1458777364,299,299
1458780963,298,298
1458784564,299,299
1458788164,297,297
1458795364,296,296
1458798964,299,299
1458806164,297,297
1458809765,298,298
1458813364,300,300
1458816963,299,299
1458824164,300,300
1458827764,298,298
1458831364,297,297
1458834964,298,298
1458842164,298,298
1458845764,299,299
1458852963,299,299
1458856563,298,298
1458863764,300,300
1458867363,300,300
1458874565,300,300
1458878164,299,299
1458885364,297,297
1458888964,297,297
1458896164,300,300
1458899763,299,299
1458906966,299,299
1458910564,300,300
1458917763,300,300
1458921367,300,300
1458928564,300,300
1458932164,300,300
1458939363,299,299
1458942963,299,299
1458950164,299,299
1458953763,298,298
1458960963,299,299
1458964563,297,297
1458968164,297,297
1458971763,297,297
1458978963,298,298
1458982564,298,298
1458989764,298,298
1458993364,295,295
1459000565,300,300
1459004163,298,298
1459011364,299,299
1459014964,300,300
1459022164,300,300
1459025764,300,300
1459032963,300,300
1459036564,299,299
1459043763,297,297
1459047363,298,298
1459054564,298,298
1459058164,299,299
1459065364,297,297
1459068964,297,297
1459076164,295,295
1459079773,298,298
1459086963,295,295
1459090565,298,298
1459097763,298,298
1459101363,299,299
1459108564,300,300
1459112163,300,300
1459119364,300,300
1459126564,300,300
1459130163,299,299
1459137364,300,300
1459140967,299,299
1459148163,299,299
1459151764,298,298
1459158964,299,299
1459162571,300,300
1459169777,299,299
1459173363,300,300
1459176964,299,299
1459180576,299,299
1459187777,299,299
1459191377,299,299
1459198565,298,298
1459202164,300,300
1459209363,299,299
1459212969,299,299
1459220164,300,300
1459223764,300,300
1459230964,299,299
1459234570,298,298
1459241764,298,298
1459245367,300,300
1459248964,300,300
1459252576,298,298
1459259776,298,298
1459263364,299,299
1459270577,297,297
1459274163,299,299
1459281364,298,298
1459284964,298,298
1459288563,300,300
1459292164,299,299
1459299364,300,300
1459302963,299,299
1459310164,298,298
1459313764,298,298
1459320964,297,297
1459324564,296,296
1459331764,297,297
1459335364,299,299
1459342563,299,299
1459346164,299,299
1459353364,299,299
1459356963,298,298
1459364163,299,299
1459367763,299,299
1459371364,300,300
1459374964,300,300
1459382163,300,300
1459385763,300,300
1459392964,299,299
1459396564,299,299
1459400164,300,300
1459403764,299,299
1459410964,299,299
