DateTime,Entries,UniqueIPs
1457616083,2337,2429
1457623280,2337,2429
1457630481,2341,2433
1457637681,2347,2439
1457644886,2346,2438
1457652688,2339,2430
1457659289,2342,2433
1457667087,2338,2428
1457673692,2338,2428
1457680881,2342,2433
1457688083,2337,2427
1457695282,2339,2429
1457701280,2335,2425
1457707282,2338,2428
1457713882,2340,2429
1457719883,2341,2428
1457725288,2336,2423
1457733087,2336,2423
1457740885,2338,2425
1457748084,2342,2429
1457755285,2341,2428
1457762489,2343,2430
1457769684,2338,2425
1457776284,2337,2423
1457783484,2339,2425
1457790683,2337,2424
1457797882,2338,2425
1457805692,2335,2422
1457812894,2332,2418
1457820100,2330,2415
1457827897,2340,2426
1457836888,2336,2420
1457845288,2335,2418
1457853088,2343,2426
1457862090,2340,2423
1457869289,2343,2426
1457876487,2339,2422
1457884887,2340,2423
1457892091,2338,2421
1457899890,2335,2418
1457908894,2329,2412
1457915492,2336,2419
1457923288,2333,2416
1457932886,2340,2423
1457941288,2339,2421
1457947889,2341,2423
1457955087,2338,2420
1457961686,2341,2423
1457969484,2339,2421
1457976087,2341,2423
1457983887,2342,2423
1457991084,2345,2426
1457998291,2350,2431
1458005492,2349,2429
1458013286,2351,2431
1458019898,2351,2431
1458027093,2354,2434
1458034898,2348,2428
1458043890,2350,2429
1458052889,2356,2436
1458061888,2353,2433
1458069688,2353,2433
1458077487,2348,2428
1458084097,2349,2428
1458091888,2347,2426
1458099083,2347,2426
1458106290,2353,2432
1458113483,2354,2433
1458120688,2349,2428
1458128495,2338,2417
1458136897,2338,2417
1458144092,2342,2421
1458151303,2341,2419
1458158501,2341,2419
1458166300,2340,2417
1458174703,2342,2419
1458181895,2348,2425
1458189094,2346,2423
1458196302,2347,2423
1458202893,2347,2423
1458210696,2341,2417
1458217890,2345,2422
1458225091,2346,2423
1458232289,2348,2425
1458239490,2351,2427
1458246696,2353,2429
1458253899,2358,2434
1458261097,2354,2430
1458268296,2353,2430
1458274887,2350,2427
1458282691,2348,2426
1458289887,2351,2429
1458297090,2348,2426
1458303684,2346,2424
1458310284,2350,2428
1458318086,2347,2426
1458324689,2356,2435
1458332487,2354,2431
1458340287,2358,2435
1458346285,2364,2441
1458354682,2361,2438
1458361884,2363,2442
1458369687,2351,2431
1458378690,2346,2426
1458387089,2349,2429
1458393689,2344,2424
1458400288,2343,2423
1458408088,2342,2421
1458415291,2343,2421
1458422492,2342,2421
1458429691,2338,2417
1458436886,2334,2412
1458444082,2340,2421
1458451287,2337,2417
1458459086,2333,2414
1458465688,2337,2418
1458472887,2333,2414
1458480084,2334,2415
1458487286,2338,2420
1458494480,2335,2417
1458501085,2345,2427
1458508287,2344,2426
1458516087,2338,2421
1458522684,2346,2431
1458531088,2350,2435
1458538287,2352,2436
1458546084,2352,2436
1458552686,2351,2435
1458559886,2355,2440
1458567691,2356,2441
1458574285,2352,2436
1458580888,2357,2441
1458588088,2350,2432
1458595295,2353,2435
1458602492,2357,2439
1458610291,2351,2433
1458624682,2349,2431
1458631883,2351,2433
1458639689,2346,2428
1458648684,2340,2420
1458657686,2342,2422
1458664283,2347,2426
1458672088,2349,2428
1458678685,2349,2428
1458685879,2347,2427
1458693086,2346,2426
1458699081,2342,2426
1458706877,2341,2425
1458714080,2335,2419
1458721279,2338,2424
1458728480,2335,2420
1458735681,2336,2421
1458742880,2338,2423
1458750682,2339,2424
1458757283,2334,2419
1458764489,2336,2419
1458771693,2334,2417
1458779491,2331,2414
1458786692,2327,2409
1458794486,2326,2408
1458802281,2330,2412
1458810082,2328,2410
1458817282,2336,2418
1458824484,2334,2416
1458831080,2330,2412
1458838282,2334,2416
1458845480,2337,2419
1458852679,2340,2422
1458859881,2343,2425
1458867081,2348,2430
1458874289,2352,2436
1458882089,2357,2441
1458889890,2359,2443
1458896482,2359,2444
1458903085,2359,2444
1458910881,2358,2443
1458917479,2354,2439
1458924686,2356,2440
1458931289,2351,2435
1458938488,2358,2442
1458946287,2356,2441
1458953486,2356,2441
1458961285,2352,2437
1458967889,2357,2444
1458975079,2357,2443
1458982280,2356,2442
1458989477,2355,2441
1458996080,2357,2443
1459003880,2357,2443
1459011086,2359,2445
1459017689,2361,2447
1459026090,2359,2445
1459032690,2358,2444
1459040492,2350,2436
1459047687,2351,2437
1459054888,2357,2443
1459062080,2357,2442
1459068681,2357,2442
1459076490,2356,2441
1459083686,2358,2443
1459091486,2355,2440
1459098086,2362,2447
1459104681,2364,2449
