DateTime,AddedIPs,RemovedIPs
1457623280,25,22
1457630481,24,23
1457637681,26,27
1457644886,25,26
1457652688,24,25
1457659289,21,20
1457667087,23,24
1457673692,23,23
1457680881,23,23
1457688083,22,23
1457695282,23,22
1457701280,26,23
1457707282,26,26
1457713882,25,27
1457719883,22,23
1457725288,22,22
1457733087,25,24
1457740885,25,24
1457748084,24,25
1457755285,22,25
1457762489,21,20
1457769684,24,23
1457776284,24,22
1457783484,21,24
1457790683,24,23
1457797882,25,23
1457805692,25,26
1457812894,20,22
1457820100,24,23
1457827897,25,24
1457836888,22,25
1457845288,22,22
1457853088,25,22
1457862090,24,23
1457869289,23,24
1457876487,23,23
1457884887,23,23
1457892091,20,24
1457899890,22,21
1457908894,26,22
1457915492,24,25
1457923288,26,25
1457932886,24,26
1457941288,25,24
1457947889,23,23
1457955087,23,24
1457961686,25,23
1457969484,25,26
1457976087,23,25
1457983887,25,23
1457991084,24,25
1457998291,26,24
1458005492,24,26
1458013286,20,21
1458019898,24,23
1458027093,20,24
1458034898,23,17
1458043890,24,26
1458052889,23,24
1458061888,23,22
1458069688,23,23
1458077487,24,24
1458084097,23,24
1458091888,23,23
1458099083,25,23
1458106290,23,23
1458113483,26,25
1458120688,26,26
1458128495,26,26
1458136897,25,26
1458144092,24,25
1458151303,25,24
1458158501,24,25
1458166300,23,21
1458174703,21,26
1458181895,24,21
1458189094,26,23
1458196302,26,27
1458202893,24,26
1458210696,20,21
1458217890,21,23
1458225091,22,19
1458232289,24,23
1458239490,26,25
1458246696,25,26
1458253899,23,25
1458261097,22,21
1458268296,26,23
1458274887,23,26
1458282691,24,24
1458289887,25,24
1458297090,25,25
1458303684,22,23
1458310284,22,21
1458318086,27,25
1458324689,22,26
1458332487,24,22
1458340287,23,23
1458346285,25,25
1458354682,24,25
1458361884,24,22
1458369687,24,26
1458378690,25,24
1458387089,22,21
1458393689,23,26
1458400288,23,21
1458408088,23,25
1458415291,24,23
1458422492,23,23
1458429691,23,24
1458436886,25,23
1458444082,25,23
1458451287,26,27
1458459086,23,26
1458465688,23,22
1458472887,21,23
1458480084,24,22
1458487286,26,23
1458494480,19,23
1458501085,24,23
1458508287,24,23
1458516087,26,25
1458522684,27,26
1458531088,25,27
1458538287,23,23
1458546084,23,24
1458552686,20,22
1458559886,24,20
1458567691,26,26
1458574285,26,26
1458580888,22,23
1458588088,25,24
1458595295,25,26
1458602492,25,24
1458610291,25,26
1458617490,21,24
1458624682,24,20
1458631883,23,24
1458639689,23,25
1458648684,24,23
1458657686,21,23
1458664283,24,21
1458672088,24,24
1458678685,21,23
1458685879,26,23
1458693086,25,25
1458699081,24,24
1458706877,25,26
1458714080,22,25
1458721279,21,19
1458728480,24,23
1458735681,23,25
1458742880,24,22
1458750682,25,25
1458757283,24,25
1458764489,23,22
1458771693,23,25
1458779491,25,23
1458786692,24,24
1458794486,24,25
1458802281,21,21
1458810082,24,24
1458817282,18,20
1458824484,23,20
1458831080,22,23
1458838282,24,23
1458845480,25,24
1458852679,25,26
1458859881,24,23
1458867081,26,26
1458874289,26,25
1458882089,26,27
1458889890,25,26
1458896482,25,25
1458903085,26,25
1458910881,24,26
1458917479,25,24
1458924686,21,21
1458931289,22,23
1458938488,25,23
1458946287,26,25
1458953486,26,27
1458961285,23,26
1458967889,27,23
1458975079,24,25
1458982280,24,26
1458989477,22,24
1458996080,23,18
