DateTime,Entries,UniqueIPs
1457637681,26,26
1457644886,25,25
1457652688,24,24
1457659289,25,25
1457667087,24,24
1457673692,24,24
1457680881,24,24
1457688083,23,23
1457695282,24,24
1457701280,27,27
1457707282,27,27
1457713882,25,25
1457719883,24,24
1457725288,24,24
1457733087,25,25
1457740885,26,26
1457748084,25,25
1457755285,22,22
1457762489,23,23
1457769684,24,24
1457776284,26,26
1457783484,23,23
1457790683,24,24
1457797882,26,26
1457805692,25,25
1457812894,23,23
1457820100,24,24
1457827897,25,25
1457836888,22,22
1457845288,22,22
1457853088,25,25
1457862090,26,26
1457869289,25,25
1457876487,25,25
1457884887,25,25
1457892091,21,21
1457899890,22,22
1457908894,26,26
1457915492,25,25
1457923288,26,26
1457932886,24,24
1457941288,25,25
1457947889,25,25
1457955087,24,24
1457961686,26,26
1457969484,25,25
1457976087,23,23
1457983887,25,25
1457991084,24,24
1457998291,26,26
1458005492,24,24
1458013286,23,23
1458019898,24,24
1458027093,20,20
1458034898,26,26
1458043890,24,24
1458052889,23,23
1458061888,24,24
1458069688,24,24
1458077487,24,24
1458084097,23,23
1458091888,23,23
1458099083,25,25
1458106290,25,25
1458113483,26,26
1458120688,26,26
1458128495,26,26
1458136897,25,25
1458144092,24,24
1458151303,25,25
1458158501,24,24
1458166300,26,26
1458174703,21,21
1458181895,24,24
1458189094,27,27
1458196302,26,26
1458202893,24,24
1458210696,23,23
1458217890,21,21
1458225091,24,24
1458232289,25,25
1458239490,26,26
1458246696,25,25
1458253899,23,23
1458261097,24,24
1458268296,27,27
1458274887,24,24
1458282691,24,24
1458289887,25,25
1458297090,25,25
1458303684,24,24
1458310284,25,25
1458318086,27,27
1458324689,23,23
1458332487,25,25
1458340287,25,25
1458346285,25,25
1458354682,24,24
1458361884,26,26
1458369687,24,24
1458378690,25,25
1458387089,26,26
1458393689,23,23
1458400288,25,25
1458408088,23,23
1458415291,24,24
1458422492,24,24
1458429691,23,23
1458436886,25,25
1458444082,27,27
1458451287,26,26
1458459086,23,23
1458465688,24,24
1458472887,22,22
1458480084,24,24
1458487286,27,27
1458494480,23,23
1458501085,24,24
1458508287,25,25
1458516087,26,26
1458522684,27,27
1458531088,25,25
1458538287,25,25
1458546084,24,24
1458552686,22,22
1458559886,26,26
1458567691,26,26
1458574285,26,26
1458580888,25,25
1458588088,26,26
1458595295,25,25
