DateTime,AddedIPs,RemovedIPs
1458820202,1,0
1458824702,0,1
1458861601,1,0
1458865502,0,1
1458885002,1,0
1458888602,0,1
1458914702,1,0
1458984900,1,0
1458986702,0,1
1459002001,0,1
1459255802,1,0
1459260601,1,1
1459433401,1,0
1459434002,0,1
1459437601,0,1
1459555201,2,0
1459583701,1,0
1459587901,1,1
1459728002,3,0
1459755002,0,1
1459814401,2,0
1459848901,1,0
1459860901,1,1
1459900801,1,0
1459934101,0,1
1459987202,3,0
1460073602,4,0
1460160002,2,0
1460189702,1,0
1460194501,1,1
1460208001,0,1
1460209202,1,0
1460267102,0,1
1460268602,1,0
1460281501,0,1
1460281801,1,0
1460366402,0,1
1460534102,1,0
1460538302,1,1
1460543101,0,1
1460629501,1,0
1460634302,1,1
1460639401,0,1
1460640302,1,0
1460643901,1,1
1460649001,0,1
1460678401,1,0
1460764802,10,0
1461052201,1,0
1461056402,1,1
1461060902,1,1
1461065701,0,1
