DateTime,AddedIPs,RemovedIPs
1441551249,51,47
1441559017,36,0
1441575764,35,76
1441601484,50,38
1441630024,50,56
1441637231,34,0
1441662954,27,61
1441686019,49,49
1441695848,35,52
1441716335,26,27
1441733626,38,30
1441750595,23,61
1441772418,35,0
1441800656,51,57
1441819235,48,46
1441844806,44,63
1441848593,37,0
1441859645,22,49
1441887884,34,47
1441896473,24,0
1441924518,44,30
1441945822,65,59
1441947834,27,33
1441973129,45,0
1441982496,31,20
1442009039,29,47
1442022469,23,56
1442033357,46,28
1442069152,50,121
1442076743,40,0
1442095551,31,30
1442115975,43,43
1442126035,37,44
1442152542,57,0
1442154427,11,0
1442180214,36,70
1442203392,53,85
1442211617,28,54
1442241458,57,21
1442253605,39,32
1442267648,31,47
1442283810,37,0
1442291770,27,24
1442302851,33,52
1442319364,34,0
1442329323,25,35
1442352687,26,73
1442369468,52,36
1442377797,37,35
1442406515,41,55
1442417254,35,27
1442440451,26,45
1442455972,48,0
1442464498,45,38
1442493578,35,80
1442503223,33,0
1442525472,49,29
1442551748,60,80
1442560759,37,44
1442585297,47,40
1442597502,35,45
1442614954,29,53
1442635532,46,0
1442638717,31,33
1442672807,44,86
1442675922,27,0
1442700529,34,31
1442717135,47,39
1442735570,36,74
1442752332,29,0
1442761641,36,24
1442786519,31,91
1442802622,40,0
1442810617,32,41
1442836281,34,27
1442854741,34,66
1442872744,30,0
1442896991,64,63
1442933483,73,72
1442943434,43,30
1442959973,29,70
1442974332,40,0
1443027713,78,117
1443075184,72,166
1443116079,84,82
1443147814,63,0
1443193228,74,69
1443233566,67,62
1443290650,76,148
1443320622,59,84
1443376935,86,54
1443407456,79,92
1443462374,84,0
1443499333,69,143
1443537484,92,0
1443580535,72,78
1443625189,74,159
1443661766,88,0
1443719796,92,169
1443754480,86,100
1443808874,82,88
1443838555,87,0
1443891590,83,82
1443933048,72,151
1443981855,82,87
1444014290,81,0
1444064065,71,72
1444109466,64,158
1444148435,53,0
1444182544,67,66
1444230874,51,54
1444269366,47,63
1444325672,69,108
1444355665,69,74
1444410537,74,0
1444443006,78,135
1444488075,86,0
1444529870,65,165
1444573450,85,71
1444614513,82,0
1444670219,108,153
1444710108,100,111
1444746478,82,0
1444788472,89,98
1444833074,57,79
1444875699,88,84
1444920041,79,154
1444960598,106,0
1445007385,67,166
1445047984,107,93
1445094432,97,98
1445137316,120,106
1445189602,110,118
1445220809,124,0
1445266581,84,106
1445307984,104,108
1445361889,102,199
1445391155,100,0
1445450174,81,198
1445480082,82,89
1445525539,59,93
1445565325,90,60
1445623863,83,88
1445660031,99,87
1445696549,63,0
1445738300,89,81
1445787305,77,158
1445823444,91,72
1445871173,77,0
1445909641,98,97
1445954955,64,72
1445995778,80,164
1446042168,66,90
1446083332,93,68
1446129265,98,88
1446170345,111,106
1446215866,64,107
1446255157,78,0
1446301554,70,69
1446340801,89,139
1446388161,64,90
1446432586,113,72
1446478578,67,102
1446518092,117,0
1446575824,75,180
1446608504,118,85
1446655265,71,0
1446693358,89,107
1446739639,73,165
1446776526,75,0
1446826460,48,78
1446866113,91,123
1446912625,71,91
1446952177,104,0
1446994928,59,64
1447038369,82,162
1447086007,80,91
1447125614,80,70
1447172766,60,96
1447212682,95,57
1447258040,53,0
1447296574,79,79
1447344103,69,148
1447381931,69,0
1447427988,72,65
1447467296,67,63
1447517048,78,145
1447563361,95,79
1447601470,105,0
1447641195,92,87
1447685468,75,94
1447725757,68,99
1447775224,52,159
1447812822,74,56
1447858214,75,0
1447898898,67,72
1447965658,62,138
1447984706,75,64
1448029162,57,0
1448071064,91,128
1448116919,76,93
1448157516,78,0
1448208323,54,151
1448241577,70,0
1448288930,62,58
1448328766,61,128
1448374488,55,0
1448412223,57,63
1448462305,89,110
1448504004,118,97
1448548457,116,113
1448590507,121,0
1448634115,116,108
1448675078,107,108
1448720335,117,237
1448760978,127,0
1448807228,96,109
1448847898,109,229
1448895569,108,112
1448933351,111,0
1448981062,90,103
1449020513,78,200
1449067187,92,89
1449102419,78,0
1449153969,83,84
1449204104,105,162
1449241887,79,109
1449279970,91,0
1449328947,83,173
1449365558,97,83
1449415105,89,0
1449452981,85,92
1449500317,76,79
1449554672,81,172
1449592521,82,75
1449623153,88,0
1449675080,89,89
1449723057,117,173
1449759711,79,117
1449799167,80,0
1449845918,75,87
1449886746,119,147
1449931856,108,119
1449978449,104,104
1450018425,117,0
1450060326,100,104
1450104022,63,221
1450143849,89,0
1450190137,78,159
1450242905,97,79
1450277470,73,95
1450326520,80,0
1450363816,86,164
1450403244,94,0
1450452099,68,73
1450489993,111,85
1450546670,105,185
1450576477,112,0
1450623523,63,97
1450663001,98,187
1450709668,69,0
1450748320,88,170
1450794175,80,0
1450834541,80,83
1450887968,77,169
1450919667,89,0
1450969243,79,58
1451008399,95,176
1451056296,61,0
1451095093,88,157
1451144122,77,95
1451182805,99,71
1451229611,68,0
1451268589,81,94
1451314318,64,155
1451354153,64,0
1451409373,104,128
1451440831,86,0
1451490565,84,82
1451529066,70,188
1451574601,82,0
1451614813,80,78
1451665983,71,157
1451701502,90,0
1451745248,71,67
1451788312,102,164
1451839601,76,108
1451878974,84,67
1451920560,55,0
1451961628,88,85
1452007107,84,56
1452045576,79,80
1452102206,66,170
1452133772,52,73
1452178545,58,0
1452220891,84,110
1452267603,57,86
1452306446,67,0
1452351919,77,53
1452402373,72,141
1452441682,79,79
1452484908,85,0
1452527998,49,159
1452575186,73,52
1452612450,49,0
1452656639,93,74
1452706521,52,134
1452740944,77,0
1452786428,56,52
1452825135,66,76
1452872299,53,59
1452913042,82,70
1452957441,50,138
1453001633,91,52
1453055015,61,85
1453088922,66,0
1453132874,55,59
1453171702,77,63
1453213195,52,56
1453254508,67,76
1453311980,66,125
1453343795,73,64
1453400566,69,78
1453431198,66,0
1453489569,78,128
1453521252,79,77
1453563611,68,0
1453604782,101,76
1453665869,56,171
1453691404,84,63
1453739126,50,0
1453788314,61,132
1453824992,66,0
1453873410,86,63
1453907351,50,67
1453945816,74,76
1454002067,61,132
1454042765,75,63
1454080473,80,0
1454170616,97,258
1454220648,73,0
1454254176,99,0
1454310962,89,159
1454342840,68,93
1454412768,80,61
1454434882,64,86
1454486558,95,0
1454517250,64,55
1454556724,79,91
1454602683,68,67
1454646382,89,157
1454688023,77,0
1454728751,76,80
1454771831,76,153
1454811389,91,0
1454858155,68,81
1454895628,96,92
1454944525,50,65
1454983994,72,146
1455045442,67,81
1455077546,79,66
1455132431,86,0
1455160011,97,72
1455215234,67,74
1455246420,77,177
1455288430,60,0
1455327781,109,80
1455380569,58,162
1455416348,78,74
1455470551,56,80
1455500778,73,0
1455554442,57,46
1455588812,96,131
