DateTime,AddedIPs,RemovedIPs
1450143842,69,26
1450164279,15,95
1450190124,75,0
1450203897,23,62
1450242899,89,44
1450250752,77,0
1450277460,78,30
1450291894,43,76
1450326511,118,36
1450337685,71,0
1450363807,71,104
1450376551,18,24
1450403240,74,56
1450424004,55,0
1450452091,76,92
1450462948,48,0
1450489919,80,81
1450510028,38,0
1450546661,66,25
1450550623,29,0
1450576470,66,128
1450596610,19,42
1450623516,45,37
1450636640,9,31
1450662994,44,0
1450683237,16,27
1450709660,48,74
1450722866,17,23
1450748311,33,33
1450768920,10,33
1450794167,46,0
1450810209,11,97
1450834536,36,27
1450857523,16,26
1450887958,86,29
1450895275,6,0
1450919661,32,34
1450942667,12,40
1450969238,47,55
1450982257,17,0
1451008394,43,72
1451029146,12,27
1451056287,40,36
1451069790,10,0
1451095088,44,65
1451117295,13,20
1451144116,43,0
1451155346,8,25
1451182798,34,69
1451202350,14,22
1451229603,41,42
1451241809,6,0
1451268583,45,71
1451288538,13,20
1451314312,42,32
1451328003,14,0
1451354146,42,47
1451376661,11,33
1451409363,72,30
1451414358,10,30
1451440823,48,38
1451463196,11,20
1451490556,44,32
1451501920,10,25
1451529059,49,41
1451547129,11,0
1451574593,56,17
1451587271,13,59
1451614806,51,32
1451635291,9,25
1451665977,89,29
1451673653,5,0
1451701495,34,57
1451720817,17,0
1451745241,59,26
1451761003,12,30
1451788305,54,31
1451808634,6,85
1451839594,78,36
1451847890,12,0
1451878967,44,51
1451894496,16,0
1451920553,31,26
1451933683,9,31
1451961623,29,19
1451980658,14,74
1452007099,52,37
1452018833,13,0
1452045572,41,69
1452068007,15,28
1452102202,93,38
1452106815,13,25
1452133768,56,0
1452152935,18,98
1452178541,42,0
1452191976,14,95
1452220889,72,26
1452239254,38,41
1452278076,56,38
1452306442,114,42
1452325416,44,60
1452351913,64,36
1452365343,13,64
1452402367,88,39
1452410237,58,0
1452441677,81,47
1452450551,57,0
1452484902,62,75
1452498670,63,31
1452527991,63,35
1452537933,36,60
1452575182,83,60
1452582736,59,0
1452612445,79,108
1452623421,50,66
1452656636,78,48
1452670644,57,70
1452706517,98,33
1452710264,22,0
1452740939,62,93
1452757431,42,0
1452786425,67,93
1452796549,45,0
1452825128,64,56
1452843539,41,170
1452872289,64,53
1452882532,42,0
1452913038,54,67
1452929309,51,149
1452957435,65,57
1452969252,27,0
1453001626,52,127
1453015794,38,71
1453055787,33,112
1453088914,77,63
1453102091,46,48
1453132865,70,0
1453141956,41,129
1453171697,68,27
1453188217,40,39
1453213189,65,0
1453227938,25,37
1453254503,78,20
1453275462,38,71
1453311970,69,42
1453314536,25,0
1453343791,60,25
1453361858,52,32
1453401126,45,65
1453431195,73,52
1453447716,44,0
1453489563,64,108
1453521248,75,30
1453532299,59,0
1453563604,71,72
1453573701,63,0
1453604773,104,53
1453621792,46,0
1453659828,36,58
1453665860,45,14
1453691397,57,29
1453706701,43,0
1453739121,66,51
1453747118,58,16
1453788306,106,24
1453791794,28,0
1453824986,59,50
1453831155,57,0
1453873404,74,52
1453878119,35,0
1453907341,76,62
1453918769,58,0
1453945809,67,51
1453966770,43,0
1454002061,115,92
1454006051,33,25
1454042758,69,30
1454051089,50,0
1454080469,60,27
1454091936,37,32
1454138474,31,82
1454170614,106,35
1454177306,51,0
1454220639,61,62
1454225663,33,0
1454254169,78,16
1454265419,39,78
1454310954,0,49
1454312266,35,33
1454342834,74,28
1454351431,40,38
1454399186,36,28
1454412762,55,36
1454434876,63,68
1454439469,50,25
1454486155,42,33
1454486552,19,21
1454517245,66,26
1454524581,41,0
1454556719,73,61
1454571764,44,0
1454602675,51,74
1454610612,57,34
1454646378,78,34
1454657417,34,0
1454688014,68,30
1454697217,51,77
1454728745,54,77
1454744201,42,18
1454771825,71,40
1454782929,34,0
1454811384,62,53
1454830653,21,85
1454858150,67,0
1454869398,32,0
1454895625,51,62
1454916754,24,48
1454944521,47,41
1454955955,17,42
1454983990,57,63
1455003378,32,117
1455045438,40,48
1455077540,64,65
1455089797,35,51
1455129060,28,106
1455132424,15,54
1455160002,55,0
1455176456,28,124
1455215496,33,118
1455246415,61,0
1455261931,32,101
1455288424,50,0
1455300835,24,114
1455327741,44,0
1455348950,18,94
1455380564,51,60
1455388021,26,0
1455416343,32,63
1455435999,17,94
1455470542,52,63
1455474435,26,0
1455500773,42,61
1455522511,15,50
1455554435,51,32
1455561072,30,48
1455588805,45,54
1455607525,21,48
1455641665,61,50
1455646477,26,0
1455676299,52,48
1455694791,28,49
1455729004,56,121
1455733437,28,61
1455760714,62,0
1455781582,21,87
1455814636,52,61
1455820546,25,51
1455855842,56,52
1455866946,45,0
1455901571,37,35
1455907315,37,124
1455936916,42,54
1455954438,27,39
1455987721,58,0
1455993451,32,0
1456025863,52,70
1456041673,28,51
1456069557,56,0
1456079618,37,0
1456115620,60,115
1456126045,43,57
1456161546,44,70
1456166450,36,62
1456194133,51,0
1456213449,21,125
1456243741,56,0
1456251855,35,47
1456285028,55,110
1456299975,47,67
1456325883,64,0
1456338816,24,106
1456365645,57,0
1456385162,25,153
1456421891,45,55
1456424558,32,56
1456459700,73,0
1456471196,60,60
1456499077,73,124
1456511673,40,48
1456548020,73,44
1456557407,53,0
1456583300,68,37
1456598512,24,115
1456627960,60,51
1456644751,37,106
1456675666,53,41
1456684595,43,38
1456722494,41,0
1456731728,26,55
1456761657,58,0
1456770096,36,124
1456798430,44,0
1456817863,19,112
1456846077,50,48
1456857338,16,0
1456886302,51,0
1456904581,31,43
1456935694,57,102
1456943893,33,39
1456988927,73,0
1457015814,73,75
1457029523,37,44
1457058315,62,43
1457076997,25,0
1457116078,18,119
1457126429,58,53
1457144260,72,0
1457163295,53,59
1457190857,64,54
1457202881,20,45
1457233743,58,49
1457250314,15,110
1457281852,48,45
1457288701,20,0
1457317123,58,54
1457334742,29,50
1457361315,54,42
1457374976,19,100
1457402483,68,0
1457421858,22,44
1457448634,57,45
1457460943,21,74
1457486895,53,0
1457508580,29,31
1457534152,50,43
1457547946,25,76
1457573234,56,0
1457594452,21,37
