DateTime,AddedIPs,RemovedIPs
1450077979,97,99
1450104013,136,134
1450117246,84,83
1450143842,133,132
1450164279,74,99
1450190124,135,112
1450203897,94,93
1450242899,134,137
1450250752,127,124
1450277460,141,140
1450291894,107,109
1450326511,143,141
1450337685,123,123
1450363807,137,139
1450376551,105,118
1450403240,142,126
1450424004,115,121
1450452091,137,138
1450462948,112,106
1450489919,138,137
1450510028,113,117
1450546661,133,136
1450550623,134,132
1450576470,135,132
1450596610,84,84
1450623516,113,114
1450636640,84,89
1450662994,99,92
1450683237,91,92
1450709660,117,119
1450722866,91,88
1450748311,93,97
1450768920,87,83
1450794167,104,107
1450810209,87,86
1450834536,98,102
1450857523,89,87
1450887958,103,99
1450895275,97,97
1450919661,92,93
1450942667,87,88
1450969238,110,110
1450982257,95,94
1451008394,101,104
1451029146,85,83
1451056287,108,107
1451069790,86,86
1451095088,93,93
1451117295,80,82
1451144116,104,103
1451155346,80,82
1451182798,97,96
1451202350,89,88
1451229603,108,106
1451241809,89,89
1451268583,107,111
1451288538,85,82
1451314312,111,113
1451328003,86,88
1451354146,103,103
1451376661,76,79
1451409363,106,104
1451414358,94,95
1451440823,110,108
1451463196,89,89
1451490556,111,108
1451501920,88,88
1451529059,110,107
1451547129,84,87
1451574593,125,124
1451587271,92,95
1451614806,117,113
1451635291,86,88
1451665977,107,105
1451673653,94,97
1451701495,90,88
1451720817,87,88
1451745241,116,115
1451761003,89,91
1451788305,126,122
1451808634,79,84
1451839594,119,114
1451847890,95,100
1451878967,114,108
1451894496,88,91
1451920553,101,100
1451933683,87,87
1451961623,99,102
1451980658,92,93
1452007099,120,116
1452018833,84,87
1452045572,108,107
1452068007,86,86
1452102202,116,114
1452106815,97,99
1452133768,137,135
1452152935,88,90
1452178541,100,98
1452191976,88,89
1452220889,136,134
1452239254,95,97
1452278076,96,98
1452306442,142,138
1452325416,95,94
1452351913,130,130
1452365343,101,101
1452402367,144,144
1452410237,113,114
1452441677,145,144
1452450551,111,112
1452484902,136,136
1452498670,110,112
1452527991,137,135
1452537933,109,112
1452575182,139,136
1452582736,113,116
1452612445,141,138
1452623421,114,114
1452656636,139,138
1452670644,111,113
1452706517,142,141
1452710264,128,129
1452740939,140,138
1452757431,114,116
1452786425,138,138
1452796549,122,122
1452825128,136,137
1452843539,115,113
1452872289,141,140
1452882532,112,116
1452913038,136,134
1452929309,110,111
1452957435,140,137
1452969252,111,113
1453001626,137,136
1453015794,98,102
1453055787,77,77
1453088914,137,133
1453102091,109,109
1453132865,139,138
1453141956,112,113
1453171697,141,140
1453188217,114,117
1453213189,123,121
1453227938,103,104
1453254503,140,139
1453275462,118,117
1453311970,133,134
1453314536,126,127
1453343791,136,135
1453361858,117,116
1453401126,81,81
1453431195,136,137
1453447716,97,101
1453489563,107,102
1453521248,140,140
1453532299,117,121
1453563604,142,138
1453573701,125,125
1453604773,142,143
1453621792,113,114
1453659828,72,70
1453665860,74,76
1453691397,137,135
1453706701,103,106
1453739121,137,137
1453747118,118,117
1453788306,138,138
1453791794,120,121
1453824986,138,137
1453831155,118,117
1453873404,138,137
1453878119,136,137
1453907341,138,139
1453918769,106,108
1453945809,141,138
1453966770,129,130
1454002061,145,143
1454006051,142,144
1454042758,141,139
1454051089,106,108
1454080469,132,130
1454091936,108,111
1454138474,78,77
1454170614,142,140
1454177306,109,111
1454220639,143,141
1454225663,140,141
1454254169,143,142
1454265419,116,117
1454312266,79,81
1454342834,139,137
1454351431,124,126
1454399186,67,66
1454412762,77,75
1454434876,135,137
1454439469,125,124
1454486155,90,92
1454486552,25,25
1454517245,139,137
1454524581,123,123
1454556719,140,139
1454571764,117,124
1454602675,137,130
1454610612,121,123
1454646378,143,141
1454657417,102,104
1454688014,139,137
1454697217,114,117
1454728745,138,136
1454744201,110,110
1454771825,140,139
1454782929,108,110
1454811384,138,137
1454830653,107,108
1454858150,140,139
1454869398,98,100
1454895625,121,119
1454916754,99,99
1454944521,128,130
1454955955,98,96
1454983990,140,140
1455003378,113,113
1455045438,84,84
1455077540,136,137
1455089797,101,104
1455129060,65,64
1455132424,35,36
1455160002,138,133
1455176456,104,106
1455215496,89,90
1455246415,137,135
1455261931,92,94
1455288424,118,118
1455300835,87,86
1455327741,118,117
1455348950,91,92
1455380564,135,134
1455388021,102,105
1455416343,124,124
1455435999,94,95
1455470542,136,132
1455474435,96,96
1455500773,123,126
1455522511,91,90
1455554435,136,136
1455561072,116,117
1455588805,127,125
1455607525,85,87
1455641665,137,134
1455646477,106,107
1455676299,143,141
1455694791,112,114
1455729004,141,140
1455733437,114,115
1455760714,137,135
1455781582,96,101
1455814636,140,137
1455820546,104,107
1455855842,135,133
1455866946,113,113
1455901571,138,135
1455907315,118,120
1455936916,127,127
1455954438,100,101
1455987721,142,139
1455993451,128,130
1456025863,136,135
1456041673,107,109
1456069557,140,137
1456079618,115,119
1456115620,137,134
1456126045,107,107
1456161546,140,140
1456166450,123,125
1456194133,127,125
1456213449,98,99
1456243741,140,139
1456251855,123,124
1456285028,139,137
1456299975,123,127
1456325883,138,135
1456338816,112,115
1456365645,136,135
1456385162,113,115
1456421891,140,138
1456424558,119,121
1456459700,144,139
1456471196,103,107
1456499077,141,139
1456511673,111,113
1456548020,141,137
1456557407,108,110
1456583300,134,136
1456598512,121,121
1456627960,142,138
1456644751,111,116
1456675666,141,137
1456684595,110,113
1456722494,135,131
1456731728,115,119
1456761657,135,132
1456770096,114,116
1456798430,138,136
1456817863,113,115
1456846077,132,129
1456857338,108,111
1456886302,139,136
1456904581,119,120
1456935694,141,140
1456943893,128,131
1456988927,135,134
1457015814,139,138
1457029523,122,124
1457058315,136,133
1457076997,128,130
1457116078,60,59
1457126429,90,89
1457144260,143,144
1457163295,122,124
1457190857,139,136
1457202881,102,104
1457233743,139,139
1457250314,108,109
1457281852,133,131
1457288701,104,106
1457317123,135,134
1457334742,100,101
1457361315,125,122
1457374976,90,93
1457402483,131,129
1457421858,103,103
1457448634,130,131
1457460943,102,104
1457486895,138,135
1457508580,121,122
1457534152,140,139
1457547946,113,115
1457573234,126,124
1457594452,107,111
1457633720,75,73
1457642586,107,106
1457658564,143,141
1457680369,116,119
1457705540,137,135
1457720175,117,119
1457745955,137,134
1457766321,118,122
1457789686,131,129
1457806632,115,117
1457831338,135,131
1457853512,122,126
1457879288,135,133
1457889311,122,123
1457915521,134,134
1457935754,126,127
1457960925,137,133
1457975447,126,129
1458001769,131,131
1458022605,122,125
1458050768,135,132
1458062091,124,122
1458087606,137,136
1458109252,123,126
1458141113,132,130
1458148040,117,121
1458174956,135,133
1458195948,119,119
1458222525,138,138
1458234898,127,124
1458259717,132,137
1458282386,121,117
1458308162,133,135
1458321630,122,121
1458355765,140,138
1458368574,121,124
1458394331,126,126
1458407571,100,99
1458431035,111,111
1458455204,99,99
1458482100,128,128
1458494745,106,108
1458521740,135,132
1458541477,103,105
1458565685,120,118
1458580823,96,100
1458607465,142,137
1458627786,102,105
1458657199,138,137
1458667678,99,100
1458693966,136,134
1458714108,99,103
1458740519,137,133
1458754089,122,123
1458783428,134,133
1458800539,110,110
1458824746,128,130
1458840166,105,104
1458873124,137,136
1458887465,102,100
1458919880,139,143
1458926996,133,129
1458963328,141,143
1458972086,119,122
1458997045,136,133
1459013184,123,125
1459043596,137,137
1459059203,107,105
1459086551,131,134
1459098725,123,123
1459127083,138,135
1459145902,116,116
1459184138,95,98
1459192738,80,79
1459214988,132,133
1459231154,107,107
1459260714,131,131
1459271481,102,102
1459297697,135,134
1459318090,105,107
1459349447,135,135
1459358946,110,105
1459404244,76,76
1459444367,86,86
1459468934,135,136
1459491529,99,100
1459517265,120,122
1459531180,90,88
1459555516,126,128
1459578275,96,92
1459602864,131,133
1459617832,93,93
1459642978,130,135
1459664731,94,89
1459688803,107,110
1459704067,84,80
1459734840,122,123
1459750626,91,90
1459774035,109,111
1459789939,84,83
1459813971,134,132
1459836678,94,96
1459859815,137,138
1459876617,94,92
1459902837,133,136
1459923648,98,97
1459948199,107,108
1459962892,90,90
1459989563,128,124
1460009763,89,90
1460032954,126,130
1460049825,95,93
1460076414,123,123
1460096744,86,84
1460127485,119,122
1460136290,92,88
1460161486,121,125
1460182553,94,91
1460206878,122,123
1460223269,89,89
1460246483,119,118
1460269571,103,103
1460294807,134,136
1460309006,92,91
1460332545,116,115
1460355915,84,85
1460382325,137,136
1460395714,87,89
1460423570,137,136
1460442681,105,104
1460468152,139,139
1460482018,96,98
1460506523,124,122
1460528478,93,94
1460553011,115,114
1460568610,93,92
1460592879,100,101
1460615381,97,96
1460639619,109,110
1460654227,91,91
1460678078,124,127
1460702046,101,97
1460726142,102,103
1460741064,81,80
1460767058,122,123
1460787757,99,98
1460812040,99,100
1460827602,86,86
1460852368,109,110
1460874863,88,89
1460898758,93,91
1460913787,85,88
1460939879,114,111
1460960470,96,99
1460985745,112,110
1461000140,86,88
1461024481,112,108
1461047082,86,91
1461070726,109,109
1461086712,82,81
