DateTime,Entries,UniqueIPs
1450143842,143,143
1450164279,118,118
1450190124,141,141
1450203897,142,142
1450242899,139,139
1450250752,142,142
1450277460,143,143
1450291894,141,141
1450326511,143,143
1450337685,143,143
1450363807,141,141
1450376551,128,128
1450403240,144,144
1450424004,138,138
1450452091,137,137
1450462948,143,143
1450489919,144,144
1450510028,140,140
1450546661,137,137
1450550623,139,139
1450576470,142,142
1450596610,142,142
1450623516,141,141
1450636640,136,136
1450662994,143,143
1450683237,142,142
1450709660,140,140
1450722866,143,143
1450748311,139,139
1450768920,143,143
1450794167,140,140
1450810209,141,141
1450834536,137,137
1450857523,139,139
1450887958,143,143
1450895275,143,143
1450919661,142,142
1450942667,141,141
1450969238,141,141
1450982257,142,142
1451008394,139,139
1451029146,141,141
1451056287,142,142
1451069790,142,142
1451095088,142,142
1451117295,140,140
1451144116,141,141
1451155346,139,139
1451182798,140,140
1451202350,141,141
1451229603,143,143
1451241809,143,143
1451268583,139,139
1451288538,142,142
1451314312,140,140
1451328003,138,138
1451354146,138,138
1451376661,135,135
1451409363,137,137
1451414358,136,136
1451440823,138,138
1451463196,138,138
1451490556,141,141
1451501920,141,141
1451529059,144,144
1451547129,141,141
1451574593,142,142
1451587271,139,139
1451614806,143,143
1451635291,141,141
1451665977,143,143
1451673653,140,140
1451701495,142,142
1451720817,141,141
1451745241,142,142
1451761003,140,140
1451788305,144,144
1451808634,139,139
1451839594,144,144
1451847890,139,139
1451878967,145,145
1451894496,142,142
1451920553,143,143
1451933683,143,143
1451961623,140,140
1451980658,139,139
1452007099,143,143
1452018833,140,140
1452045572,141,141
1452068007,141,141
1452102202,143,143
1452106815,141,141
1452133768,143,143
1452152935,141,141
1452178541,143,143
1452191976,142,142
1452220889,144,144
1452239254,142,142
1452278076,140,140
1452306442,144,144
1452325416,145,145
1452351913,145,145
1452365343,145,145
1452402367,145,145
1452410237,144,144
1452441677,145,145
1452450551,144,144
1452484902,144,144
1452498670,142,142
1452527991,144,144
1452537933,141,141
1452575182,144,144
1452582736,141,141
1452612445,144,144
1452623421,144,144
1452656636,145,145
1452670644,143,143
1452706517,144,144
1452710264,143,143
1452740939,145,145
1452757431,143,143
1452786425,143,143
1452796549,143,143
1452825128,142,142
1452843539,144,144
1452872289,145,145
1452882532,141,141
1452913038,143,143
1452929309,142,142
1452957435,145,145
1452969252,143,143
1453001626,144,144
1453015794,140,140
1453055787,140,140
1453088914,144,144
1453102091,144,144
1453132865,145,145
1453141956,144,144
1453171697,145,145
1453188217,142,142
1453213189,144,144
1453227938,143,143
1453254503,144,144
1453275462,145,145
1453311970,144,144
1453314536,143,143
1453343791,144,144
1453361858,145,145
1453401126,145,145
1453431195,144,144
1453447716,140,140
1453489563,145,145
1453521248,145,145
1453532299,141,141
1453563604,145,145
1453573701,145,145
1453604773,144,144
1453621792,143,143
1453659828,145,145
1453665860,143,143
1453691397,145,145
1453706701,142,142
1453739121,142,142
1453747118,143,143
1453788306,143,143
1453791794,142,142
1453824986,143,143
1453831155,144,144
1453873404,145,145
1453878119,144,144
1453907341,143,143
1453918769,141,141
1453945809,144,144
1453966770,143,143
1454002061,145,145
1454006051,143,143
1454042758,145,145
1454051089,143,143
1454080469,145,145
1454091936,142,142
1454138474,143,143
1454170614,145,145
1454177306,143,143
1454220639,145,145
1454225663,144,144
1454254169,145,145
1454265419,144,144
1454312266,142,142
1454342834,144,144
1454351431,142,142
1454399186,143,143
1454412762,145,145
1454434876,143,143
1454439469,144,144
1454486155,142,142
1454486552,142,142
1454517245,144,144
1454524581,144,144
1454556719,145,145
1454571764,138,138
1454602675,145,145
1454610612,143,143
1454646378,145,145
1454657417,143,143
1454688014,145,145
1454697217,142,142
1454728745,144,144
1454744201,144,144
1454771825,145,145
1454782929,143,143
1454811384,144,144
1454830653,143,143
1454858150,144,144
1454869398,142,142
1454895625,144,144
1454916754,144,144
1454944521,142,142
1454955955,144,144
1454983990,144,144
1455003378,144,144
1455045438,144,144
1455077540,143,143
1455089797,140,140
1455129060,141,141
1455132424,140,140
1455160002,145,145
1455176456,143,143
1455215496,142,142
1455246415,144,144
1455261931,142,142
1455288424,142,142
1455300835,143,143
1455327741,144,144
1455348950,143,143
1455380564,144,144
1455388021,141,141
1455416343,141,141
1455435999,140,140
1455470542,144,144
1455474435,144,144
1455500773,141,141
1455522511,142,142
1455554435,142,142
1455561072,141,141
1455588805,143,143
1455607525,141,141
1455641665,144,144
1455646477,143,143
1455676299,145,145
1455694791,143,143
1455729004,144,144
1455733437,143,143
1455760714,145,145
1455781582,140,140
1455814636,143,143
1455820546,140,140
1455855842,142,142
1455866946,142,142
1455901571,145,145
1455907315,143,143
1455936916,143,143
1455954438,142,142
1455987721,145,145
1455993451,143,143
1456025863,144,144
1456041673,142,142
1456069557,145,145
1456079618,141,141
1456115620,144,144
1456126045,144,144
1456161546,144,144
1456166450,142,142
1456194133,144,144
1456213449,143,143
1456243741,144,144
1456251855,143,143
1456285028,145,145
1456299975,141,141
1456325883,144,144
1456338816,141,141
1456365645,142,142
1456385162,140,140
1456421891,142,142
1456424558,140,140
1456459700,145,145
1456471196,141,141
1456499077,143,143
1456511673,141,141
1456548020,145,145
1456557407,143,143
1456583300,141,141
1456598512,141,141
1456627960,145,145
1456644751,140,140
1456675666,144,144
1456684595,141,141
1456722494,145,145
1456731728,141,141
1456761657,144,144
1456770096,142,142
1456798430,144,144
1456817863,142,142
1456846077,145,145
1456857338,142,142
1456886302,145,145
1456904581,144,144
1456935694,145,145
1456943893,142,142
1456988927,143,143
1457015814,144,144
1457029523,142,142
1457058315,145,145
1457076997,143,143
1457116078,144,144
1457126429,145,145
1457144260,144,144
1457163295,142,142
1457190857,145,145
1457202881,143,143
1457233743,143,143
1457250314,142,142
1457281852,144,144
1457288701,142,142
1457317123,143,143
1457334742,142,142
1457361315,145,145
1457374976,142,142
1457402483,144,144
1457421858,144,144
1457448634,143,143
1457460943,141,141
1457486895,144,144
1457508580,143,143
1457534152,144,144
1457547946,142,142
1457573234,144,144
1457594452,140,140
1457633720,142,142
1457642586,143,143
1457658564,145,145
1457680369,142,142
1457705540,144,144
1457720175,142,142
1457745955,145,145
1457766321,141,141
1457789686,143,143
1457806632,141,141
1457831338,145,145
1457853512,141,141
1457879288,143,143
1457889311,142,142
1457915521,142,142
1457935754,141,141
1457960925,145,145
1457975447,142,142
1458001769,142,142
1458022605,139,139
1458050768,142,142
1458062091,144,144
1458087606,145,145
1458109252,142,142
1458141113,144,144
1458148040,140,140
1458174956,142,142
1458195948,142,142
1458222525,142,142
1458234898,145,145
1458259717,140,140
1458282386,144,144
1458308162,142,142
1458321630,143,143
1458355765,145,145
1458368574,142,142
1458394331,142,142
1458407571,143,143
1458431035,143,143
1458455204,143,143
1458482100,143,143
1458494745,141,141
1458521740,144,144
1458541477,142,142
1458565685,144,144
1458580823,140,140
1458607465,145,145
1458627786,142,142
1458657199,143,143
1458667678,142,142
1458693966,144,144
1458714108,140,140
1458740519,144,144
1458754089,143,143
1458783428,144,144
1458800539,144,144
1458824746,142,142
1458840166,143,143
1458873124,144,144
1458887465,146,146
1458919880,142,142
1458926996,146,146
1458963328,144,144
1458972086,141,141
1458997045,144,144
1459013184,142,142
1459043596,142,142
1459059203,144,144
1459086551,141,141
1459098725,141,141
1459127083,144,144
1459145902,144,144
1459184138,141,141
1459192738,142,142
1459214988,141,141
1459231154,141,141
1459260714,141,141
1459271481,141,141
1459297697,142,142
1459318090,140,140
1459349447,140,140
1459358946,145,145
1459404244,145,145
1459444367,145,145
1459468934,144,144
1459491529,143,143
1459517265,141,141
1459531180,143,143
1459555516,141,141
1459578275,145,145
