DateTime,AddedIPs,RemovedIPs
1450254601,6,0
1450269001,12,0
1450283401,9,70
1450297801,11,0
1450315801,6,0
1450330202,6,0
1450344601,10,0
1450359001,8,0
1450377002,13,76
1450391401,17,0
1450405801,15,0
1450420201,14,0
1450434604,6,0
1450452601,18,69
1450467001,7,0
1450481401,146,0
1450495801,10,0
1450510201,5,0
1450528202,9,0
1450542601,9,68
1450557001,9,0
1450571402,4,0
1450585802,12,0
1450600201,6,0
1450614602,10,0
1450629001,4,43
1450643401,8,0
1450657802,13,0
1450672201,13,0
1450686602,8,0
1450701001,3,0
1450715402,8,46
1450733402,17,0
1450747802,8,0
1450762202,10,0
1450776601,12,0
1450791001,11,0
1450809001,15,71
1450823402,18,0
1450837802,20,0
1450852202,8,0
1450866605,14,0
1450881001,6,0
1450895405,14,55
1450909802,10,0
1450924202,5,0
1450938602,9,0
1450953004,8,0
1450967401,7,0
1450981802,8,70
1450996202,8,0
1451010601,9,0
1451025001,4,0
1451039403,13,0
1451053802,9,0
1451068201,9,77
1451082602,10,0
1451097002,16,0
1451111402,9,0
1451125805,2,0
1451143801,11,55
1451176202,17,0
1451194201,12,0
1451208602,6,0
1451230201,14,62
1451244601,9,0
1451259001,15,0
1451273402,15,0
1451287801,3,0
1451302204,14,0
1451316602,14,58
1451331001,21,0
1451345402,19,0
1451359802,8,0
1451374202,6,0
1451388604,11,0
1451403001,4,47
1451417407,9,0
1451439001,11,0
1451453401,10,0
1451467801,6,0
1451482204,11,0
1451496601,15,47
1451511001,14,0
1451525401,8,0
1451539802,5,0
1451554202,4,0
1451568602,3,0
1451583001,9,53
1451597402,9,0
1451611801,10,0
1451626201,3,0
1451647801,6,0
1451662201,10,78
1451676602,11,0
1451691002,12,0
1451705402,8,0
1451719801,11,0
1451734204,10,0
1451748601,6,191
1451763001,14,0
1451777401,8,0
1451791802,9,0
1451806201,9,0
1451820603,14,0
1451835001,7,41
1451849401,7,0
1451863801,11,0
1451878201,11,0
1451892601,6,0
1451907004,8,0
1451921404,16,61
1451935801,7,0
1451950201,11,0
1451964601,10,0
1451979001,5,0
1451993401,6,0
1452007802,5,0
1452022202,19,54
1452036601,7,0
1452051001,11,0
1452072602,10,0
1452087001,14,0
1452101401,8,90
1452115801,18,0
1452130201,9,0
1452144602,11,0
1452159001,9,0
1452173401,10,0
1452187801,11,65
1452202202,15,0
1452216602,15,0
1452231001,14,0
1452245402,6,0
1452259801,30,0
1452277801,19,45
1452292201,25,0
1452306601,24,0
1452321001,11,0
1452335404,12,0
1452349802,15,0
1452364202,39,69
1452378602,13,0
1452393001,17,0
1452407401,9,0
1452421805,14,0
1452436205,34,0
1452450602,52,41
1452465002,18,0
1452479402,18,0
1452493801,10,0
1452508205,11,0
1452522602,9,0
1452537001,125,62
1452551401,10,0
1452565802,13,0
1452580202,7,0
1452594604,7,0
1452609005,7,0
1452623404,18,75
1452637803,6,0
1452652202,10,0
1452666605,8,0
1452681005,7,0
1452695402,12,0
1452709802,46,49
1452724201,15,0
1452738602,15,0
1452753001,15,0
1452767404,12,0
1452781802,20,0
1452796202,52,59
1452810602,32,1
1452825002,19,0
1452839402,10,0
1452853804,18,0
1452871802,20,0
1452886202,81,39
1452900602,11,0
1452915004,9,0
1452936601,9,0
1452961804,20,54
1452976204,9,0
1452990605,15,0
1453005005,14,0
1453019401,6,0
1453033805,6,0
1453048205,17,55
1453062605,11,0
1453077002,9,0
1453091402,9,0
1453105802,7,0
1453120205,11,0
1453134604,15,58
1453149005,18,0
1453163405,23,0
1453177805,11,0
1453192202,5,0
1453206602,11,0
1453221002,9,55
1453235402,17,0
1453249802,13,0
1453264202,14,0
1453278602,6,0
1453293002,9,0
1453307402,12,56
1453321802,9,0
1453336202,14,0
1453350602,10,0
1453365001,16,0
1453379404,13,0
1453393804,13,0
1453408202,9,64
1453422602,7,3
1453437002,7,1
1453451401,9,0
1453465803,7,0
1453480202,7,76
1453494602,13,0
1453509002,18,0
1453523402,17,0
1453537802,10,0
1453552202,5,0
1453566602,13,0
1453581002,17,114
1453595402,16,0
1453609802,11,0
1453624201,6,0
1453638605,13,0
1453653001,4,107
1453667401,11,0
1453681801,10,0
1453696202,6,0
1453710603,8,0
1453725002,8,0
1453739402,13,143
1453753802,11,0
1453768201,10,0
1453782601,10,0
1453797002,6,0
1453811402,7,0
1453825802,13,1
1453840202,20,171
1453854602,13,0
1453869002,12,0
1453883401,8,0
1453897804,17,0
1453912201,12,0
1453926602,19,55
1453941001,16,0
1453955402,8,0
1453969801,9,0
1453984201,17,0
1453998601,10,0
1454013001,9,105
1454027402,11,0
1454041802,17,0
1454056202,12,0
1454070605,14,0
1454085001,16,0
1454099401,17,123
1454113801,8,0
1454128202,8,0
1454142601,3,0
1454157001,14,0
1454171402,9,0
1454185801,14,166
1454200202,7,0
1454214602,8,0
1454229001,6,0
1454243404,10,0
1454257801,9,0
1454272202,8,65
1454286601,16,0
1454301001,10,0
1454315402,8,0
1454329804,16,0
1454344201,21,0
1454358602,16,60
1454373001,15,0
1454387401,15,0
1454401801,8,0
1454416204,13,0
1454430604,12,0
1454445001,16,80
1454459402,14,0
1454473801,7,0
1454488201,5,0
1454502603,6,0
1454517004,10,0
1454531402,7,68
1454545802,8,0
1454560201,16,0
1454574601,12,0
1454589001,10,0
1454603402,13,0
1454617802,14,64
1454632201,14,0
1454646601,16,0
1454661002,11,0
1454675401,13,0
1454689801,14,0
1454704201,15,60
1454718602,19,0
1454733001,17,0
1454747401,5,0
1454761801,6,0
1454776202,11,0
1454790601,9,73
1454805001,13,0
1454819402,5,0
1454833801,8,0
1454848203,6,0
1454862602,7,0
1454877001,14,74
1454891401,11,0
1454905801,10,0
1454920202,11,0
1454934715,10,0
1454949001,17,0
1454963402,11,48
1454977802,13,0
1454992202,9,0
1455006602,15,0
1455021005,13,0
1455035402,4,0
1455049801,10,0
1455064202,6,59
1455078601,10,0
1455093001,2,0
1455107404,10,0
1455121802,16,0
1455136202,19,74
1455150602,13,0
1455165002,11,0
1455179402,15,0
1455193804,19,0
1455208201,15,0
1455222601,11,0
1455237002,11,76
1455251401,14,0
1455265802,5,0
1455280201,10,0
1455294601,12,0
1455309001,20,77
1455323402,9,0
1455337801,13,0
1455352201,11,0
1455366604,10,0
1455381004,12,0
1455395404,12,70
1455409801,9,0
1455424201,7,0
1455438601,18,0
1455453004,9,0
1455467402,11,0
1455481802,8,56
1455496202,7,0
1455510602,10,0
1455525002,6,0
1455539404,3,0
1455553802,13,0
1455568201,12,56
1455582601,17,0
1455597001,11,0
1455611401,4,0
1455625801,15,0
1455640201,9,0
1455654602,11,95
1455669002,12,0
1455683401,11,0
1455697801,11,0
1455712204,15,0
1455726601,25,0
1455741001,0,576
1455755404,67,67
1455827401,51,51
1455913801,79,79
1455928201,1,1
1455957001,1,1
1456000201,85,85
1456014601,1,1
1456086601,53,53
1456173001,55,55
1456201801,2,2
1456259400,70,70
1456317000,1,1
1456331401,1,1
1456345801,53,53
1456432201,82,82
1456475402,1,1
1456489801,1,1
1456533001,83,83
1456576203,1,1
1456605004,1,1
1456619404,75,75
1456691403,62,62
1456749003,1,1
1456864201,120,120
1456936201,2,2
1456950601,62,62
1457037001,24,24
1457123401,43,43
1457137801,1,1
1457166600,1,1
1457209801,136,136
1457253001,1,1
1457296200,13,13
1457382601,3,3
1457397001,8,8
1457469001,270,270
1457497801,1,1
1457541001,1,1
1457555401,82,82
1457641801,87,87
1457670601,1,1
1457713801,2,2
1457728201,65,65
1457814601,60,60
1457901001,64,64
1457944201,1,1
1457987401,70,70
1458088201,63,63
