DateTime,Entries,UniqueIPs
1450283401,913,913
1450297801,924,924
1450315801,930,930
1450330202,936,936
1450344601,946,946
1450359001,954,954
1450377002,891,891
1450391401,908,908
1450405801,923,923
1450420201,937,937
1450434604,943,943
1450452601,892,892
1450467001,899,899
1450481401,1045,1045
1450495801,1055,1055
1450510201,1060,1060
1450528202,1069,1069
1450542601,1010,1010
1450557001,1019,1019
1450571402,1023,1023
1450585802,1035,1035
1450600201,1041,1041
1450614602,1051,1051
1450629001,1012,1012
1450643401,1020,1020
1450657802,1033,1033
1450672201,1046,1046
1450686602,1054,1054
1450701001,1057,1057
1450715402,1019,1019
1450733402,1036,1036
1450747802,1044,1044
1450762202,1054,1054
1450776601,1066,1066
1450791001,1077,1077
1450809001,1021,1021
1450823402,1039,1039
1450837802,1059,1059
1450852202,1067,1067
1450866605,1081,1081
1450881001,1087,1087
1450895405,1046,1046
1450909802,1056,1056
1450924202,1061,1061
1450938602,1070,1070
1450953004,1078,1078
1450967401,1085,1085
1450981802,1023,1023
1450996202,1031,1031
1451010601,1040,1040
1451025001,1044,1044
1451039403,1057,1057
1451053802,1066,1066
1451068201,998,998
1451082602,1008,1008
1451097002,1024,1024
1451111402,1033,1033
1451125805,1035,1035
1451143801,991,991
1451176202,1008,1008
1451194201,1020,1020
1451208602,1026,1026
1451230201,978,978
1451244601,987,987
1451259001,1002,1002
1451273402,1017,1017
1451287801,1020,1020
1451302204,1034,1034
1451316602,990,990
1451331001,1011,1011
1451345402,1030,1030
1451359802,1038,1038
1451374202,1044,1044
1451388604,1055,1055
1451403001,1012,1012
1451417407,1021,1021
1451439001,1032,1032
1451453401,1042,1042
1451467801,1048,1048
1451482204,1059,1059
1451496601,1027,1027
1451511001,1041,1041
1451525401,1049,1049
1451539802,1054,1054
1451554202,1058,1058
1451568602,1061,1061
1451583001,1017,1017
1451597402,1026,1026
1451611801,1036,1036
1451626201,1039,1039
1451647801,1045,1045
1451662201,977,977
1451676602,988,988
1451691002,1000,1000
1451705402,1008,1008
1451719801,1019,1019
1451734204,1029,1029
1451748601,844,844
1451763001,858,858
1451777401,866,866
1451791802,875,875
1451806201,884,884
1451820603,898,898
1451835001,864,864
1451849401,871,871
1451863801,882,882
1451878201,893,893
1451892601,899,899
1451907004,907,907
1451921404,862,862
1451935801,869,869
1451950201,880,880
1451964601,890,890
1451979001,895,895
1451993401,901,901
1452007802,906,906
1452022202,871,871
1452036601,878,878
1452051001,889,889
1452072602,899,899
1452087001,913,913
1452101401,831,831
1452115801,849,849
1452130201,858,858
