DateTime,AddedIPs,RemovedIPs
1457481985,289,2807
1457492784,1159,932
1457500014,632,701
1457507194,866,888
1457510791,450,536
1457521589,2256,1188
1457532390,6979,1622
1457546800,6023,48
1457550398,513,8
1457553979,501,23
1457557593,293,9
1457561179,299,4
1457564785,227,11
1457568393,280,16656
1457571998,228,403
1457582786,878,936
1457586386,342,378
1457590010,499,263
1457600806,1767,1058
1457604402,555,871
1457608013,428,756
1457611589,587,372
1457615194,831,1215
1457618799,1372,9
1457625992,1418,26
1457633198,1204,28
1457636795,395,13
1457647597,775,26
1457661993,1522,12873
1457665589,250,446
1457669198,387,352
1457672785,270,251
1457676394,295,414
1457679988,307,474
1457687208,767,825
1457694390,3730,1412
1457705191,5120,2977
1457708786,1889,20
1457712405,834,15
1457715997,786,14
1457723194,904,20
1457726797,283,11
1457730402,601,8
1457733855,432,10
1457741199,774,12929
1457748391,831,447
1457766390,2189,1665
1457769992,666,655
1457773592,1063,535
1457780797,1220,1147
1457788000,1321,896
1457795211,1532,6
1457802393,1091,9
1457809600,1138,17
1457813193,396,21
1457820402,671,13
1457827594,630,6202
1457845580,1766,1820
1457849188,362,247
1457852807,276,297
1457856394,375,292
1457859991,602,308
1457867192,1196,2240
1457885199,3028,3715
1457903204,3165,33
1457906802,378,8
1457913994,612,8829
1457924784,1475,1159
1457928416,941,355
1457931998,740,389
1457935598,315,443
1457960798,6351,4156
1457968000,7439,41
1457971596,2588,4
1457975203,1756,19
1457982409,3647,12
1457986008,824,6
1457989603,774,9
1458000397,2020,5867
1458003983,473,264
1458014803,2194,1239
1458018390,860,279
1458025590,735,614
1458036393,1632,1231
1458043598,4236,1116
1458047197,1324,699
1458065207,4903,51
1458083202,11804,62
1458090390,2835,6739
1458094002,1319,715
1458097605,1202,357
1458111994,4334,2025
1458115590,704,352
1458122799,1287,798
1458126402,483,527
1458137205,8194,1356
1458140797,956,17
1458165995,6617,75
1458187600,2573,23736
1458194799,1470,1346
1458202000,1064,728
1458205604,676,523
1458209202,2525,476
1458216403,4549,3569
1458227204,11006,1014
1458241604,8509,65
1458245192,1802,23
1458263201,3733,18902
1458270398,1404,2549
1458273997,1253,1241
1458281200,946,2372
1458284801,368,1021
1458288392,254,1146
1458291999,315,603
1458295599,2847,651
1458302792,6248,1040
1458306402,3115,2984
1458310002,3015,31
