DateTime,AddedIPs,RemovedIPs
1457442392,1082,206
1457445987,1487,136
1457460432,5674,418
1457467586,883,188
1457471200,271,83
1457478390,494,132
1457481985,220,69
1457492784,807,248
1457500014,446,103
1457507194,581,145
1457510791,296,143
1457521589,1679,263
1457532390,5928,403
1457546800,5143,275
1457550399,393,19
1457553979,346,39
1457557593,230,258
1457561179,208,179
1457564786,165,49
1457568393,140,63
1457571998,142,72
1457582787,625,226
1457586386,253,42
1457590010,369,30
1457600806,1332,277
1457604403,416,90
1457608013,346,419
1457611589,435,575
1457615194,669,421
1457618799,1173,321
1457625992,1145,368
1457633198,940,200
1457636795,270,155
1457647598,555,219
1457661993,1145,203
1457665589,181,103
1457669198,295,84
1457672786,205,71
1457676394,229,63
1457679988,222,58
1457687208,544,87
1457694390,2452,296
1457705191,3604,1257
1457708786,1598,115
1457712405,651,221
1457715997,550,105
1457723194,630,181
1457726797,189,67
1457730402,495,66
1457733855,312,3
1457741199,536,192
1457748392,513,88
1457766390,1586,336
1457769992,480,55
1457773592,770,104
1457780797,907,195
1457788001,932,119
1457795211,1205,439
1457802393,828,287
1457809601,815,151
1457813193,302,71
1457820402,507,121
1457827594,448,119
1457845581,1352,336
1457849188,283,65
1457852807,193,51
1457856394,286,109
1457859991,475,92
1457867192,917,130
1457885199,2430,491
1457903204,2597,241
1457906802,297,27
1457913994,400,53
1457924784,958,81
1457928417,534,17
1457931998,491,31
1457935598,213,42
1457960798,4315,431
1457968000,5234,254
1457971596,1976,51
1457975203,1292,72
1457982409,2940,100
1457986008,673,87
1457989603,622,59
1458000397,1557,193
1458003983,353,57
1458014803,1559,210
1458018390,648,68
1458025590,558,184
1458036393,1173,458
1458043598,3557,619
1458047197,1042,650
1458065207,3601,1765
1458083202,9030,510
1458090390,2319,175
1458094002,1049,50
1458097605,905,48
1458111994,3414,269
1458115590,525,70
1458122800,937,205
1458126402,345,56
1458137205,6366,856
1458140797,798,202
1458165995,5659,897
1458187600,1795,457
1458194799,1093,342
1458202000,758,229
1458205605,481,204
1458209203,2126,253
1458216403,3327,293
1458227205,7548,857
1458241604,6833,688
1458245192,1462,254
1458263202,2820,755
1458270398,979,320
1458273998,850,93
1458281200,676,345
1458284802,206,328
1458288393,172,225
1458291999,202,210
1458295599,1901,364
1458302793,4579,625
1458306402,2246,454
1458310002,2515,363
1458313624,3069,519
1458320796,1143,668
1458327998,411,327
1458335223,369,318
1458338792,339,100
1458342377,269,90
1458353194,760,350
1458360404,523,217
1458364000,250,88
1458378398,1190,537
1458392795,4390,709
1458400005,2426,296
1458407205,1264,423
1458417995,874,405
1458421599,222,68
1458428806,409,78
1458435997,369,68
1458443187,385,157
1458446805,198,69
1458457598,1166,98
1458461181,730,106
1458464797,246,46
1458479202,1274,381
1458482794,485,111
1458486389,857,133
1458489999,550,100
1458493600,271,72
1458500801,579,187
1458515209,781,402
1458518810,482,36
1458522389,656,44
1458536802,1249,287
1458543997,773,139
1458547600,738,67
1458551200,363,136
1458554797,339,141
1458558398,401,69
1458565596,838,286
1458572795,1348,290
1458576397,543,104
1458580000,583,159
1458587197,571,137
