DateTime,Entries,UniqueIPs
1457445987,150142,154522
1457460432,155351,159778
1457467586,156062,160473
1457471200,156232,160661
1457478390,156605,161023
1457481985,156750,161174
1457492784,157303,161733
1457500014,157642,162076
1457507194,158074,162512
1457510791,158225,162665
1457521589,159588,164081
1457532390,165064,169606
1457546800,169866,174474
1457550399,170219,174848
1457553979,170518,175155
1457557593,170501,175127
1457561179,170532,175156
1457564786,170632,175272
1457568393,170712,175349
1457571998,170781,175419
1457582787,171165,175818
1457586386,171364,176029
1457590010,171694,176368
1457600806,172699,177423
1457604403,173023,177749
1457608013,172939,177676
1457611589,172802,177536
1457615194,173045,177784
1457618799,173875,178636
1457625992,174614,179413
1457633198,175339,180153
1457636795,175451,180268
1457647598,175754,180604
1457661993,176675,181546
1457665589,176751,181624
1457669198,176948,181835
1457672786,177070,181969
1457676394,177232,182135
1457679988,177393,182299
1457687208,177816,182756
1457694390,179928,184912
1457705191,182233,187259
1457708786,183703,188742
1457712405,184122,189172
1457715997,184559,189617
1457723194,184980,190066
1457726797,185106,190188
1457730402,185520,190617
1457733855,185817,190926
1457741199,186163,191270
1457748392,186572,191695
1457766390,187797,192945
1457769992,188210,193370
1457773592,188857,194036
1457780797,189537,194748
1457788001,190310,195561
1457795211,191070,196327
1457802393,191604,196868
1457809601,192239,197532
1457813193,192463,197763
1457820402,192832,198149
1457827594,193133,198478
1457845581,194092,199494
1457849188,194305,199712
1457852807,194449,199854
1457856394,194623,200031
1457859991,194973,200414
1457867192,195709,201201
1457885199,197620,203140
1457903204,199939,205496
1457906802,200201,205766
1457913994,200532,206113
1457924784,201368,206990
1457928417,201859,207507
1457931998,202302,207967
1457935598,202468,208138
1457960798,206240,212022
1457968000,211135,217002
1457971596,213030,218927
1457975203,214183,220147
1457982409,216951,222987
1457986008,217531,223573
1457989603,218071,224136
1458000397,219398,225500
1458003983,219679,225796
1458014803,220980,227145
1458018390,221545,227725
1458025590,221894,228099
1458036393,222551,228814
1458043598,225462,231752
1458047197,225821,232144
1458065207,227591,233980
1458083202,236040,242500
1458090390,238151,244644
1458094002,239134,245643
1458097605,239955,246500
1458111994,243016,249645
1458115590,243456,250100
1458122800,244169,250832
1458126402,244442,251121
1458137205,249859,256631
1458140797,250463,257227
1458165995,255093,261989
1458187600,256341,263327
1458194799,257058,264078
1458202000,257543,264607
1458205605,257816,264884
1458209203,259667,266757
1458216403,262650,269791
1458227205,269265,276482
1458241604,275336,282627
1458245192,276534,283835
1458263202,278568,285900
1458270398,279190,286559
1458273998,279917,287316
1458281200,280226,287647
1458284802,280087,287525
1458288393,280032,287472
1458291999,280010,287464
1458295599,281522,289001
1458302793,285452,292955
1458306402,287203,294747
1458310002,289235,296899
1458313624,291722,299449
1458320796,292144,299924
1458327998,292206,300008
1458335223,292240,300059
1458338792,292482,300298
1458342377,292663,300477
1458353194,293037,300887
1458360404,293309,301193
1458364000,293463,301355
1458378398,294084,302008
1458392795,297686,305689
1458400005,299774,307819
1458407205,300618,308660
1458417995,301100,309129
1458421599,301240,309283
1458428806,301561,309614
1458435997,301832,309915
1458443187,302045,310143
1458446805,302161,310272
1458457598,303179,311340
1458461181,303788,311964
1458464797,303979,312164
1458479202,304807,313057
1458482794,305158,313431
1458486389,305859,314155
1458489999,306276,314605
1458493600,306452,314804
1458500801,306828,315196
1458515209,307178,315575
1458518810,307607,316021
1458522389,308193,316633
1458536802,309106,317595
1458543997,309705,318229
1458547600,310347,318900
1458551200,310527,319127
1458554797,310725,319325
1458558398,311024,319657
