DateTime,AddedIPs,RemovedIPs
1440151607,1,0
1440414397,1,1
1440425210,1,0
1440439599,0,1
1440464796,1,0
1440497198,1,0
1440590812,1,0
1440630386,0,1
1440702416,0,1
1440720418,1,0
1440781591,0,1
1440896793,1,0
1440968795,1,0
1441019210,1,0
1441044399,1,0
1441123566,0,1
1441289189,1,0
1441465592,1,0
1441562786,1,0
1441667415,1,0
1441771587,1,0
1441789584,0,1
1441983985,1,1
1442239578,0,2
1442333187,0,1
1442397992,1,0
1442408809,1,0
1442419584,2,0
1442487985,1,0
1442509646,1,0
1442523985,1,0
1442822909,1,0
1442955989,1,0
1443200781,1,0
1443272798,1,0
1443290791,1,0
1443308767,1,0
1443438381,1,0
1443470802,0,2
1443560797,1,0
1443881182,1,0
1444154787,1,0
1444244793,1,0
1444270116,1,0
1444287976,1,0
1444496811,1,0
1444586774,1,0
1444604780,0,1
1444655184,0,1
1444802784,1,0
1444856790,0,1
1444903577,1,0
1445278025,1,1
1445353582,0,1
1445360781,1,0
1445443564,0,1
1445468778,1,0
1445875722,0,1
1446056063,0,1
1446170849,0,1
1446826007,0,1
1447164388,0,1
1447481202,0,1
1448316383,0,1
1448661973,0,1
1448978784,0,1
1450120026,0,1
1450436776,0,1
1451401581,0,1
1451487971,0,1
1452611185,0,1
1453154809,0,1
1453305990,0,1
1453820800,0,1
1454447179,0,1
1454619993,0,1
1454961994,0,1
1456222002,0,1
1457460432,0,1
1458306402,0,1
1458749225,0,1
1459944410,0,1
1459948006,0,1
1460034410,0,1
