DateTime,AddedIPs,RemovedIPs
1457903597,1153,0
1457990676,9121,136185633
1458077795,136182346,9121
1458164912,1048,0
1458252051,0,184
1458426263,2487,0
1458513382,0,2942
1458600511,1142,0
1458687624,2576,0
1458774811,1231,0
1458861907,0,5448
1458992654,0,582
1459079747,2807,0
1459166940,0,104055027
1459254048,104056107,0
1459428526,0,2519
1459515889,0,1423
1459602999,319,0
1459690122,1033,0
1459777221,3181,0
1459864367,0,3430
1459951465,4566,0
1460038623,0,4621
1460125732,0,800
1460212854,0,450
1460299959,3777,0
1460387121,0,208
1460474212,0,1895
1460561322,1815,0
1460648437,2039,0
1460822925,0,4455
1460910040,209,0
1460997940,5072,0
1461084983,0,5826
