DateTime,Entries,UniqueIPs
1457816577,10802,136184517
1457903597,10803,136185670
1457990676,574,9158
1458077795,10799,136182383
1458164912,10801,136183431
1458252051,10801,136183247
1458426263,10802,136185734
1458513382,10804,136182792
1458600511,10800,136183934
1458687624,10801,136186510
1458774811,10803,136187741
1458861907,10801,136182293
1458992654,10801,136181711
1459079747,10803,136184518
1459166940,4464,32129491
1459254048,10801,136185598
1459428526,10802,136183079
1459515889,10802,136181656
1459602999,10801,136181975
1459690122,10802,136183008
1459777221,10801,136186189
1459864367,10804,136182759
1459951465,10801,136187325
1460038623,10802,136182704
1460125732,10800,136181904
1460212854,10800,136181454
1460299959,10800,136185231
1460387121,10800,136185023
1460474212,10803,136183128
1460561322,10798,136184943
1460648437,10806,136186982
1460822925,10801,136182527
1460910040,10803,136182736
1460997940,10804,136187808
1461084983,10801,136181982
