DateTime,AddedIPs,RemovedIPs
1434704244,0,768
1434720878,0,1024
1434920445,8192,0
1434996194,1024,0
1435207636,16384,0
1435245428,1024,0
1435899172,256,4096
1435966271,1024,0
1436391594,8192,0
1436444125,65536,0
1436510415,3072,0
1436574406,17408,65536
1436806614,69632,0
1436964586,1114112,0
1437251964,1179648,65792
1437339895,196608,20480
1437396031,256,0
1437411138,1536,256
1437453059,1024,0
1437575344,32768,13312
1437853246,65536,1024
1438108717,0,16384
1438126204,4096,0
1438160488,65536,0
1438276833,0,69632
1438365429,1024,0
1438413200,512,0
1438431789,2048,512
1438521269,9216,0
1438648092,1024,66304
1438980788,0,65792
1439074091,131072,0
1439196977,73728,0
1439585020,8192,0
1439815563,256,66560
1439921715,512,4352
1439974018,512,0
1440167976,0,1024
1440198543,16384,0
1440281364,0,10496
1440360976,65536,0
1440370762,65536,0
1440455731,1024,0
1440690194,196608,0
1440710277,65536,0
1440834857,65536,0
1440963973,0,256
1441113555,1024,0
1441294594,393216,0
1441313811,262144,0
1441355600,262144,0
1441403340,131072,0
1441447011,4096,0
1441476490,65536,0
1441653740,65536,768
1441738261,0,512
1441805921,66560,0
1442234046,65536,0
1442392665,2048,0
1442517988,65536,256
1442569190,1024,0
1442600017,36864,0
1442654760,67584,0
1442697298,66048,0
1442770276,65536,0
1442910045,8192,512
1442943458,131072,0
1442956529,1024,0
1443009979,4608,0
1443027869,1024,0
1443083850,0,1024
1443118635,6144,0
1443183595,65536,0
1443202527,65536,0
1443702267,131072,37376
1443777814,256,0
1443902388,65536,0
1444133166,1024,69632
1444209863,4096,256
1444227482,65536,0
1444341986,2048,0
1444527527,0,65536
1444727542,65536,256
1444823355,262144,1280
1445808345,0,196608
1445864718,2048,0
1445980570,16777216,0
1446118660,1024,17932544
1446460435,768,24576
1446477186,0,1024
1446847242,4096,65536
1447222619,0,768
1447569755,0,5376
1448082161,0,768
1448194514,16384,0
1448219755,5120,0
1448537238,256,1280
1448661867,256,0
1448703832,256,0
1449060682,8192,0
1449476034,256,5376
1449748403,32768,0
1451913576,256,4096
1452004371,5120,256
1452104256,73728,4096
1452205559,4096,8192
1452763517,12288,86016
1452829605,8192,0
1452865368,768,0
1453208548,1024,0
1453285635,1048576,6656
1453296637,1024,0
1453540290,256,0
1453563042,1024,0
1453715834,1024,0
1453881278,0,4096
1453891934,9216,0
1453980001,0,229376
1454074338,8192,0
1454133300,1024,0
1454287320,2048,0
1454320829,7424,0
1454359524,16384,32768
1454505440,1024,0
1454936480,32768,5120
1455448206,0,5632
1455581768,2048,0
1455638025,164096,0
1455732670,7168,0
1455890620,1024,65536
1456162311,1024,1024
1456543622,264192,65536
1456619217,1024,0
1456654546,327680,0
1456792920,25088,3328
1456836123,131072,32768
1456863460,8192,0
1456933687,2048,0
1457051556,1024,2048
1457176833,6144,0
1457327121,1024,0
1457621052,65536,24576
1457782305,512,0
1457823723,1024,0
1457972599,2048,9728
1458003462,16384,0
1458051875,0,393472
1458170020,0,65536
1458253278,21504,0
1458324296,256,0
1458553854,9216,0
1458921237,1792,262144
1459248926,0,117760
1459289513,1024,0
1459334883,0,200704
1459415128,102400,0
1459877628,0,2816
1460037051,1024,0
1460057072,2048,4096
1460237006,155648,4096
1460332232,8192,2048
1460398777,0,65536
1460696425,1024,131072
1460905256,1024,16384
