DateTime,AddedIPs,RemovedIPs
1453305604,0,1
1453307405,0,1
1453313705,0,1
1453315504,0,2
1453367706,0,1
1453371305,1,0
1453376704,1,0
1453380304,0,2
1453445104,1,0
1453448704,0,4
1453450505,2,0
1453452305,0,2
1453461305,3,0
1453472105,1,0
1453473905,1,0
1453520705,0,1
1453536905,1,0
1453551305,1,0
1453592705,0,1
1453623304,1,0
1453628704,1,0
1453632305,0,1
1453677305,0,1
1453706105,1,0
1453709705,1,0
1453724105,0,1
1453734905,1,0
1453749305,0,1
1453763705,0,1
1453774505,1,0
1453776304,1,0
1453788904,2,0
1453797905,1,1
1453801505,0,1
1453812305,1,0
1453878905,1,0
1453915805,2,0
1453961705,3,0
1453974304,0,1
1453976104,3,0
1453979705,1,0
1453985105,0,1
1453995905,1,0
1454001305,0,1
1454003104,1,0
1454004905,1,0
1454006706,0,1
1454019305,1,0
1454048105,0,1
1454053505,3,0
1454058905,1,0
1454066105,2,0
1454069704,0,1
1454073305,1,0
1454080504,2,0
1454084106,1,0
1454125505,1,0
1454141705,2,0
1454224505,0,1
1454260506,1,0
1454267705,0,1
1454336105,0,1
1454397305,5,0
1454400905,1,0
1454422505,1,0
1454435105,0,1
1454449505,0,1
1454480105,2,0
1454483705,1,0
1454492704,1,0
1454494505,1,0
1454518805,2,0
1454525106,3,0
1454534105,1,0
1454548505,1,0
1454573705,2,0
1454577305,2,0
1454667305,1,0
1454670905,2,0
1454672705,1,0
1454674505,2,0
1454681705,1,0
1454710506,0,1
1454717705,1,0
1454750105,0,1
1454760905,0,2
1454769905,0,1
1454771705,1,0
1454794205,0,1
1454805905,1,0
1454834705,1,0
1454849104,0,2
1454850905,0,1
1454854505,0,2
1454858105,0,2
1454865305,0,1
1454868905,0,1
1454874305,0,2
1454876106,0,1
1454881505,0,2
1454886905,0,1
1454888705,0,1
1454897709,0,1
1454899511,0,2
1454903105,0,1
1454906705,0,2
1454912105,2,0
1454915705,0,1
1454924705,1,0
1454926504,0,1
1454935504,0,1
1454937304,0,1
1454939105,0,1
1454942705,0,2
1454951705,0,1
1454953505,0,1
1454955305,0,1
1454957105,2,0
1454962505,0,1
1454969704,0,1
1454973305,0,1
1454989505,0,1
1455000305,0,1
1455002105,2,1
1455016505,1,2
1455018305,1,0
1455020105,1,0
1455023705,0,1
1455025505,0,1
1455029105,1,0
1455032705,0,2
1455041705,2,0
1455059705,0,2
1455072305,0,1
1455086705,2,0
1455099305,1,0
1455101105,2,2
1455119104,1,0
1455120904,3,0
1455140705,0,1
1455151505,1,0
1455173105,4,0
1455189304,1,0
1455259505,3,0
1455263105,1,0
1455264904,1,0
1455270305,0,1
1455273905,0,1
1455279305,0,1
1455281104,2,0
1455286504,0,1
1455290104,0,1
1455291905,0,1
1455372005,0,1
1455393605,1,0
1455436804,1,0
1455442204,1,0
1455471905,1,0
1455497104,0,1
1455507905,0,1
1455516905,2,0
1455525905,0,2
1455605105,0,1
1455606904,1,0
1455614105,1,0
1455628505,0,1
1455637504,1,0
1455653705,1,0
1455702305,1,0
1455704105,1,0
1455705905,2,0
1455707705,1,2
1455713105,0,1
1455720305,0,1
1455729305,1,0
1455747304,0,1
1455776105,1,0
1455783305,2,0
1455786905,3,0
1455797705,0,1
1455799505,1,0
1455806707,1,0
1455812105,1,0
1455842705,0,1
1455862505,1,0
1455867906,1,0
1455884105,0,3
1455889505,0,1
1455894906,0,1
1455900305,0,1
1455905705,1,0
1455952505,2,0
1455963305,0,1
1455966905,0,2
1456037105,0,1
1456040705,0,1
1456042505,0,1
1456049706,0,2
1456064105,0,1
1456065906,0,1
1456071306,0,1
1456083906,0,1
1456092906,0,1
1456121705,2,0
1456141505,0,1
1456148706,1,0
1456152305,2,0
1456157706,1,0
1456176605,0,1
1456191005,0,1
1456212605,0,2
1456219805,1,0
1456234205,1,0
1456237806,1,0
1456239606,1,0
1456243205,0,1
1456246805,0,1
1456256705,1,1
1456305305,0,1
1456316105,1,0
1456317905,1,0
1456323305,0,1
1456348506,0,1
1456366505,0,2
1456368305,0,1
1456382705,0,1
1456384505,1,0
1456386306,0,1
1456389905,1,0
1456404305,0,1
1456443905,0,1
1456452905,0,1
1456470906,1,0
1456492506,2,0
1456506905,0,1
1456511404,0,1
1456528506,0,1
1456535705,1,0
1456537505,0,1
1456560906,2,0
1456566306,0,1
1456568105,0,1
1456571705,0,2
1456586105,0,1
1456595106,0,1
1456596905,0,1
1456600505,0,1
1456602306,0,1
1456604106,0,1
1456641905,0,1
1456643706,0,1
1456656305,0,1
1456663506,0,2
1456668905,0,1
1456674305,0,1
1456717506,0,1
1456724706,0,1
1456726505,1,0
1456731906,1,0
1456755306,1,0
1456762506,1,0
1456805706,0,1
1456820105,1,0
1456825506,0,1
1456853405,0,1
1456898405,0,1
1456900206,0,3
1456907406,1,0
1456911006,0,2
1456927206,1,0
1456950605,0,1
1456970406,0,2
1456988405,0,3
1456992005,0,1
1457002805,1,0
1457011804,1,0
1457017204,0,1
1457057706,1,0
1457075705,0,1
1457079305,0,1
1457081105,0,1
1457093707,1,2
1457099105,3,0
1457111705,0,2
1457117105,0,1
1457122506,0,2
1457126106,0,1
1457140506,0,1
1457147705,0,1
1457160305,2,0
1457162105,0,3
1457189105,0,1
1457196305,1,0
1457198106,1,0
1457205305,0,1
1457208905,0,1
1457252106,1,1
1457253905,0,1
1457273706,0,1
1457280905,1,0
1457282706,0,1
1457309705,0,1
1457343906,1,0
1457363705,1,1
1457370906,0,1
1457378105,2,0
1457423105,1,0
1457424906,1,0
1457430305,1,0
1457439305,1,0
1457448306,0,2
1457516705,0,1
1457538306,1,0
1457547306,1,2
1457556306,0,1
1457558105,0,2
1457592306,0,1
1457597706,0,1
1457599506,1,0
1457604906,0,1
1457615705,0,1
1457617506,1,0
1457628305,0,1
1457631906,0,1
1457637305,0,1
1457667906,0,1
1457689505,0,2
1457691305,0,1
1457694906,0,1
1457712905,0,2
1457721006,0,1
1457743505,0,1
1457763306,0,1
1457765105,0,1
1457768706,5,0
1457770505,1,0
1457772305,1,0
1457777706,0,1
1457830806,1,0
1457838006,0,2
1457854207,0,1
1457857805,1,0
1457863206,1,0
1457866806,0,1
1457868606,0,2
1457908206,1,0
1457973906,0,1
1458006305,0,1
1458024306,0,1
1458031507,0,1
1458033306,0,1
1458049505,1,0
