DateTime,AddedIPs,RemovedIPs
1460444522,0,4
1460445722,48,5
1460446921,5,7
1460448722,0,1
1460449922,0,5
1460451121,4,13
1460453522,0,2
1460454722,2,19
1460455922,5,4
1460457121,1,1
1460458923,0,5
1460460123,10,1
1460461322,46,3
1460462522,6,2
1460463723,0,14
1460464922,22,5
1460466122,1,6
1460468521,0,34
1460469722,8,10
1460470922,3,3
1460472124,1,3
1460473322,0,12
1460474523,4,25
1460475722,5,0
1460476922,6,11
1460478123,0,23
1460479323,1,3
1460480522,2,0
1460481722,1,5
1460482924,0,10
1460484122,0,4
1460485322,3,0
1460487122,1,2
1460488322,1,1
1460490122,0,5
1460491323,0,2
1460492524,1,0
1460493723,7,6
1460494923,1,0
1460496125,1,9
1460498522,15,0
1460499723,0,31
1460502122,0,1
1460504523,58,13
1460505724,35,7
1460506922,10,5
1460508122,9,0
1460509322,6,12
1460510522,5,27
1460515922,2,0
1460517123,6,3
1460518322,1,9
1460519522,17,0
1460520722,0,5
1460521922,0,6
1460523122,1,26
1460525522,0,3
1460526722,3,0
1460529122,0,2
1460531522,0,4
1460532721,2,4
1460533922,1,9
1460535122,1,0
1460536922,0,1
1460538121,2,3
1460539322,1,13
1460541724,0,6
1460542922,5,0
1460544122,1,17
1460546522,0,83
1460547721,1,3
1460548921,2,24
1460550122,0,31
1460551322,22,12
1460552522,1,9
1460553722,1,1
1460554922,1,0
1460556121,0,22
1460558522,1,21
1460559723,4,4
1460560922,0,18
1460563322,10,8
1460564522,0,3
1460565722,1,4
1460566922,0,9
1460568122,2,20
1460570522,0,1
1460571727,0,2
1460572921,8,0
1460574122,5,20
1460575322,3,0
1460576522,1,0
1460577722,0,3
1460578922,2,5
1460580122,3,0
1460581321,0,18
1460582522,0,1
1460583723,0,2
1460584922,6,3
1460586121,4,2
1460587322,3,3
1460588522,0,13
1460589723,14,0
1460590922,9,1
1460592123,2,1
1460593321,0,1
1460594522,4,21
1460595722,8,0
1460596922,0,2
1460598123,1,11
1460599323,1,0
1460600522,2,20
1460601722,1,0
1460602923,6,3
1460604122,0,13
1460605322,2,0
1460606522,2,5
1460607722,0,2
1460608922,6,11
1460610122,1,8
1460612522,10,0
1460613722,0,9
1460614922,0,10
1460616122,4,1
1460617322,1,0
1460618521,0,7
1460620922,1,9
1460622122,2,0
1460623324,2,4
1460625722,0,3
1460626921,4,0
1460628122,2,0
1460630522,3,9
1460631721,16,0
1460632921,14,4
1460634122,2,0
1460635321,7,0
1460636522,0,5
1460637722,0,24
1460638922,32,15
1460640122,1,21
1460641321,0,8
1460642522,15,0
1460643721,0,11
1460644921,1,9
1460647321,5,2
1460648522,1,6
1460649722,1,0
1460650922,0,3
1460652722,6,11
1460653922,1,12
1460656322,16,5
1460657522,1,0
1460658722,4,3
1460659922,0,8
1460663522,0,4
1460665322,11,0
1460666522,2,1
1460667722,2,0
1460668922,24,0
1460670122,1,2
1460671322,2,9
1460672522,0,1
1460674922,1,0
1460676122,2,3
1460677322,1,5
1460678523,1,1
1460679723,1,1
1460680922,2,1
1460682122,6,0
1460683322,1,8
1460684521,1,0
1460685721,3,8
1460688122,0,4
1460690522,2,3
1460694122,0,13
1460696522,2,2
1460697721,2,3
1460701322,0,12
1460702522,11,0
1460703722,1,10
1460706121,1,2
1460707324,0,1
1460708522,4,2
1460709721,0,1
1460710922,0,1
1460713323,0,1
1460714522,2,1
1460715722,1,5
1460716922,1,0
1460719321,0,1
1460720522,6,48
1460722322,19,10
1460723522,0,11
1460724722,0,2
1460725922,1,4
1460728322,2,1
1460729522,44,0
1460730722,7,0
1460733122,0,1
1460736722,7,0
1460737922,3,1
1460739122,2,5
1460740323,0,7
1460742121,16,12
1460743322,2,0
1460744522,0,7
1460745722,1,0
1460746922,8,10
1460748122,10,2
1460749322,2,0
1460751721,4,2
1460752922,6,1
1460754122,9,1
1460755322,3,0
1460756523,0,1
1460757722,0,7
1460758922,3,4
1460760122,12,1
1460761321,1,0
1460762522,0,6
1460763722,2,2
1460764922,17,3
1460766122,2,2
1460767322,1,4
1460768522,1,1
1460769722,13,1
1460770921,1,0
1460773322,10,3
1460774522,2,0
1460776922,11,1
1460778122,4,0
1460781722,4,0
1460784122,7,0
1460785322,2,2
1460787722,2,0
1460788921,12,0
1460791321,0,1
1460792522,25,3
1460793721,5,0
1460794922,1,5
1460796122,2,0
1460797321,4,1
1460798522,3,0
1460800922,12,2
1460802121,1,8
1460803322,1,0
1460805722,12,35
1460806922,0,31
1460808122,0,16
1460809321,6,2
1460810522,10,1
1460811722,52,1
1460812922,1,6
1460814122,39,2
1460815322,8,3
1460817722,1,19
1460818922,14,4
1460820122,0,4
1460822521,0,13
1460823722,15,2
1460824922,2,0
1460826122,0,3
1460827321,0,21
1460828524,16,10
1460829722,1,10
1460832122,0,6
1460833324,11,0
1460834522,1,8
1460835722,2,0
1460836922,1,2
1460838122,2,2
1460839321,2,11
1460840521,5,0
1460841722,0,1
1460844121,5,0
1460846522,1,17
1460847722,0,7
1460848921,21,0
1460850122,3,1
1460851322,1,0
1460852522,0,14
1460853723,1,0
1460854922,63,3
1460856121,8,0
1460857322,2,0
1460858522,5,1
1460859722,9,5
1460860922,1,0
1460862122,3,3
1460863321,0,9
1460864522,0,2
1460865722,9,9
1460866921,1,1
1460868122,11,0
1460869322,1,7
1460871721,9,0
1460872922,1,1
1460874122,0,8
1460875321,15,1
1460876522,2,1
1460877721,0,7
1460878922,32,0
1460880121,3,2
1460881322,2,0
1460882521,9,0
1460883722,1,0
1460884922,3,3
1460886122,20,0
1460887922,0,7
1460889123,1,6
1460890322,21,0
1460891522,68,11
1460892722,38,0
1460893921,17,2
1460895722,8,44
1460896922,0,1
1460899321,3,10
1460900522,0,36
1460901722,0,2
1460902922,16,1
1460904122,7,7
1460905322,1,13
1460906522,0,1
1460907722,9,7
1460909523,2,13
1460912522,3,0
1460913721,1,2
1460914922,0,11
1460916122,2,11
1460917326,8,1
1460918522,0,3
1460919722,0,6
1460920922,8,8
1460922123,21,16
1460923322,6,2
1460924522,0,10
1460925722,5,7
1460926921,7,0
1460928122,6,5
1460929328,6,1
1460930522,2,13
1460931722,16,4
1460932922,2,1
1460934122,1,0
1460935322,2,0
1460937122,6,4
1460938323,7,3
1460939522,2,2
1460940722,0,5
1460941922,12,3
1460943121,7,3
1460944322,0,3
1460945522,13,2
1460946727,0,3
1460947923,0,5
1460949122,19,0
1460950327,3,1
1460951522,1,7
1460952721,21,4
1460955122,0,8
1460956322,18,5
1460957522,0,6
1460958723,2,0
1460959922,2,2
1460961722,1,9
1460962922,8,3
1460964122,2,3
1460965327,1,0
1460966522,17,9
1460967722,3,0
1460968922,0,1
1460970122,16,4
1460971322,6,9
1460973722,13,4
1460975523,14,5
1460976722,1,5
1460977922,13,9
1460979121,78,44
1460980322,4,10
1460981522,32,40
1460982722,13,15
1460983922,0,5
1460985121,1,7
1460986322,8,0
1460989321,0,2
1460990522,24,2
1460991722,4,0
1460992922,1,1
1460994122,1,12
1460995322,15,12
1460996522,6,1
1460997722,1,0
1461000122,22,22
1461001322,3,11
1461003723,0,2
1461004922,37,2
1461006123,9,3
1461007322,6,3
1461008521,2,4
1461009722,3,2
1461010922,24,21
1461012122,9,0
1461013323,0,1
1461015722,27,6
1461016930,30,0
1461018122,4,0
1461019321,11,0
1461020522,1,0
1461021722,27,0
1461022921,7,11
1461024122,0,2
1461025321,1,3
1461026524,3,22
1461027723,12,3
1461028922,7,1
1461030122,4,9
1461031322,18,0
1461033723,2,4
1461034925,17,0
1461036122,10,1
1461037322,1,5
1461038522,16,0
1461039722,1,7
1461042122,13,13
1461044522,0,1
1461045722,11,12
1461046922,1,0
1461049322,17,0
1461050521,0,35
1461051729,0,1
1461052922,27,9
1461054122,5,0
1461055323,0,2
1461058922,18,5
1461060122,0,1
1461061322,5,4
1461062526,10,1
1461063725,3,1
1461064922,0,8
1461066123,18,38
1461067322,80,0
1461069122,51,12
1461070322,29,19
1461071522,6,2
1461073922,0,1
1461075122,18,3
1461076922,6,9
1461078122,0,3
1461080522,13,9
1461081725,5,1
1461082921,0,1
1461085322,13,0
1461086522,9,3
1461087729,1,1
1461088922,0,2
1461090122,0,2
1461091326,7,0
1461092523,5,5
1461094922,2,1
1461096122,17,0
1461097322,11,0
1461098525,1,0
1461099723,2,9
1461104522,41,15
1461106922,1,0
1461108123,20,2
1461109322,0,2
1461110522,1,3
1461111722,0,6
1461112922,0,2
1461114123,26,0
1461115322,7,2
1461116522,2,0
1461117723,7,0
1461118922,5,0
1461120122,2,0
1461121322,1,4
1461122522,29,2
1461124922,3,16
1461126122,19,3
1461127331,5,0
1461129722,1,0
1461130922,1,0
1461132122,0,3
1461133323,7,0
1461134521,6,1
1461135722,1,0
1461138121,16,2
1461139321,3,1
1461141722,10,0
1461142922,2,1
1461144123,1,2
1461145322,1,1
1461146522,9,0
1461162722,69,65
1461171724,35,18
1461174722,9,2
1461175922,5,0
1461177122,9,0
