DateTime,Entries,UniqueIPs
1433638809,29870,29870
1433725209,29278,29278
1433811610,29277,29277
1433898201,29338,29338
1433984602,29185,29185
1434070954,29017,29017
1434157405,28621,28621
1434243610,28861,28861
1434243610,28861,28861
1434243610,28861,28861
1434243610,28861,28861
1434243610,28861,28861
1434243610,28861,28861
1434243610,28861,28861
1434330010,28728,28728
1434416409,28606,28606
1434502866,28297,28297
1434589268,28366,28366
1434589268,28366,28366
1434675609,28633,28633
1434675609,28633,28633
1434762067,29164,29164
1434848515,28925,28925
1434934810,28740,28740
1435021209,28640,28640
1435107609,28419,28419
1435194009,28682,28682
1435280409,28217,28217
1435366811,27624,27624
1435453210,27729,27729
1435539610,27900,27900
1435626010,27774,27774
1435712477,28280,28280
1435798925,28261,28261
1435885272,28578,28578
1435971609,29045,29045
1436058010,29263,29263
1436144410,29486,29486
1436230835,29301,29301
1436317323,28954,28954
1436403680,29118,29118
1436490009,29109,29109
1436612409,30468,30468
1436698809,30720,30720
1436785211,30757,30757
1436871610,30700,30700
1436958010,30723,30723
1437044410,30073,30073
1437130809,29537,29537
1437217209,28998,28998
1437303609,28184,28184
1437390008,28261,28261
1437476408,27752,27752
1437562808,26816,26816
1437660008,27211,27211
1437746408,27018,27018
1437832807,26638,26638
1437919208,26923,26923
1438005608,27557,27557
1438092008,29142,29142
1438178408,29944,29944
1438264809,30664,30664
1438351210,30968,30968
1438437610,31334,31334
1438524010,30999,30999
1438610409,31704,31704
1438696809,30518,30518
1438783209,30481,30481
1438945210,29358,29358
1439031610,29583,29583
1439118009,29518,29518
1439118009,29518,29518
1439118009,29518,29518
1439118009,29518,29518
1439204409,30222,30222
1439204409,30222,30222
1439290809,30082,30082
1439377210,30232,30232
1439463609,29600,29600
1439550009,29346,29346
1439636409,30424,30424
1439636409,30424,30424
1439722810,33624,33624
1439809209,34803,34803
1439895609,34578,34578
1439982009,39909,39909
1440068434,322203,322203
1440154810,41985,41985
1440154810,41985,41985
1440241210,41685,41685
1440327611,37230,37230
1440414010,36687,36687
1440500410,36532,36532
1440586810,31184,31184
1440586810,31184,31184
1440673210,30898,30898
1440759610,29169,29169
1440846011,29078,29078
1440932411,28906,28906
1441018811,28830,28830
1441105211,28720,28720
1441191612,28568,28568
1441278012,27819,27819
1441364411,27844,27844
1441450811,27602,27602
