DateTime,AddedIPs,RemovedIPs
1454197248,125,110
1454284379,136,133
1454371546,141,153
1454502265,195,197
1454589399,119,132
1454676526,109,164
1454763643,102,170
1454850755,92,131
1454937867,114,98
1455025023,63,132
1455112056,48,115
1455199237,69,132
1455286367,71,143
1455373468,83,103
1455460593,76,121
1455547659,65,150
1455634832,104,145
1455721955,124,136
1455809071,183,158
1455896192,299,128
1455983332,188,147
1456070428,227,129
1456157553,138,117
1456244674,174,176
1456331789,160,134
1456418913,178,152
1456506052,180,126
1456593159,314,149
1456680283,266,105
1456767396,285,106
1456854514,216,131
1456941674,183,147
1457028793,204,140
1457115869,104,130
1457203026,196,114
1457290119,174,115
1457377276,140,104
1457464358,141,91
1457551480,186,108
1457638598,190,62
1457725698,180,50
1457812843,223,75
1457899966,253,62
1457987109,432,90
1458074195,416,68
1458161325,452,71
1458248457,409,99
1458335818,414,109
1458422949,463,183
1458510071,418,239
1458597176,287,122
1458684290,300,167
1458771427,338,131
1458858536,225,142
1458945673,306,165
1459032829,228,112
1459120149,322,201
1459207257,241,229
1459294395,236,260
1459381495,202,244
1459468613,265,212
1459555761,250,197
1459642868,351,131
1459729980,304,115
1459817095,313,176
1459904227,322,153
1459991333,256,133
1460078471,257,136
1460165605,185,185
1460252687,285,155
1460339809,231,192
1460426935,155,204
1460514279,243,266
1460601418,213,461
1460688532,178,425
1460775715,261,431
1460862791,266,362
1460949910,258,446
1461037008,209,433
1461124140,157,358
