DateTime,Entries,UniqueIPs
1454110018,5597,5597
1454197248,5612,5612
1454284379,5615,5615
1454371546,5603,5603
1454502265,5601,5601
1454589399,5588,5588
1454676526,5533,5533
1454763643,5465,5465
1454850755,5426,5426
1454937867,5442,5442
1455025023,5373,5373
1455112056,5306,5306
1455199237,5243,5243
1455286367,5171,5171
1455373468,5151,5151
1455460593,5106,5106
1455547659,5021,5021
1455634832,4980,4980
1455721955,4968,4968
1455809071,4993,4993
1455896192,5164,5164
1455983332,5205,5205
1456070428,5303,5303
1456157553,5324,5324
1456244674,5322,5322
1456331789,5348,5348
1456418913,5374,5374
1456506052,5428,5428
1456593159,5593,5593
1456680283,5754,5754
1456767396,5933,5933
1456854514,6018,6018
1456941674,6054,6054
1457028793,6118,6118
1457115869,6092,6092
1457203026,6174,6174
1457290119,6233,6233
1457377276,6269,6269
1457464358,6319,6319
1457551480,6397,6397
1457638598,6525,6525
1457725698,6655,6655
1457812843,6803,6803
1457899966,6994,6994
1457987109,7336,7336
1458074195,7684,7684
1458161325,8065,8065
1458248457,8375,8375
1458335818,8680,8680
1458422949,8960,8960
1458510071,9139,9139
1458597176,9304,9304
1458684290,9437,9437
1458771427,9644,9644
1458858536,9727,9727
1458945673,9868,9868
1459032829,9984,9984
1459120149,10105,10105
1459207257,10117,10117
1459294395,10093,10093
1459381495,10051,10051
1459468613,10104,10104
1459555761,10157,10157
1459642868,10377,10377
1459729980,10566,10566
1459817095,10703,10703
1459904227,10872,10872
1459991333,10995,10995
1460078471,11116,11116
1460165605,11116,11116
1460252687,11246,11246
1460339809,11285,11285
1460426935,11236,11236
1460514279,11213,11213
1460601418,10965,10965
1460688532,10718,10718
1460775715,10548,10548
1460862791,10452,10452
1460949910,10264,10264
1461037008,10040,10040
