DateTime,AddedIPs,RemovedIPs
1459537408,4,6
1459540946,8,3
1459541626,4,0
1459544604,1,5
1459548205,7,8
1459551804,2,1
1459552418,1,0
1459559004,2,2
1459562542,2,0
1459563157,5,6
1459569800,4,3
1459573338,4,4
1459573955,3,3
1459579005,6,2
1459580599,0,1
1459584749,3,5
1459591333,6,3
1459594995,2,9
1459595610,2,1
1459602193,4,6
1459605792,5,2
1459606349,2,0
1459609389,0,3
1459612995,1,7
1459617232,2,2
1459620186,21,5
1459623783,4,5
1459627384,4,0
1459630981,4,3
1459634580,5,11
1459636107,2,0
1459641779,0,3
1459645376,2,1
1459646843,1,2
1459648976,0,8
1459652576,7,2
1459656174,3,6
1459657701,4,0
1459659774,0,4
1459663372,3,6
1459665512,2,0
1459666971,0,3
1459670572,1,2
1459672039,2,0
1459677771,4,15
1459681369,4,0
1459684973,3,7
1459688568,5,3
1459692167,5,3
1459693696,3,0
1459699427,5,3
1459702966,5,1
1459704373,8,4
1459710224,4,7
1459713762,4,4
1459715289,2,0
1459717422,0,4
1459721021,2,0
1459724559,2,2
1459726089,2,1
1459728217,0,2
1459731756,4,0
1459735356,0,2
1459736884,4,6
1459742554,3,5
1459746152,4,7
1459747620,5,2
1459751815,2,3
1459753349,0,2
1459757011,6,0
1459760618,6,0
1459764210,0,2
1459767746,4,5
1459769215,1,0
1459774945,2,9
1459778605,3,3
1459780134,5,0
1459782205,0,5
1459785803,6,0
1459789340,1,12
1459790810,2,1
1459792940,0,4
1459796599,7,0
1459800200,7,3
1459803807,6,4
1459807397,3,5
1459810997,5,2
1459814599,2,3
1459818193,2,1
1459821733,2,3
1459823265,4,0
1459825331,0,4
1459828992,3,7
1459832590,2,0
1459834120,0,5
1459836187,0,2
1459838410,3,0
1459839788,0,3
1459843387,4,5
1459844919,2,0
1459850588,2,5
1459854186,4,0
1459855716,5,0
1459857784,0,1
1459861383,6,0
1459864987,5,3
1459866515,1,1
1459868649,0,8
1459872181,5,4
1459875781,4,3
1459877250,2,0
1459879380,0,4
1459882978,3,0
1459886577,4,6
1459887862,5,1
1459890175,0,4
1459893776,2,4
1459897374,2,0
1459898842,1,0
1459901033,0,3
1459904633,2,0
1459908171,1,6
1459909638,6,0
1459915370,3,3
1459919029,2,4
1459920129,1,1
1459924903,5,6
1459929766,1,8
1459931294,1,0
1459933366,0,1
1459937025,12,0
1459940623,2,7
1459942154,2,0
1459947762,4,3
1459951422,4,4
1459954966,4,2
1459958559,2,9
1459962158,4,0
1459963869,0,4
1459969357,3,4
1459973019,4,8
1459974423,5,0
1459980215,6,2
1459983814,3,5
1459984975,1,1
1459987412,0,2
1459991012,1,6
1459994550,1,0
1459995836,5,4
1460001811,3,8
1460005410,5,2
1460006877,3,0
1460009009,0,4
1460016209,6,5
1460019565,1,3
1460023405,1,4
1460027005,4,2
1460030610,1,5
1460034202,3,4
1460037801,4,1
1460041408,3,2
1460044939,4,0
1460048599,2,5
1460050126,3,0
1460055795,5,13
1460059336,3,3
1460061232,6,0
1460066593,4,6
1460070191,6,2
1460071658,2,0
1460077390,1,0
1460080990,6,2
1460082518,4,4
1460088190,6,3
1460091788,2,2
1460095028,2,4
1460097440,4,0
1460098986,0,6
1460102585,2,0
1460104665,2,1
1460106185,0,2
1460109785,6,2
1460113383,1,2
1460116988,3,0
1460120580,3,6
1460124179,2,0
1460125710,9,5
1460127779,0,2
1460131438,0,5
1460134977,1,0
1460136507,6,0
1460138575,0,3
1460142176,2,0
1460145837,0,1
1460147366,4,4
1460149374,0,2
1460152974,4,0
1460156634,4,2
1460160177,4,2
1460163770,0,7
1460167370,2,0
1460170973,4,3
1460174568,5,3
1460178228,1,2
1460181769,4,9
1460184200,1,0
1460188965,0,6
1460191226,2,0
1460196163,2,2
1460199763,3,1
1460203361,2,2
1460207021,4,3
1460210559,4,10
1460212822,4,0
1460217757,0,3
1460221419,0,7
1460224964,2,0
1460228617,3,7
1460232215,1,3
1460235814,3,0
1460239415,6,10
1460242953,5,0
1460245397,0,2
1460246614,0,2
1460250152,4,0
1460253813,4,4
1460255402,4,3
1460261014,2,4
1460264548,4,6
1460266139,2,0
1460270477,2,3
1460271869,0,2
1460275347,3,0
1460276387,3,6
1460279006,0,3
1460282606,0,3
1460286143,2,1
1460287674,3,0
1460289802,0,6
1460293404,7,3
1460297002,3,0
1460297921,6,8
1460300599,0,1
1460304199,2,0
1460307799,1,4
1460308659,3,0
1460314997,5,4
1460318596,1,0
1460319513,6,1
1460322194,0,7
1460325794,6,0
1460329331,3,6
1460330313,4,0
1460336529,4,2
1460340128,1,6
1460341109,7,0
1460347388,3,9
1460350987,2,2
1460351907,1,0
1460354586,0,2
1460356649,5,1
1460361785,3,2
1460363498,4,3
1460365384,0,2
1460368983,5,0
1460372582,2,8
1460376187,1,0
1460379780,1,7
1460383380,1,3
1460386988,3,0
1460390577,4,4
1460394179,6,0
1460397777,5,4
1460401377,4,4
1460404976,7,5
1460407541,2,0
1460408574,0,3
1460412174,4,2
1460415772,1,0
1460419379,2,7
1460422971,1,0
1460426568,2,1
1460428344,5,8
1460430168,0,2
1460433767,3,0
1460437366,3,3
1460440972,1,2
1460442918,5,3
1460444626,0,4
1460448226,2,1
1460449879,1,0
1460455365,2,2
1460459024,1,0
1460460613,1,1
