DateTime,Entries,UniqueIPs
1459559004,1431,1474
1459562542,1431,1474
1459563157,1436,1479
1459566201,1430,1473
1459569800,1434,1477
1459573338,1432,1475
1459573955,1430,1473
1459579005,1432,1475
1459584197,1431,1474
1459584749,1431,1474
1459591333,1436,1479
1459594995,1434,1477
1459595610,1436,1479
1459602193,1435,1478
1459605792,1438,1481
1459606349,1438,1481
1459609389,1437,1480
1459612995,1435,1478
1459617232,1433,1476
1459620186,1448,1491
1459623783,1447,1490
1459627384,1450,1493
1459630981,1447,1490
1459634580,1451,1494
1459636107,1453,1496
1459641779,1447,1490
1459645376,1448,1491
1459648976,1442,1485
1459652576,1443,1486
1459656174,1446,1489
1459657701,1449,1492
1459659774,1445,1488
1459663372,1445,1488
1459665512,1447,1490
1459666971,1446,1489
1459670572,1443,1486
1459672039,1445,1488
1459674173,1444,1487
1459677771,1445,1488
1459681369,1449,1492
1459684973,1448,1492
1459688568,1449,1493
1459692167,1447,1491
1459693696,1450,1494
1459699427,1453,1497
1459702966,1453,1497
1459704373,1461,1505
1459706626,1455,1499
1459710224,1457,1501
1459713762,1456,1500
1459715289,1458,1502
1459717422,1455,1499
1459721021,1452,1496
1459724559,1454,1498
1459726089,1453,1497
1459731756,1454,1498
1459735356,1453,1497
1459736884,1447,1491
1459742554,1446,1490
1459746152,1446,1490
1459747620,1450,1494
1459749816,1449,1493
1459751815,1451,1495
1459757011,1455,1499
1459760618,1458,1502
1459767746,1461,1505
1459769215,1461,1505
1459774945,1457,1501
1459778605,1452,1496
1459780134,1456,1500
1459782205,1455,1499
1459785803,1460,1504
1459789340,1457,1501
1459790810,1458,1502
1459792940,1453,1497
1459796599,1460,1504
1459800200,1462,1506
1459803807,1461,1505
1459807397,1464,1508
1459810997,1460,1504
1459814599,1459,1503
1459818193,1455,1499
1459821733,1453,1497
1459823265,1457,1501
1459825331,1454,1498
1459828992,1457,1501
1459832590,1456,1500
1459834120,1453,1497
1459836187,1450,1494
1459838410,1453,1497
1459839788,1448,1492
1459843387,1450,1494
1459844919,1451,1495
1459850588,1446,1490
1459854186,1450,1494
1459855716,1454,1498
1459861383,1457,1501
1459864987,1459,1503
1459866515,1459,1503
1459868649,1456,1500
1459872181,1460,1504
1459875781,1459,1503
1459877250,1461,1505
1459879380,1459,1503
1459882978,1462,1506
1459886577,1461,1505
1459887862,1463,1507
1459890175,1458,1502
1459893776,1457,1501
1459897374,1459,1503
1459898842,1457,1501
1459901033,1453,1497
1459904633,1454,1498
1459908171,1449,1493
1459909638,1455,1499
1459911831,1452,1496
1459915370,1455,1499
1459919029,1454,1498
1459920129,1452,1496
1459924903,1448,1491
1459926166,1447,1490
1459929766,1445,1488
1459931294,1446,1489
1459933366,1445,1488
1459937025,1457,1500
1459940623,1455,1498
1459942154,1455,1498
1459947762,1457,1500
1459951422,1452,1494
1459954966,1456,1498
1459958559,1451,1493
1459962158,1449,1491
1459969357,1445,1487
1459973019,1447,1489
1459974423,1451,1493
1459976613,1449,1491
1459980215,1455,1497
1459983814,1456,1498
1459984975,1452,1494
1459991012,1451,1493
1459994550,1446,1488
1459995836,1451,1493
1460001811,1453,1495
1460005410,1451,1493
1460006877,1454,1496
1460009009,1451,1493
1460016209,1454,1496
1460019565,1455,1497
1460019806,1452,1493
1460023405,1453,1494
1460027005,1451,1492
1460030610,1448,1489
1460034202,1445,1486
1460037801,1447,1488
1460041408,1443,1484
1460044939,1447,1488
1460048599,1444,1485
1460050126,1446,1487
1460055795,1446,1488
1460059336,1445,1487
1460061232,1450,1492
1460066593,1441,1483
1460070191,1445,1487
1460071658,1447,1489
1460073791,1445,1487
1460077390,1446,1488
1460080990,1443,1486
1460082518,1447,1490
1460088190,1447,1490
1460091788,1449,1492
1460095028,1448,1491
1460095386,1447,1490
