DateTime,Entries,UniqueIPs
1459429386,938,938
1459432975,940,940
1459436573,939,939
1459440180,939,939
1459443772,938,938
1459447371,938,938
1459450980,938,938
1459454630,935,935
1459458229,934,934
1459461778,935,935
1459465427,933,933
1459469026,937,937
1459472630,936,936
1459476222,942,942
1459479763,945,945
1459483430,945,945
1459486960,945,945
1459490562,953,953
1459492768,955,955
1459494158,954,954
1459497757,955,955
1459498376,951,951
1459504957,950,950
1459508554,951,951
1459509169,950,950
1459512215,949,949
1459515752,950,950
1459519414,944,944
1459519967,946,946
1459526560,952,952
1459530149,951,951
1459530703,952,952
1459533748,953,953
1459537408,951,951
1459540946,954,954
1459541626,955,955
1459544604,956,956
1459548205,953,953
1459551804,953,953
1459552418,951,951
1459559004,953,953
1459562542,954,954
1459563157,951,951
1459566201,950,950
1459569800,953,953
1459573338,951,951
1459573955,950,950
1459576998,949,949
1459579005,950,950
1459580599,947,947
1459584197,946,946
1459584749,949,949
1459591333,948,948
1459594995,942,942
1459595610,942,942
1459602193,941,941
1459605792,943,943
1459606349,941,941
1459612995,940,940
1459617232,941,941
1459620186,958,958
1459623783,962,962
1459627384,959,959
1459630981,959,959
1459634580,960,960
1459636107,960,960
1459641779,959,959
1459645376,958,958
1459646843,957,957
1459652576,958,958
1459656174,956,956
1459657701,955,955
1459659774,953,953
1459663372,954,954
1459665512,953,953
1459670572,952,952
1459672039,954,954
1459677771,957,957
1459681369,957,957
1459684973,957,957
1459688568,960,960
1459692167,959,959
1459693696,960,960
1459699427,960,960
1459702966,960,960
1459704373,960,960
1459706626,959,959
1459710224,960,960
1459713762,961,961
1459715289,961,961
1459717422,959,959
1459721021,955,955
1459724559,957,957
1459726089,957,957
1459728217,954,954
1459731756,957,957
1459735356,955,955
1459736884,956,956
1459742554,955,955
1459746152,953,953
1459747620,954,954
1459749816,953,953
1459751815,953,953
1459757011,956,956
1459760618,957,957
1459764210,958,958
1459767746,957,957
1459769215,957,957
1459774945,957,957
1459778605,955,955
1459780134,959,959
1459785803,958,958
1459789340,959,959
1459790810,958,958
1459796599,961,961
1459800200,963,963
1459803807,968,968
1459807397,967,967
1459810997,967,967
1459814599,969,969
1459818193,969,969
1459821733,970,970
1459823265,969,969
1459828992,969,969
1459832590,967,967
1459834120,966,966
1459838410,964,964
1459839788,963,963
1459843387,963,963
1459844919,961,961
1459850588,963,963
1459854186,959,959
1459855716,963,963
1459861383,965,965
1459864987,967,967
1459866515,965,965
1459868649,964,964
1459872181,965,965
1459875781,964,964
1459877250,963,963
1459879380,961,961
1459882978,961,961
1459886577,961,961
1459887862,963,963
1459893776,963,963
1459897374,959,959
1459898842,959,959
1459901033,955,955
1459904633,953,953
1459908171,953,953
1459909638,955,955
1459915370,954,954
1459919029,951,951
1459920129,951,951
