DateTime,AddedIPs,RemovedIPs
1458474124,0,3
1458477723,0,2
1458481323,0,1
1458484923,0,2
1458488523,0,1
1458492124,0,1
1458502924,0,2
1458506523,1,1
1458510124,1,1
1458513723,0,1
1458517324,1,0
1458524523,1,0
1458528123,0,1
1458531724,1,0
1458539222,1,0
1458542822,0,1
1458546422,2,0
1458550022,1,0
1458557222,1,0
1458561124,1,0
1458564724,1,0
1458568323,1,0
1458579123,1,0
1458582724,162,0
1458586326,95,0
1458589925,77,1
1458593526,119,0
1458597126,49,4
1458600726,34,0
1458604326,28,4
1458607926,17,0
1458611526,22,0
1458615126,10,0
1458618726,16,1
1458622326,15,0
1458625927,10,2
1458633126,0,3
1458636726,0,1
1458640326,0,2
1458643926,2,0
1458647526,0,3
1458651126,0,1
1458654728,119,1
1458658328,21,0
1458661928,18,0
1458665527,0,1
1458669426,0,161
1458673024,0,99
1458676624,1,77
1458680223,1,110
1458683823,0,50
1458687424,0,30
1458691023,0,29
1458694623,0,16
1458698223,0,20
1458702125,0,16
1458705725,0,13
1458709325,3,13
1458712925,6,9
1458716525,4,0
1458720125,1,0
1458727325,16,0
1458730925,18,0
1458734525,19,2
1458738125,32,10
1458741725,45,119
1458745325,8,19
1458749224,4,10
1458752824,3,0
1458760623,1,0
1458764223,0,1
1458775325,7,1
1458778925,50,0
1458782525,1,1
1458786125,1,0
1458793325,0,1
1458796926,0,3
1458800526,32,7
1458804126,0,1
1458807725,0,1
1458811325,0,6
1458814925,1,16
1458818525,16,22
1458822125,11,21
1458825725,22,49
1458829325,39,16
1458833223,64,11
1458836824,66,4
1458840424,75,1
1458844024,19,0
1458855125,1,0
1458862324,0,55
1458865924,0,2
1458869823,0,1
1458873423,4,1
1458877024,0,1
1458884224,0,3
1458887823,0,28
1458891423,1,1
1458898623,1,0
1458905823,0,16
1458909423,0,17
1458913022,0,34
1458916623,2,38
1458920223,3,56
1458923822,5,65
1458927422,6,78
1458931022,4,8
1458934622,4,0
1458938223,1,0
1458941822,2,1
1458956222,0,1
1458959822,1,4
1458977822,0,1
1458985022,0,1
1459003022,0,2
1459006622,0,3
1459010524,0,5
1459014124,1,6
1459017723,1,4
1459021323,0,4
1459024923,0,2
1459028523,0,1
1459042923,0,1
1459057621,1,0
1459079222,2,0
1459090022,1,0
1459097222,0,1
1459100822,1,1
1459104421,1,0
1459108022,1,0
1459118822,1,0
1459126021,1,0
1459129622,1,0
1459144324,0,1
1459151523,1,0
1459162323,1,0
1459165924,2,2
1459176724,0,1
1459180324,1,0
1459183924,1,0
1459187523,0,1
1459191124,0,1
1459194723,0,1
