DateTime,Entries,UniqueIPs
1433708304,10491,10902
1433782803,10507,10919
1433872456,10522,10934
1433946986,10533,10945
1434035914,10586,10998
1434125411,10607,11019
1434172525,10607,11019
1434187106,10607,11019
1434201881,10607,11019
1434216533,10623,11036
1434232160,10623,11036
1434276556,10623,11036
1434276556,10623,11036
1434291573,10623,11036
1434291573,10623,11036
1434291573,10623,11036
1434306615,10639,11052
1434306615,10639,11052
1434380969,10655,11068
1434469329,10671,11086
1434557897,10682,11097
1434632054,10682,11097
1434646808,10694,11109
1434691630,10694,11109
1434736455,10707,11123
1434810976,10714,11131
1434900428,10729,11147
1434992408,10744,11164
1435082056,10758,11179
1435156628,10766,11187
1435246035,10782,11206
1435335516,10797,11221
1435424960,10820,11245
1435514427,10845,11270
1435589153,10857,11282
1435678599,10874,11299
1435768030,10885,11312
1435857498,10898,11325
1435946953,10907,11335
1436021711,10920,11349
1436111107,10938,11368
1436200585,10950,11382
1436290611,10959,11391
1436379625,10975,11409
1436454010,10981,11415
1436543658,10989,11423
1436628442,11006,11441
1436717903,11022,11458
1436806806,11038,11474
1436896473,11048,11488
1436971061,11066,11507
1437060425,11071,11512
1437149891,11083,11524
1437239414,11096,11538
1437328806,11106,11549
1437403527,11115,11558
1437492995,11124,11567
1437582438,11132,11575
1437675500,11146,11591
1437750027,11157,11602
1437839663,11162,11608
1437929109,11171,11617
1438018619,11174,11620
1438108027,11180,11626
1438182572,11185,11631
1438272014,11199,11645
1438361655,11207,11654
1438451111,11223,11673
1438525625,11239,11691
1438615119,11262,11717
1438704556,11275,11730
1438793841,11288,11744
1438948647,11304,11763
1438963227,11310,11769
1439052855,11325,11786
1439132935,11330,11792
1439193460,11330,11792
1439193460,11330,11792
1439193460,11330,11792
1439222971,11340,11803
1439238901,11340,11803
1439313521,11346,11809
1439402760,11361,11825
1439477121,11371,11838
1439566584,11387,11855
1439641115,11387,11855
1439656037,11395,11864
1439744957,11405,11875
1439834056,11414,11885
1439908597,11423,11895
1439997790,11430,11902
1440086969,11444,11917
1440161392,11444,11917
1440176048,11452,11927
1440265584,11462,11938
1440340232,11476,11954
1440429500,11488,11968
1440518968,11497,11978
1440608431,11509,11990
1440668059,11509,11990
1440697534,11512,11993
1440772043,11527,12009
1440862037,11545,12028
1440951554,11550,12033
1441041101,11557,12040
1441130431,11571,12055
1441205119,11592,12077
1441294578,11606,12092
1441383497,11615,12101
1441473020,11625,12111
1441562460,11642,12129
1441637186,11652,12139
1441725733,11659,12147
1441814952,11672,12160
1441904427,11688,12177
1441994053,11703,12192
1442069146,11711,12201
1442158855,11716,12206
1442248055,11722,12212
1442338067,11733,12223
1442427574,11737,12228
1442502099,11740,12231
1442591672,11750,12241
1442682561,11758,12251
1442772073,11770,12263
1442846746,11773,12266
1442936253,11779,12273
1443025652,11786,12280
1443115150,11798,12293
1443204605,11803,12298
1443279280,11810,12305
1443368218,11825,12320
1443457267,11835,12330
1443546587,11850,12345
1443636043,11858,12353
1443710750,11880,12375
1443800197,11884,12379
