DateTime,AddedIPs,RemovedIPs
1440379759,1,1
1440423392,1,2
1440510868,3,1
1440598710,5,0
1440686197,1,0
1440773671,2,1
1440949529,5,3
1440994225,1,1
1441037902,1,1
1441300712,1,0
1441737932,3,3
1441825789,2,2
1441913261,1,1
1442134461,1,18
1442222376,1,1
1442266097,1,0
1442309800,3,5
1442353653,2,1
1442397634,0,1
1442485143,1,1
1442528882,2,1
1442572605,0,1
1442835464,1,0
1442922865,1,0
1442966991,4,0
1443098266,2,0
1443141948,13,13
1443229805,1,1
1443273546,0,1
1443317267,0,1
1443361029,1,1
1443448537,2,5
1443536334,1,1
1443623812,1,2
1443711340,8,2
1443799686,1,0
1443843403,1,0
1443887212,1,0
1444149952,3,0
1444237794,4,0
1444281524,1,0
1444325871,4,1
1444413270,2,2
1444676078,2,1
1444763948,1,0
1444938882,0,1
1445026712,3,2
1445158553,1,4
1445203684,3,2
1445291165,6,2
1445334929,4,5
1445378997,3,2
1445466473,4,1
1445510274,2,2
1445597686,1,2
1445641803,3,3
1445817281,1,1
1445861413,1,0
1445905119,2,1
1445948891,1,1
1445992602,2,3
1446037406,4,3
1446081509,2,9
1446125280,3,9
1446168986,3,3
1446213350,8,5
1446257270,1,1
1446301115,0,1
1446344861,3,0
1446579500,1,0
1446755844,0,1
1446844227,2,3
1447084852,5,4
1447129149,3,12
1447172847,1,0
1447348174,3,13
1447435670,3,1
1447523726,1,0
1447722040,4,7
1447809533,1,1
1447897006,2,2
1447940764,1,2
1447984463,4,8
1448050921,4,1
1448095021,2,0
1448314618,1,0
1448358334,2,0
1448403148,3,0
1448447345,1,0
1448491001,1,0
1448534742,1,0
1448667489,2,2
1448754952,1,6
1448799712,1,5
1448843879,3,2
1448888100,1,1
1448932186,1,1
1449019654,6,8
1449154162,9,7
1449198050,1,1
1449288025,1,4
1449335598,1,1
1449379641,1,6
1449474452,1,1
1449518085,6,2
1449606028,9,3
1449693425,2,0
1449780878,3,0
1449868724,8,0
1450044580,1,1
1450200625,8,7
1450423985,1,1
1450780672,2,1
1450868074,1,12
1450955923,1,4
1451868403,1,0
1451999934,1,0
1452284843,1,1
1452547656,6,2
1452635128,6,8
1452854199,1,1
1452898480,1,1
1453300088,1,1
1453431138,3,3
1453474817,1,1
1453518513,1,1
1453562177,1,1
1453911864,3,2
1453955553,2,0
1453999214,1,0
1454173947,1,0
1454348656,5,8
1454436012,5,6
1454523396,4,4
1454567049,1,1
1454610750,1,1
1454654410,1,0
1454741806,2,1
1454785467,2,0
1454916737,1,0
1454960429,2,0
1455004107,1,2
1455047809,1,1
1455135144,6,4
1455222489,7,1
1455310104,3,8
1455353788,2,2
1455419548,1,13
1455463216,1,1
1455550573,1,1
1455637943,4,6
1455681628,4,2
1455725491,9,10
1455769209,0,7
1455812892,6,0
1455900255,11,8
1455943952,1,2
1456031304,0,1
1456162607,8,6
1456249941,1,0
1456337310,2,0
1456380992,6,4
1456424649,11,19
1456468341,1,2
1456512025,0,1
1456686744,1,1
1456774095,3,16
1456861452,8,3
1456948822,5,9
1457036179,1,0
1457123543,9,0
1457210901,2,1
1457341959,1,0
1457385633,9,7
1457472974,19,7
1457516853,1,0
1457560590,18,10
1457604269,4,0
1457648187,8,12
1457691858,5,6
1457736517,19,20
1457911697,4,21
1457955372,0,6
1457999053,26,9
1458042750,6,7
1458086420,5,18
1458130102,15,4
1458173802,12,10
1458217458,13,7
1458261138,4,3
1458304822,3,5
1458348492,5,2
1458392172,7,4
1458435866,1,0
1458567417,1,1
1458654758,2,1
1458742102,10,7
1458785781,7,9
1458916827,12,11
1458960508,14,16
1459047857,1,3
1459289599,3,3
1459333474,1,4
1459377158,7,18
1459770504,16,20
1459814190,3,6
1459857865,3,3
1459901554,5,9
1459945480,1,0
1459989141,2,1
1460032844,15,8
1460076513,7,0
1460120538,16,9
1460208037,2,1
1460382756,8,3
1460426497,5,9
1460470127,3,0
1460557962,11,8
1460623704,2,0
1460667384,2,4
1460754996,8,14
1460842606,3,11
1460886266,0,1
1460973640,3,3
1461061223,4,3
