DateTime,AddedIPs,RemovedIPs
1456968781,1,0
1456972381,0,2
1456983181,3,0
1456990381,1,0
1457004781,1,0
1457008381,0,2
1457011981,0,1
1457026381,1,0
1457033581,2,0
1457037181,0,1
1457047981,1,0
1457051581,0,3
1457055181,1,2
1457065981,0,1
1457073181,1,2
1457087582,0,3
1457094781,0,1
1457098381,0,1
1457112781,0,1
1457116381,3,1
1457134381,0,2
1457137981,0,2
1457148781,0,1
1457159581,0,1
1457184781,2,0
1457195581,0,1
1457199181,1,0
1457220781,0,1
1457224382,2,0
1457227981,1,0
1457231581,0,1
1457249581,0,2
1457260382,0,1
1457263982,1,0
1457292781,5,0
1457310782,0,2
1457325181,1,0
1457335981,2,0
1457343181,0,1
1457346781,2,2
1457353981,0,2
1457357582,2,0
1457361181,1,0
1457371981,0,1
1457375581,1,0
1457379181,0,1
1457386381,0,2
1457397182,0,2
1457407981,0,1
1457425981,1,0
1457429581,0,2
1457433182,2,0
1457436781,0,2
1457440381,1,0
1457451181,0,2
1457461981,3,0
1457465581,0,1
1457469181,1,1
1457483581,1,0
1457487182,0,1
1457494381,0,1
1457508781,1,0
1457512382,0,3
1457523181,0,2
1457530381,3,1
1457533982,0,1
1457544781,1,0
1457551981,4,0
1457566381,0,1
1457580781,0,1
1457587981,1,0
1457602381,2,0
1457605981,0,1
1457609581,3,0
1457620381,0,2
1457631181,2,0
1457638381,1,0
1457641981,0,1
1457652781,1,2
1457659981,1,0
1457667181,2,0
1457670781,0,1
1457695981,2,3
1457710381,0,1
1457713981,1,0
1457717581,0,1
1457724781,0,1
1457733030,1,1
1457746381,0,1
1457749981,1,0
1457753581,0,2
1457760782,0,1
1457764381,1,0
1457771581,1,0
1457782381,0,2
1457785981,6,0
1457793181,1,0
1457800381,1,2
1457807581,10,2
1457814781,1,4
1457821981,0,2
1457829181,3,0
1457839981,1,0
1457843581,0,2
1457847181,0,2
1457861581,0,2
1457865182,0,3
1457872381,2,0
1457875981,0,1
1457886782,1,0
1457893981,1,2
1457908381,0,1
1457911981,2,0
1457915582,0,1
1457933581,1,1
1457944381,1,0
1457951581,0,2
1457955181,1,0
1457958781,0,2
1457969581,1,1
1457976782,1,0
1457983981,0,3
