DateTime,AddedIPs,RemovedIPs
1457595181,4,6
1457602381,6,6
1457609581,10,9
1457616781,10,7
1457623981,8,8
1457631181,15,13
1457638381,11,13
1457645581,8,6
1457652781,8,11
1457659981,7,8
1457667181,10,9
1457674381,6,7
1457681581,13,10
1457688781,7,9
1457695981,13,11
1457703182,4,4
1457710381,4,3
1457713981,15,16
1457721181,8,8
1457728382,9,7
1457733030,12,14
1457742782,7,9
1457749981,5,6
1457757181,9,10
1457764381,11,10
1457771581,6,6
1457778781,8,8
1457785981,17,14
1457793181,12,9
1457800381,15,19
1457807581,17,16
1457814781,8,7
1457821981,8,8
1457829181,12,11
1457839981,16,17
1457847181,5,6
1457854381,11,13
1457865182,8,7
1457872381,10,12
1457879581,12,10
1457886782,3,2
1457893981,14,13
1457901181,8,8
1457911981,10,11
1457915582,8,9
1457926381,6,5
1457933581,7,8
1457944381,13,14
1457947981,5,6
1457955181,9,8
1457962381,7,8
1457969581,6,5
1457976782,8,9
1457983981,13,9
1457991181,10,10
1457998382,6,5
1458005581,7,7
1458016382,8,13
1458019982,5,6
1458027181,17,13
1458037981,10,8
1458045182,13,14
1458055981,14,17
1458063181,14,11
1458070381,10,8
1458077582,7,8
1458084781,7,7
1458091982,6,7
1458099181,11,9
1458106381,8,9
1458113581,13,13
1458120781,10,7
1458131581,9,8
1458138781,7,9
1458145981,8,10
1458153182,11,13
1458160381,11,7
1458167581,10,10
1458174781,14,13
1458181981,10,12
1458189182,6,5
1458196381,5,6
1458203581,9,11
1458210781,4,6
1458217981,9,10
1458225181,7,6
1458232382,6,6
1458239582,14,13
1458246781,11,8
1458253981,9,7
1458261181,5,4
1458268381,3,5
1458275581,13,13
1458282781,7,5
1458289981,10,15
1458297181,9,7
1458304382,2,3
1458311581,11,13
1458318781,10,12
1458325981,12,12
1458333181,10,11
1458340381,6,3
1458347581,13,11
1458354781,8,7
1458361981,11,11
1458372781,7,9
1458379981,11,10
1458387181,10,10
1458394382,12,11
1458401581,9,7
1458408781,5,5
1458415981,15,18
1458423181,6,5
1458430381,10,11
1458437582,8,7
1458444781,5,4
1458451982,10,13
1458459181,5,5
1458466381,8,8
1458473581,8,8
1458480781,4,5
1458487981,11,12
1458495181,5,5
1458502381,13,11
1458509581,7,7
1458516781,6,7
1458523981,15,12
1458531181,4,6
1458538381,16,15
1458549182,6,7
1458552782,9,11
1458559981,13,12
1458570782,10,10
1458574381,9,10
1458581581,6,6
1458588781,16,13
1458595981,5,5
1458603181,10,13
1458610381,6,7
1458617581,3,3
1458624781,9,12
1458631981,9,8
1458642781,12,10
1458649981,11,11
1458660781,6,5
1458664381,10,10
1458675181,10,11
1458678781,9,8
1458685981,8,9
1458693181,13,10
1458700381,8,8
1458707581,12,10
1458714781,14,17
1458721982,8,10
1458729181,16,13
1458736381,9,10
1458743581,13,13
1458750781,8,9
1458757982,14,10
1458765181,13,16
1458772382,8,6
1458779582,9,9
1458786781,4,4
1458797581,7,8
1458804781,17,17
1458811981,10,11
1458819181,14,14
1458826381,4,5
1458833581,11,12
1458840782,18,16
1458847982,12,12
1458855182,13,13
1458862381,9,9
1458869581,7,10
1458876781,4,2
1458883981,17,14
1458891181,6,5
1458898381,8,9
1458905581,23,23
1458912782,2,3
1458919981,14,16
1458927181,6,8
1458934381,4,4
1458941581,16,17
1458948781,9,8
1458955981,9,7
1458963181,4,5
1458970381,10,8
1458977581,12,12
1458984781,10,10
1458991981,8,9
1458999181,9,9
1459006381,14,14
1459013581,9,9
1459020781,17,17
1459027982,11,12
1459035181,5,4
1459042381,20,17
1459049581,7,9
1459056781,17,16
1459063981,11,12
1459071182,8,10
1459078381,10,10
1459085581,14,13
1459092781,7,6
1459099981,4,2
1459107181,20,19
1459114381,7,9
1459121581,16,15
1459128781,10,11
1459135982,13,11
1459143181,10,13
1459150381,10,9
1459157581,14,14
1459164781,7,6
1459175581,13,18
1459182781,12,12
1459189981,13,14
1459197181,3,3
1459204381,9,12
1459211581,9,8
1459218781,10,10
1459225982,6,5
1459233181,4,5
1459243981,13,10
