DateTime,Entries,UniqueIPs
1457616781,65,65
1457623981,65,65
1457631181,67,67
1457638381,65,65
1457645581,67,67
1457652781,64,64
1457659981,63,63
1457667181,64,64
1457674381,63,63
1457681581,66,66
1457688781,64,64
1457695981,66,66
1457703182,66,66
1457710381,67,67
1457713981,66,66
1457721181,66,66
1457728382,68,68
1457733030,66,66
1457742782,64,64
1457749981,63,63
1457757181,62,62
1457764381,63,63
1457771581,63,63
1457778781,63,63
1457785981,66,66
1457793181,69,69
1457800381,65,65
1457807581,66,66
1457814781,67,67
1457821981,67,67
1457829181,68,68
1457839981,67,67
1457847181,66,66
1457854381,64,64
1457865182,65,65
1457872381,63,63
1457879581,65,65
1457886782,66,66
1457893981,67,67
1457901181,67,67
1457911981,66,66
1457915582,65,65
1457926381,66,66
1457933581,65,65
1457944381,64,64
1457947981,63,63
1457955181,64,64
1457962381,63,63
1457969581,64,64
1457976782,63,63
1457983981,67,67
1457991181,67,67
1457998382,68,68
1458005581,68,68
1458016382,63,63
1458019982,62,62
1458027181,66,66
1458037981,68,68
1458045182,67,67
1458055981,64,64
1458063181,67,67
1458070381,69,69
1458077582,68,68
1458084781,68,68
1458091982,67,67
1458099181,69,69
1458106381,68,68
1458113581,68,68
1458120781,71,71
1458131581,72,72
1458138781,70,70
1458145981,68,68
1458153182,66,66
1458160381,70,70
1458167581,70,70
1458174781,71,71
1458181981,69,69
1458189182,70,70
1458196381,69,69
1458203581,67,67
1458210781,65,65
1458217981,64,64
1458225181,65,65
1458232382,65,65
1458239582,66,66
1458246781,69,69
1458253981,71,71
1458261181,72,72
1458268381,70,70
1458275581,70,70
1458282781,72,72
1458289981,67,67
1458297181,69,69
1458304382,68,68
1458311581,66,66
1458318781,64,64
1458325981,64,64
1458333181,63,63
1458340381,66,66
1458347581,68,68
1458354781,69,69
1458361981,69,69
1458372781,67,67
1458379981,68,68
1458387181,68,68
1458394382,69,69
1458401581,71,71
1458408781,71,71
1458415981,68,68
1458423181,69,69
1458430381,68,68
1458437582,69,69
1458444781,70,70
1458451982,67,67
1458459181,67,67
1458466381,67,67
1458473581,67,67
1458480781,66,66
1458487981,65,65
1458495181,65,65
1458502381,67,67
1458509581,67,67
1458516781,66,66
1458523981,69,69
