DateTime,AddedIPs,RemovedIPs
1440934589,0,56
1441197369,0,1
1441372686,0,50
1441986309,0,6
1442424425,0,2
1442599748,0,3
1443212830,0,11
1443825907,0,8
1444395249,0,26
1445008687,0,3
1445183645,0,2
1445625403,0,16
1446240424,0,2
1446811747,1,0
1446812302,0,10
1447068425,0,3
1447423749,0,6
1448021348,1,0
1448021899,0,8
1448626147,1,0
1448626705,0,21
1449230949,1,0
1449231500,0,20
1449614213,0,3
1449657912,0,21
1449835746,1,0
1449836301,0,3
1450453532,1,11
1451045367,1,0
1451045899,0,9
1451236685,0,4
1451650147,1,0
1451650699,0,7
1452262149,0,16
1452872750,0,11
1453471930,0,16
1454076247,0,5
1454673848,1,0
1454674096,0,8
1455278643,1,0
1455278895,0,1
1455883443,1,0
1455883925,0,15
1456176003,0,5
1456488487,1,0
1456488976,0,7
1456490165,0,2
1457093286,1,0
1457093527,0,24
1457697847,1,0
1457698324,0,17
1457882169,0,8
1458302648,1,0
1458303123,0,4
1458907442,1,0
1458907927,0,246
1459533845,0,24
1460014802,0,3
1460113445,1,0
1460114165,0,1
1460718247,1,0
1460718724,0,18
