DateTime,AddedIPs,RemovedIPs
1459940890,3,0
1459942805,0,3
1459944970,1,1
1459946887,2,1
1459948808,2,2
1459950724,0,2
1459952645,3,0
1459954569,1,2
1459956484,0,2
1459958422,4,0
1459960570,0,3
1459962489,3,0
1459964409,1,4
1459966325,1,1
1459968249,0,1
1459970413,1,0
1459972327,3,1
1459974249,0,2
1459976172,1,1
1459978086,2,1
1459980012,2,2
1459981926,2,2
1459983853,2,2
1459985775,4,2
1459987932,1,3
1459989848,3,2
1459991765,2,3
1459993685,1,2
1459995606,2,1
1459997527,3,2
1459999692,3,3
1460001619,1,3
1460003529,3,1
1460005457,0,3
1460009290,1,0
1460011208,0,1
1460015050,3,0
1460016968,2,3
1460018897,2,2
1460021051,0,2
1460026817,1,0
1460028727,1,1
1460030652,2,1
1460032570,1,2
1460034499,0,1
1460036407,1,0
1460038336,3,1
1460042416,1,2
1460044330,0,1
1460055843,1,0
1460057768,1,1
1460059693,2,1
1460061611,3,2
1460063768,4,3
1460065686,6,3
1460067606,0,7
1460069530,4,0
1460071445,2,4
1460073369,3,2
1460075284,5,3
1460077207,0,4
1460081043,2,0
1460082967,1,3
1460085129,7,1
1460087045,1,6
1460088964,2,1
1460090884,1,3
1460092807,1,1
1460094730,2,1
1460096648,0,2
1460102409,3,0
1460104323,0,3
1460106243,2,0
1460108164,0,2
1460110328,3,0
1460112244,2,2
1460114167,0,3
1460116086,3,0
1460118017,4,3
1460121373,3,4
1460123284,3,2
1460125208,1,4
1460127128,6,1
1460129052,1,4
1460130970,3,3
1460132888,4,3
1460135764,1,3
1460137683,1,2
1460139605,3,1
1460141531,2,3
1460143445,4,2
1460145367,3,4
1460147287,2,3
1460149210,1,2
1460151126,8,1
1460153047,3,7
1460154966,1,3
1460156887,2,2
1460158812,2,2
1460160724,1,2
1460162645,4,1
1460164564,3,4
1460166484,3,2
1460168408,1,4
1460170328,3,1
1460172246,4,3
1460174165,4,4
1460176084,0,4
1460179208,2,0
1460181134,3,2
1460183046,0,3
1460186165,4,0
1460188085,1,4
1460190007,5,1
1460191931,2,4
1460193851,1,3
1460195767,3,1
1460197686,3,3
1460200574,1,3
1460202486,0,1
1460204418,2,0
1460206326,0,2
1460208249,1,0
1460210166,2,1
1460212098,0,2
1460214255,1,0
1460216165,3,1
1460218092,1,1
1460220257,4,1
1460222168,0,6
1460224086,2,0
1460226009,1,1
1460227933,2,1
1460229845,4,3
1460231766,3,4
1460233686,1,3
1460235615,4,1
1460237529,5,4
1460239447,1,5
1460241364,1,1
1460243290,2,0
1460245204,1,2
1460247135,0,2
1460249054,2,0
1460250980,2,2
1460252890,4,2
1460254814,3,4
1460256729,0,3
1460258652,4,0
1460260567,2,3
1460262489,2,2
1460265373,5,3
1460267291,4,4
1460269205,4,4
1460271130,1,5
1460273044,2,1
1460274964,3,0
1460276891,0,5
1460280725,1,1
1460282645,3,1
1460284566,1,3
1460287465,1,1
1460289363,3,1
1460291290,0,3
1460293217,2,0
1460295130,1,2
1460297045,3,1
1460298965,2,3
1460300890,3,2
1460302804,3,2
1460304738,3,4
1460306648,1,3
1460308563,2,1
1460310484,7,2
1460312404,1,7
1460314328,1,1
1460316245,0,1
1460318174,2,0
1460320095,0,2
1460322021,1,0
1460323927,2,1
1460325854,1,1
1460327764,0,2
1460329691,3,0
1460331604,4,3
1460333772,0,4
1460335683,3,0
1460337608,1,1
1460339526,1,3
1460341449,2,1
1460343365,1,2
1460345284,3,1
1460348409,0,3
1460352486,4,0
1460354424,3,3
1460356324,4,2
1460358250,5,7
1460360407,5,3
1460362337,0,6
1460366173,1,0
1460368091,1,1
1460370005,0,1
1460371926,1,0
1460373851,1,1
1460375771,3,1
1460377693,1,3
1460380829,1,0
1460382732,0,2
1460390424,2,0
1460392333,0,2
1460394248,3,0
1460396167,0,2
1460398090,1,0
1460400005,0,2
1460401931,2,0
1460403852,3,2
1460405767,1,3
1460407689,4,1
1460409605,0,3
1460411535,2,1
1460413446,0,2
1460420167,2,0
1460422090,3,2
1460424004,1,3
1460425928,2,1
1460429055,1,2
1460430967,4,1
1460432887,0,4
1460436731,1,0
1460438651,1,1
1460440569,3,1
1460442491,2,3
1460444427,2,2
1460446332,0,2
1460448494,2,0
1460450414,3,2
1460452336,2,2
1460454251,0,3
1460474403,1,0
1460476324,3,0
1460478244,0,3
1460480415,3,0
1460482334,1,3
1460484256,1,1
1460486657,3,1
1460488809,3,3
1460490730,4,3
1460492645,3,3
1460494564,2,4
1460496489,6,1
1460498417,1,7
1460500330,4,0
1460502251,0,5
1460504164,1,0
1460506087,4,1
1460508013,4,4
1460510178,1,3
1460512085,0,2
1460514014,2,0
1460515930,1,2
1460517849,2,1
1460519764,1,2
1460521693,1,1
1460523619,1,1
1460525536,3,1
1460527444,0,2
1460529367,2,1
1460531287,4,2
1460533209,2,4
1460535136,0,2
1460541135,1,0
1460543046,1,1
1460544967,2,1
1460546886,1,2
1460548822,4,1
1460550732,1,4
1460552649,1,1
1460556489,4,1
1460558414,1,4
1460562252,2,0
1460564183,2,2
1460566084,1,2
1460568254,0,1
1460572096,3,0
1460574023,3,2
1460575933,3,4
1460577849,4,3
1460579773,4,3
1460581693,2,5
1460583612,1,1
1460585532,1,2
1460587453,4,1
1460589371,6,4
1460591289,7,5
1460593216,2,8
1460595140,2,1
1460597047,1,3
1460598973,2,1
1460600895,2,2
1460602824,2,2
1460604728,0,2
1460606894,1,0
1460608806,3,1
1460610738,1,1
1460612657,0,2
1460614578,3,0
1460616490,3,2
1460618413,2,3
1460620334,1,3
1460622257,0,1
1460631845,1,0
1460633770,3,1
1460635699,3,3
1460637615,3,3
1460639536,1,3
1460643847,3,1
1460646020,1,3
1460647928,0,1
1460649852,3,0
1460652023,2,3
1460653929,1,2
1460655849,1,1
1460657773,2,1
1460659929,2,2
1460661845,3,2
1460663765,2,3
1460665694,2,2
1460667618,5,2
1460669534,1,5
1460671699,0,1
1460673606,2,0
1460675531,3,2
1460677448,4,3
1460679375,2,4
1460681285,5,2
1460683206,4,5
1460685129,1,4
1460687056,1,1
1460688964,1,1
1460691133,0,1
1460693051,1,0
1460694965,1,1
1460697134,0,1
1460701210,1,0
1460703130,0,1
1460708897,2,0
1460711057,2,1
1460712967,0,3
1460720645,3,0
1460722568,2,3
1460724489,0,2
1460728332,1,0
1460730246,0,1
1460732169,1,0
1460734097,1,1
1460736028,0,1
1460739845,15,0
1460741779,0,14
1460743689,2,1
1460745610,2,2
1460747781,0,2
1460751610,1,0
1460753529,0,1
1460755451,4,0
1460757367,2,4
1460759290,1,2
1460761226,1,1
1460763136,2,1
1460765047,2,2
1460766968,2,2
1460768893,0,2
1460770808,3,0
1460772738,1,3
1460774654,2,1
1460776569,2,2
1460778485,2,1
1460780411,2,3
1460782333,3,2
1460784252,1,3
1460786176,0,1
1460791934,2,0
1460793846,3,2
1460795766,1,3
1460797931,0,1
1460807525,1,0
1460809446,1,1
1460811367,1,1
1460813290,0,1
1460816168,1,0
1460818098,2,1
1460820010,1,2
1460821928,0,1
1460825769,4,0
1460827704,0,4
1460829624,1,0
1460831537,0,1
1460833454,1,0
1460835371,0,1
1460837539,1,0
1460839450,1,1
1460841369,1,1
1460843287,0,1
1460845210,1,0
1460847127,3,1
1460849049,0,3
1460850966,1,0
1460852890,2,1
1460854819,3,2
1460856733,0,2
1460858657,5,1
1460860566,0,5
1460866331,2,0
1460868304,0,2
1460880253,1,0
1460882172,0,1
1460884096,1,0
1460886010,1,1
1460888178,0,1
1460890098,2,0
1460892265,0,2
1460896094,1,0
1460898065,1,1
1460899934,0,1
1460901846,3,0
1460903771,1,2
1460905696,1,2
1460907611,0,1
1460909805,1,0
1460911692,5,1
1460913613,2,5
1460915526,1,2
1460917456,1,1
1460919370,1,1
1460921294,5,1
1460923223,0,5
1460925145,2,0
1460927060,2,2
1460929016,1,1
1460930893,0,2
1460934732,3,0
1460936901,2,2
1460939060,1,3
1460941461,1,1
1460943373,1,1
1460945293,0,1
1460954886,2,0
1460956810,0,2
1460958730,2,0
1460960899,0,2
1460963764,1,0
1460965689,0,1
1460977219,1,0
