DateTime,Entries,UniqueIPs
1459954569,137,137
1459956484,135,135
1459958422,139,139
1459960570,136,136
1459962489,139,139
1459964409,136,136
1459966325,136,136
1459968249,135,135
1459970413,136,136
1459972327,138,138
1459974249,136,136
1459976172,136,136
1459978086,137,137
1459980012,137,137
1459981926,137,137
1459983853,137,137
1459985775,139,139
1459987932,137,137
1459989848,138,138
1459991765,137,137
1459993685,136,136
1459995606,137,137
1459997527,138,138
1459999692,138,138
1460001619,136,136
1460003529,138,138
1460005457,135,135
1460009290,136,136
1460011208,135,135
1460015050,138,138
1460016968,137,137
1460018897,137,137
1460021051,135,135
1460026817,136,136
1460028727,136,136
1460030652,137,137
1460032570,136,136
1460034499,135,135
1460036407,136,136
1460038336,138,138
1460042416,137,137
1460044330,136,136
1460055843,137,137
1460057768,137,137
1460059693,138,138
1460061611,139,139
1460063768,140,140
1460065686,143,143
1460067606,136,136
1460069530,140,140
1460071445,138,138
1460073369,139,139
1460075284,141,141
1460077207,137,137
1460081043,139,139
1460082967,137,137
1460085129,143,143
1460087045,138,138
1460088964,139,139
1460090884,137,137
1460092807,137,137
1460094730,138,138
1460096648,136,136
1460102409,139,139
1460104323,136,136
1460106243,138,138
1460108164,136,136
1460110328,139,139
1460112244,139,139
1460114167,136,136
1460116086,139,139
1460118017,140,140
1460121373,139,139
1460123284,140,140
1460125208,137,137
1460127128,142,142
1460129052,139,139
1460130970,139,139
1460132888,140,140
1460135764,138,138
1460137683,137,137
1460139605,139,139
1460141531,138,138
1460143445,140,140
1460145367,139,139
1460147287,138,138
1460149210,137,137
1460151126,144,144
1460153047,140,140
1460154966,138,138
1460156887,138,138
1460158812,138,138
1460160724,137,137
1460162645,140,140
1460164564,139,139
1460166484,140,140
1460168408,137,137
1460170328,139,139
1460172246,140,140
1460174165,140,140
1460176084,136,136
1460179208,138,138
1460181134,139,139
1460183046,136,136
1460186165,140,140
1460188085,137,137
1460190007,141,141
1460191931,139,139
1460193851,137,137
1460195767,139,139
1460197686,139,139
1460200574,137,137
1460202486,136,136
1460204418,138,138
1460206326,136,136
1460208249,137,137
1460210166,138,138
1460212098,136,136
1460214255,137,137
1460216165,139,139
1460218092,139,139
1460220257,142,142
1460222168,136,136
1460224086,138,138
1460226009,138,138
1460227933,139,139
1460229845,140,140
1460231766,139,139
1460233686,137,137
1460235615,140,140
1460237529,141,141
1460239447,137,137
1460241364,137,137
1460243290,139,139
1460245204,138,138
1460247135,136,136
1460249054,138,138
1460250980,138,138
1460252890,140,140
1460254814,139,139
1460256729,136,136
1460258652,140,140
1460260567,139,139
1460262489,139,139
1460265373,141,141
1460267291,141,141
1460269205,141,141
1460271130,137,137
1460273044,138,138
1460274964,141,141
1460276891,136,136
1460280725,136,136
1460282645,138,138
1460284566,136,136
1460287465,136,136
1460289363,138,138
1460291290,135,135
1460293217,137,137
1460295130,136,136
1460297045,138,138
1460298965,137,137
1460300890,138,138
1460302804,139,139
1460304738,138,138
1460306648,136,136
1460308563,137,137
1460310484,142,142
1460312404,136,136
1460314328,136,136
1460316245,135,135
1460318174,137,137
1460320095,135,135
1460322021,136,136
1460323927,137,137
1460325854,137,137
1460327764,135,135
1460329691,138,138
1460331604,139,139
1460333772,135,135
1460335683,138,138
1460337608,138,138
1460339526,136,136
1460341449,137,137
1460343365,136,136
1460345284,138,138
1460348409,135,135
1460352486,139,139
1460354424,139,139
1460356324,141,141
1460358250,139,139
1460360407,141,141
1460362337,135,135
1460366173,136,136
1460368091,136,136
1460370005,135,135
1460371926,136,136
1460373851,136,136
1460375771,138,138
1460377693,136,136
1460380829,137,137
1460382732,135,135
1460390424,137,137
1460392333,135,135
1460394248,138,138
1460396167,136,136
1460398090,137,137
1460400005,135,135
1460401931,137,137
1460403852,138,138
1460405767,136,136
1460407689,139,139
1460409605,136,136
1460411535,137,137
1460413446,135,135
1460420167,137,137
1460422090,138,138
1460424004,136,136
1460425928,137,137
1460429055,136,136
1460430967,139,139
1460432887,135,135
1460436731,136,136
1460438651,136,136
1460440569,138,138
1460442491,137,137
1460444427,137,137
1460446332,135,135
1460448494,137,137
1460450414,138,138
1460452336,138,138
1460454251,135,135
1460474403,136,136
1460476324,139,139
1460478244,136,136
1460480415,139,139
1460482334,137,137
1460484256,137,137
1460486657,139,139
1460488809,139,139
1460490730,140,140
1460492645,140,140
1460494564,138,138
1460496489,143,143
1460498417,137,137
1460500330,141,141
1460502251,136,136
1460504164,137,137
1460506087,140,140
1460508013,140,140
1460510178,138,138
1460512085,136,136
1460514014,138,138
1460515930,137,137
1460517849,138,138
1460519764,137,137
1460521693,137,137
1460523619,137,137
1460525536,139,139
1460527444,137,137
1460529367,138,138
1460531287,140,140
1460533209,138,138
1460535136,136,136
1460541135,137,137
1460543046,137,137
1460544967,138,138
1460546886,137,137
1460548822,140,140
1460550732,137,137
1460552649,137,137
1460556489,140,140
1460558414,137,137
1460562252,139,139
1460564183,139,139
1460566084,138,138
1460568254,137,137
1460572096,140,140
1460574023,141,141
1460575933,140,140
1460577849,141,141
1460579773,142,142
1460581693,139,139
1460583612,139,139
1460585532,138,138
1460587453,141,141
1460589371,143,143
1460591289,145,145
1460593216,139,139
1460595140,140,140
1460597047,138,138
1460598973,139,139
1460600895,139,139
1460602824,139,139
1460604728,137,137
1460606894,138,138
1460608806,140,140
1460610738,140,140
1460612657,138,138
1460614578,141,141
1460616490,142,142
1460618413,141,141
1460620334,139,139
1460622257,138,138
1460631845,139,139
1460633770,141,141
1460635699,141,141
1460637615,141,141
1460639536,139,139
1460643847,141,141
1460646020,139,139
1460647928,138,138
1460649852,141,141
1460652023,140,140
1460653929,139,139
1460655849,139,139
1460657773,140,140
1460659929,140,140
1460661845,141,141
1460663765,140,140
1460665694,140,140
1460667618,143,143
1460669534,139,139
1460671699,138,138
1460673606,140,140
1460675531,141,141
1460677448,142,142
1460679375,140,140
1460681285,143,143
1460683206,142,142
1460685129,139,139
1460687056,139,139
1460688964,139,139
1460691133,138,138
1460693051,139,139
1460694965,139,139
1460697134,138,138
1460701210,139,139
1460703130,138,138
1460708897,140,140
1460711057,141,141
1460712967,138,138
1460720645,141,141
1460722568,140,140
1460724489,138,138
1460728332,139,139
1460730246,138,138
1460732169,139,139
1460734097,139,139
1460736028,138,138
1460739845,153,153
1460741779,139,139
1460743689,140,140
1460745610,140,140
1460747781,138,138
1460751610,139,139
1460753529,138,138
1460755451,142,142
1460757367,140,140
1460759290,139,139
1460761226,139,139
1460763136,140,140
1460765047,140,140
1460766968,140,140
1460768893,138,138
1460770808,141,141
1460772738,139,139
1460774654,140,140
1460776569,140,140
1460778485,141,141
1460780411,140,140
1460782333,141,141
1460784252,139,139
1460786176,138,138
1460791934,140,140
1460793846,141,141
1460795766,139,139
1460797931,138,138
1460807525,139,139
1460809446,139,139
1460811367,139,139
1460813290,138,138
1460816168,139,139
1460818098,140,140
1460820010,139,139
1460821928,138,138
1460825769,142,142
1460827704,138,138
1460829624,139,139
1460831537,138,138
1460833454,139,139
1460835371,138,138
1460837539,139,139
1460839450,139,139
1460841369,139,139
1460843287,138,138
1460845210,139,139
1460847127,141,141
1460849049,138,138
1460850966,139,139
1460852890,140,140
1460854819,141,141
1460856733,139,139
1460858657,143,143
1460860566,138,138
1460866331,140,140
1460868304,138,138
1460880253,139,139
1460882172,138,138
1460884096,139,139
1460886010,139,139
1460888178,138,138
1460890098,140,140
1460892265,138,138
1460896094,139,139
1460898065,139,139
1460899934,138,138
1460901846,141,141
1460903771,140,140
1460905696,139,139
1460907611,138,138
1460909805,139,139
1460911692,143,143
1460913613,140,140
1460915526,139,139
1460917456,139,139
1460919370,139,139
1460921294,143,143
1460923223,138,138
1460925145,140,140
1460927060,140,140
1460929016,140,140
1460930893,138,138
1460934732,141,141
1460936901,141,141
1460939060,139,139
1460941461,139,139
1460943373,139,139
1460945293,138,138
1460954886,140,140
1460956810,138,138
1460958730,140,140
1460960899,138,138
1460963764,139,139
1460965689,138,138
1460977219,139,139
1460979127,140,140
1460981047,138,138
1460986811,139,139
1460988978,139,139
1460990890,140,140
1460992814,138,138
1460994730,139,139
1460996646,138,138
1461000492,140,140
1461002424,138,138
1461012252,139,139
1461015357,140,140
1461017293,140,140
1461019205,138,138
1461021375,140,140
1461023286,141,141
1461025205,140,140
1461027128,139,139
1461029048,138,138
1461032887,139,139
1461034816,140,140
1461036731,140,140
1461038648,138,138
1461040564,139,139
1461042486,139,139
1461044408,138,138
1461048254,141,141
1461050163,138,138
1461055934,139,139
1461057848,137,137
1461065529,139,139
1461067449,137,137
1461071288,138,138
1461073208,137,137
1461085222,139,139
1461087132,139,139
1461089050,141,141
1461090970,137,137
1461092895,140,140
1461094809,138,138
1461096733,137,137
1461098651,140,140
1461104234,142,142
1461106084,140,140
1461108008,140,140
1461109924,138,138
1461111851,138,138
1461113765,139,139
1461115692,137,137
1461123365,138,138
1461125290,137,137
1461131050,138,138
